Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
BREST;48.39;-4.48;30/08/2026;2;NUAGEUX;25.2;16.9
BREST;48.39;-4.48;31/08/2026;0;SOLEIL;24.4;16.5
BREST;48.39;-4.48;01/09/2026;2;NUAGEUX;23.6;14.9
BREST;48.39;-4.48;02/09/2026;2;NUAGEUX;23.6;15.1
BREST;48.39;-4.48;03/09/2026;7;PLUIE FAIBLE;24.4;16.5
BREST;48.39;-4.48;04/09/2026;0;SOLEIL;25.9;18.1
BREST;48.39;-4.48;05/09/2026;0;SOLEIL;26.4;18
BREST;48.39;-4.48;06/09/2026;0;SOLEIL;27.2;18.1
RENNES;48.11;-1.67;30/08/2026;2;NUAGEUX;22.1;15.6
RENNES;48.11;-1.67;31/08/2026;2;NUAGEUX;21.2;15.9
RENNES;48.11;-1.67;01/09/2026;5;SOLEIL VOILÉ;21;13.1
RENNES;48.11;-1.67;02/09/2026;6;AVERSES;21.2;14.6
RENNES;48.11;-1.67;03/09/2026;6;AVERSES;21.5;16
RENNES;48.11;-1.67;04/09/2026;7;PLUIE FAIBLE;22.5;16.6
RENNES;48.11;-1.67;05/09/2026;6;AVERSES;23.1;15.6
RENNES;48.11;-1.67;06/09/2026;6;AVERSES;22.6;14.7
CHERBOURG;49.63;-1.62;30/08/2026;6;AVERSES;23.6;16
CHERBOURG;49.63;-1.62;31/08/2026;2;NUAGEUX;24.9;15.6
CHERBOURG;49.63;-1.62;01/09/2026;2;NUAGEUX;25;12.7
CHERBOURG;49.63;-1.62;02/09/2026;2;NUAGEUX;24.1;13.6
CHERBOURG;49.63;-1.62;03/09/2026;2;NUAGEUX;25.1;15.6
CHERBOURG;49.63;-1.62;04/09/2026;2;NUAGEUX;26.1;16.1
CHERBOURG;49.63;-1.62;05/09/2026;0;SOLEIL;27;16
CHERBOURG;49.63;-1.62;06/09/2026;0;SOLEIL;25.9;15.6
ROUEN;49.44;1.1;30/08/2026;2;NUAGEUX;21.7;15.5
ROUEN;49.44;1.1;31/08/2026;0;SOLEIL;21.5;16.1
ROUEN;49.44;1.1;01/09/2026;0;SOLEIL;22.4;13.5
ROUEN;49.44;1.1;02/09/2026;7;PLUIE FAIBLE;20.5;14.7
ROUEN;49.44;1.1;03/09/2026;7;PLUIE FAIBLE;21.2;16.1
ROUEN;49.44;1.1;04/09/2026;7;PLUIE FAIBLE;21.2;16.7
ROUEN;49.44;1.1;05/09/2026;2;NUAGEUX;21.1;16.1
ROUEN;49.44;1.1;06/09/2026;0;SOLEIL;20.9;15.4
PARIS;48.85;2.35;30/08/2026;2;NUAGEUX;24.1;14.2
PARIS;48.85;2.35;31/08/2026;0;SOLEIL;23.1;15.6
PARIS;48.85;2.35;01/09/2026;2;NUAGEUX;22.7;12
PARIS;48.85;2.35;02/09/2026;6;AVERSES;23.2;12.5
PARIS;48.85;2.35;03/09/2026;6;AVERSES;24.1;15
PARIS;48.85;2.35;04/09/2026;6;AVERSES;25.1;16.6
PARIS;48.85;2.35;05/09/2026;6;AVERSES;25.6;15.7
PARIS;48.85;2.35;06/09/2026;0;SOLEIL;25.2;15.2
LILLE;50.62;3.05;30/08/2026;2;NUAGEUX;22.9;16.1
LILLE;50.62;3.05;31/08/2026;6;AVERSES;21.9;15.1
LILLE;50.62;3.05;01/09/2026;2;NUAGEUX;22.1;13.7
LILLE;50.62;3.05;02/09/2026;6;AVERSES;21.7;13.9
LILLE;50.62;3.05;03/09/2026;6;AVERSES;22.4;16.1
LILLE;50.62;3.05;04/09/2026;7;PLUIE FAIBLE;23.1;18
LILLE;50.62;3.05;05/09/2026;6;AVERSES;23.1;17.4
LILLE;50.62;3.05;06/09/2026;0;SOLEIL;22.9;15.7
BOULOGNE-SUR-MER;50.726;1.614;30/08/2026;2;NUAGEUX;21.1;17.4
BOULOGNE-SUR-MER;50.726;1.614;31/08/2026;6;AVERSES;20.1;15.9
BOULOGNE-SUR-MER;50.726;1.614;01/09/2026;0;SOLEIL;19.4;15.1
BOULOGNE-SUR-MER;50.726;1.614;02/09/2026;6;AVERSES;18.7;15.1
BOULOGNE-SUR-MER;50.726;1.614;03/09/2026;6;AVERSES;19.4;16
BOULOGNE-SUR-MER;50.726;1.614;04/09/2026;6;AVERSES;19.4;16.5
BOULOGNE-SUR-MER;50.726;1.614;05/09/2026;6;AVERSES;19.4;16.2
BOULOGNE-SUR-MER;50.726;1.614;06/09/2026;0;SOLEIL;19.6;15.2
REIMS;49.25;4.03;30/08/2026;2;NUAGEUX;25;16.1
REIMS;49.25;4.03;31/08/2026;0;SOLEIL;25;15.7
REIMS;49.25;4.03;01/09/2026;2;NUAGEUX;24.2;14
REIMS;49.25;4.03;02/09/2026;2;NUAGEUX;25.1;13.1
REIMS;49.25;4.03;03/09/2026;2;NUAGEUX;25.6;15
REIMS;49.25;4.03;04/09/2026;0;SOLEIL;27.7;16.7
REIMS;49.25;4.03;05/09/2026;0;SOLEIL;28.6;16.5
REIMS;49.25;4.03;06/09/2026;0;SOLEIL;29.4;15.9
METZ;49.11;6.17;30/08/2026;2;NUAGEUX;24.2;16.2
METZ;49.11;6.17;31/08/2026;2;NUAGEUX;23.2;15
METZ;49.11;6.17;01/09/2026;2;NUAGEUX;24;13.2
METZ;49.11;6.17;02/09/2026;2;NUAGEUX;23.6;11.9
METZ;49.11;6.17;03/09/2026;2;NUAGEUX;23.6;13.5
METZ;49.11;6.17;04/09/2026;0;SOLEIL;24.7;15.4
METZ;49.11;6.17;05/09/2026;0;SOLEIL;26.6;15.4
METZ;49.11;6.17;06/09/2026;0;SOLEIL;28.1;14.7
NANTES;47.21;-1.55;30/08/2026;2;NUAGEUX;23.6;16.2
NANTES;47.21;-1.55;31/08/2026;0;SOLEIL;25.1;15.6
NANTES;47.21;-1.55;01/09/2026;0;SOLEIL;25.6;12.9
NANTES;47.21;-1.55;02/09/2026;2;NUAGEUX;24.1;14.1
NANTES;47.21;-1.55;03/09/2026;7;PLUIE FAIBLE;24.4;15.6
NANTES;47.21;-1.55;04/09/2026;2;NUAGEUX;25.6;16.1
NANTES;47.21;-1.55;05/09/2026;0;SOLEIL;27.4;16.6
NANTES;47.21;-1.55;06/09/2026;0;SOLEIL;25.9;16.6
TOURS;47.39;0.68;30/08/2026;2;NUAGEUX;26.5;16.4
TOURS;47.39;0.68;31/08/2026;0;SOLEIL;25;15.1
TOURS;47.39;0.68;01/09/2026;2;NUAGEUX;24.6;12.1
TOURS;47.39;0.68;02/09/2026;2;NUAGEUX;24.6;13.1
TOURS;47.39;0.68;03/09/2026;0;SOLEIL;26.1;13.6
TOURS;47.39;0.68;04/09/2026;0;SOLEIL;27;15.4
TOURS;47.39;0.68;05/09/2026;0;SOLEIL;29.5;15.5
TOURS;47.39;0.68;06/09/2026;0;SOLEIL;28.6;15.9
AUXERRE;47.79;3.57;30/08/2026;2;NUAGEUX;25.9;16.7
