Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bourg-en-Bresse;46.2;5.22;15/08/2026;5;SOLEIL VOILÉ;38.6;24.5
Bourg-en-Bresse;46.2;5.22;16/08/2026;10;ORAGEUX;32.9;25.1
Bourg-en-Bresse;46.2;5.22;17/08/2026;10;ORAGEUX;26.9;20.7
Bourg-en-Bresse;46.2;5.22;18/08/2026;0;SOLEIL;32.7;20.1
Bourg-en-Bresse;46.2;5.22;19/08/2026;0;SOLEIL;32.1;19.7
Vichy;46.12;3.42;15/08/2026;5;SOLEIL VOILÉ;37;23.4
Vichy;46.12;3.42;16/08/2026;10;ORAGEUX;32;21
Vichy;46.12;3.42;17/08/2026;6;AVERSES;27.9;17.9
Vichy;46.12;3.42;18/08/2026;0;SOLEIL;31.4;16.5
Vichy;46.12;3.42;19/08/2026;0;SOLEIL;31.1;17.5
Montluçon;46.34;2.6;15/08/2026;5;SOLEIL VOILÉ;37.1;22
Montluçon;46.34;2.6;16/08/2026;10;ORAGEUX;30.5;20.1
Montluçon;46.34;2.6;17/08/2026;6;AVERSES;28.2;18.4
Montluçon;46.34;2.6;18/08/2026;0;SOLEIL;32.9;17.6
Montluçon;46.34;2.6;19/08/2026;0;SOLEIL;30.6;18.5
Moulins;46.56;3.33;15/08/2026;5;SOLEIL VOILÉ;39.1;22.1
Moulins;46.56;3.33;16/08/2026;10;ORAGEUX;30.5;19.7
Moulins;46.56;3.33;17/08/2026;6;AVERSES;29.4;17.9
Moulins;46.56;3.33;18/08/2026;0;SOLEIL;32.4;15.4
Moulins;46.56;3.33;19/08/2026;0;SOLEIL;29.6;16.6
Privas;44.73;4.59;15/08/2026;5;SOLEIL VOILÉ;39;22.2
Privas;44.73;4.59;16/08/2026;10;ORAGEUX;30.9;20.9
Privas;44.73;4.59;17/08/2026;6;AVERSES;30.6;18.1
Privas;44.73;4.59;18/08/2026;0;SOLEIL;32.4;15.6
Privas;44.73;4.59;19/08/2026;0;SOLEIL;29.2;17.4
Sablières;44.53;4.07;15/08/2026;5;SOLEIL VOILÉ;36.4;20.4
Sablières;44.53;4.07;16/08/2026;10;ORAGEUX;34.2;20
Sablières;44.53;4.07;17/08/2026;10;ORAGEUX;28.4;19.6
Sablières;44.53;4.07;18/08/2026;0;SOLEIL;32.4;19.6
Sablières;44.53;4.07;19/08/2026;0;SOLEIL;32.2;18.5
Aurillac;44.93;2.44;15/08/2026;10;ORAGEUX;35.4;18.4
Aurillac;44.93;2.44;16/08/2026;10;ORAGEUX;33.2;20.2
Aurillac;44.93;2.44;17/08/2026;0;SOLEIL;28.2;20
Aurillac;44.93;2.44;18/08/2026;0;SOLEIL;34.4;18.7
Aurillac;44.93;2.44;19/08/2026;0;SOLEIL;32.1;18.2
Saint-Flour;45.03;3.09;15/08/2026;5;SOLEIL VOILÉ;32.5;20
Saint-Flour;45.03;3.09;16/08/2026;6;AVERSES;27.6;19.2
Saint-Flour;45.03;3.09;17/08/2026;6;AVERSES;27.2;15.9
Saint-Flour;45.03;3.09;18/08/2026;0;SOLEIL;30.1;16.4
Saint-Flour;45.03;3.09;19/08/2026;0;SOLEIL;29.6;16.7
Dieulefit;44.52;5.06;15/08/2026;10;ORAGEUX;31.5;17.7
Dieulefit;44.52;5.06;16/08/2026;10;ORAGEUX;28.5;15.4
Dieulefit;44.52;5.06;17/08/2026;0;SOLEIL;26.4;15.4
Dieulefit;44.52;5.06;18/08/2026;0;SOLEIL;27.9;13.7
Dieulefit;44.52;5.06;19/08/2026;0;SOLEIL;27.4;13.1
Montélimar;44.56;4.75;15/08/2026;5;SOLEIL VOILÉ;36;19.6
Montélimar;44.56;4.75;16/08/2026;10;ORAGEUX;34;18
Montélimar;44.56;4.75;17/08/2026;6;AVERSES;28.2;18.4
Montélimar;44.56;4.75;18/08/2026;0;SOLEIL;32.6;18.6
Montélimar;44.56;4.75;19/08/2026;0;SOLEIL;31.6;17.2
