Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Châtillon-sur-Seine;47.86;4.57;23/08/2026;5;SOLEIL VOILÉ;25.5;11.1
Châtillon-sur-Seine;47.86;4.57;24/08/2026;5;SOLEIL VOILÉ;30.5;13
Châtillon-sur-Seine;47.86;4.57;25/08/2026;6;AVERSES;29.2;15.5
Châtillon-sur-Seine;47.86;4.57;26/08/2026;2;NUAGEUX;30.7;16.6
Châtillon-sur-Seine;47.86;4.57;27/08/2026;10;ORAGEUX;25.6;17.5
Dijon;47.32;5.04;23/08/2026;5;SOLEIL VOILÉ;24.6;5.9
Dijon;47.32;5.04;24/08/2026;5;SOLEIL VOILÉ;29.7;10.5
Dijon;47.32;5.04;25/08/2026;6;AVERSES;28.9;16
Dijon;47.32;5.04;26/08/2026;10;ORAGEUX;30;15.7
Dijon;47.32;5.04;27/08/2026;10;ORAGEUX;25.9;17.1
Pouilly-en-Auxois;47.25;4.55;23/08/2026;5;SOLEIL VOILÉ;25.9;11
Pouilly-en-Auxois;47.25;4.55;24/08/2026;5;SOLEIL VOILÉ;29.6;12.6
Pouilly-en-Auxois;47.25;4.55;25/08/2026;6;AVERSES;29.5;16
Pouilly-en-Auxois;47.25;4.55;26/08/2026;7;PLUIE FAIBLE;29.4;16.1
Pouilly-en-Auxois;47.25;4.55;27/08/2026;10;ORAGEUX;24.6;17.1
Besançon;47.23;6.02;23/08/2026;5;SOLEIL VOILÉ;27.5;10.9
Besançon;47.23;6.02;24/08/2026;0;SOLEIL;29.5;12.1
Besançon;47.23;6.02;25/08/2026;6;AVERSES;29.6;16.4
Besançon;47.23;6.02;26/08/2026;7;PLUIE FAIBLE;30;16.7
Besançon;47.23;6.02;27/08/2026;10;ORAGEUX;26.4;17.1
Pontarlier;46.9;6.35;23/08/2026;5;SOLEIL VOILÉ;24.2;8.2
Pontarlier;46.9;6.35;24/08/2026;0;SOLEIL;28.2;7.9
Pontarlier;46.9;6.35;25/08/2026;6;AVERSES;26.4;12
Pontarlier;46.9;6.35;26/08/2026;7;PLUIE FAIBLE;27.4;12.6
Pontarlier;46.9;6.35;27/08/2026;10;ORAGEUX;24.2;14.1
Sancey-le-Grand;47.29;6.58;23/08/2026;5;SOLEIL VOILÉ;24.9;9.2
Sancey-le-Grand;47.29;6.58;24/08/2026;0;SOLEIL;28;11.6
Sancey-le-Grand;47.29;6.58;25/08/2026;6;AVERSES;26.1;15.6
Sancey-le-Grand;47.29;6.58;26/08/2026;6;AVERSES;28.4;14.2
Sancey-le-Grand;47.29;6.58;27/08/2026;10;ORAGEUX;26.6;15.6
Dole;47.09;5.49;23/08/2026;5;SOLEIL VOILÉ;28.1;11.7
Dole;47.09;5.49;24/08/2026;5;SOLEIL VOILÉ;31.9;12.9
Dole;47.09;5.49;25/08/2026;0;SOLEIL;32.1;15.5
Dole;47.09;5.49;26/08/2026;0;SOLEIL;32.1;17.1
Dole;47.09;5.49;27/08/2026;10;ORAGEUX;27;17.9
Lons-le-Saunier;46.67;5.55;23/08/2026;5;SOLEIL VOILÉ;27.9;11.9
Lons-le-Saunier;46.67;5.55;24/08/2026;0;SOLEIL;31.6;14.4
Lons-le-Saunier;46.67;5.55;25/08/2026;0;SOLEIL;28.9;18.4
Lons-le-Saunier;46.67;5.55;26/08/2026;7;PLUIE FAIBLE;30.7;19.5
Lons-le-Saunier;46.67;5.55;27/08/2026;10;ORAGEUX;26.1;19.1
Morez;46.52;6.02;23/08/2026;5;SOLEIL VOILÉ;26.2;4.4
Morez;46.52;6.02;24/08/2026;0;SOLEIL;28.6;6.1
Morez;46.52;6.02;25/08/2026;0;SOLEIL;26.1;11.2
Morez;46.52;6.02;26/08/2026;6;AVERSES;27.1;11.5
Morez;46.52;6.02;27/08/2026;10;ORAGEUX;23.7;13
Thoirette;46.27;5.53;23/08/2026;5;SOLEIL VOILÉ;27.6;6.1
Thoirette;46.27;5.53;24/08/2026;0;SOLEIL;30;9.5
Thoirette;46.27;5.53;25/08/2026;0;SOLEIL;29.1;14.6
Thoirette;46.27;5.53;26/08/2026;0;SOLEIL;30.2;14.7
Thoirette;46.27;5.53;27/08/2026;10;ORAGEUX;25.6;15.6
Cosne-Cours-sur-Loire;47.41;2.92;23/08/2026;5;SOLEIL VOILÉ;28.1;9.7
Cosne-Cours-sur-Loire;47.41;2.92;24/08/2026;5;SOLEIL VOILÉ;32.1;12.1
Cosne-Cours-sur-Loire;47.41;2.92;25/08/2026;0;SOLEIL;31.1;15.4
Cosne-Cours-sur-Loire;47.41;2.92;26/08/2026;2;NUAGEUX;29.2;16.7
Cosne-Cours-sur-Loire;47.41;2.92;27/08/2026;10;ORAGEUX;24.9;16.9
Nevers;46.99;3.15;23/08/2026;5;SOLEIL VOILÉ;29.5;12.7
Nevers;46.99;3.15;24/08/2026;5;SOLEIL VOILÉ;33.6;12.7
Nevers;46.99;3.15;25/08/2026;0;SOLEIL;31.2;16
Nevers;46.99;3.15;26/08/2026;2;NUAGEUX;30.4;17.6
Nevers;46.99;3.15;27/08/2026;10;ORAGEUX;25.4;17.7
Saint-Honoré-les-Bains;46.9;3.84;23/08/2026;5;SOLEIL VOILÉ;28.5;13.4
Saint-Honoré-les-Bains;46.9;3.84;24/08/2026;5;SOLEIL VOILÉ;31.1;14.6
Saint-Honoré-les-Bains;46.9;3.84;25/08/2026;0;SOLEIL;29.9;16.2
Saint-Honoré-les-Bains;46.9;3.84;26/08/2026;2;NUAGEUX;30.1;17.7
Saint-Honoré-les-Bains;46.9;3.84;27/08/2026;10;ORAGEUX;25.1;18.6
Varzy;47.35;3.39;23/08/2026;5;SOLEIL VOILÉ;27.4;7.9
Varzy;47.35;3.39;24/08/2026;5;SOLEIL VOILÉ;30.5;10.9
Varzy;47.35;3.39;25/08/2026;0;SOLEIL;29;15.5
Varzy;47.35;3.39;26/08/2026;2;NUAGEUX;29.5;15.9
Varzy;47.35;3.39;27/08/2026;10;ORAGEUX;24.6;16.6
Ainvelle;47.84;6.25;23/08/2026;5;SOLEIL VOILÉ;26.6;7.6
Ainvelle;47.84;6.25;24/08/2026;5;SOLEIL VOILÉ;30.5;9.6
Ainvelle;47.84;6.25;25/08/2026;0;SOLEIL;25.6;16
Ainvelle;47.84;6.25;26/08/2026;0;SOLEIL;29.6;15.1
Ainvelle;47.84;6.25;27/08/2026;10;ORAGEUX;26.2;16.6
Nantilly;47.44;5.54;23/08/2026;5;SOLEIL VOILÉ;26.1;10
Nantilly;47.44;5.54;24/08/2026;5;SOLEIL VOILÉ;29.2;12.9
Nantilly;47.44;5.54;25/08/2026;0;SOLEIL;29.7;16.9
