Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Lannion;48.73;-3.46;08/08/2026;5;SOLEIL VOILÉ;31.6;13.5
Lannion;48.73;-3.46;09/08/2026;0;SOLEIL;31.5;17.4
Lannion;48.73;-3.46;10/08/2026;0;SOLEIL;28.6;16.2
Lannion;48.73;-3.46;11/08/2026;0;SOLEIL;33.6;17.2
Lannion;48.73;-3.46;12/08/2026;0;SOLEIL;35.9;20.9
Merdrignac;48.19;-2.41;08/08/2026;5;SOLEIL VOILÉ;29.9;9.6
Merdrignac;48.19;-2.41;09/08/2026;0;SOLEIL;25.5;14.1
Merdrignac;48.19;-2.41;10/08/2026;0;SOLEIL;25.1;15.5
Merdrignac;48.19;-2.41;11/08/2026;0;SOLEIL;28.7;14.2
Merdrignac;48.19;-2.41;12/08/2026;0;SOLEIL;30.4;17.9
Rostrenen;48.23;-3.31;08/08/2026;5;SOLEIL VOILÉ;31.1;12.6
Rostrenen;48.23;-3.31;09/08/2026;0;SOLEIL;29.5;16.7
Rostrenen;48.23;-3.31;10/08/2026;0;SOLEIL;26.6;15.6
Rostrenen;48.23;-3.31;11/08/2026;0;SOLEIL;31.5;15.6
Rostrenen;48.23;-3.31;12/08/2026;0;SOLEIL;35.4;18.5
Saint-Brieuc;48.51;-2.76;08/08/2026;5;SOLEIL VOILÉ;29.9;13
Saint-Brieuc;48.51;-2.76;09/08/2026;0;SOLEIL;27.6;14.6
Saint-Brieuc;48.51;-2.76;10/08/2026;0;SOLEIL;26.9;14.7
Saint-Brieuc;48.51;-2.76;11/08/2026;0;SOLEIL;30.4;14.9
Saint-Brieuc;48.51;-2.76;12/08/2026;0;SOLEIL;31.9;18.7
Brest;48.39;-4.48;08/08/2026;5;SOLEIL VOILÉ;27.4;13.7
Brest;48.39;-4.48;09/08/2026;0;SOLEIL;25.9;18
Brest;48.39;-4.48;10/08/2026;0;SOLEIL;23.9;16.1
Brest;48.39;-4.48;11/08/2026;0;SOLEIL;28.1;16.1
Brest;48.39;-4.48;12/08/2026;0;SOLEIL;31.9;19.6
Île-de-Sein;48.03;-4.85;08/08/2026;5;SOLEIL VOILÉ;27.9;13
Île-de-Sein;48.03;-4.85;09/08/2026;0;SOLEIL;24.6;14.9
Île-de-Sein;48.03;-4.85;10/08/2026;0;SOLEIL;24.7;15.9
