Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Ajaccio;41.92;8.73;24/08/2026;5;SOLEIL VOILÉ;35.9;22.1
Ajaccio;41.92;8.73;25/08/2026;0;SOLEIL;32.1;22.6
Ajaccio;41.92;8.73;26/08/2026;0;SOLEIL;33.1;20.4
Ajaccio;41.92;8.73;27/08/2026;6;AVERSES;35.6;25.2
Ajaccio;41.92;8.73;28/08/2026;0;SOLEIL;31.9;24.5
Figari;41.48;9.09;24/08/2026;5;SOLEIL VOILÉ;34.6;19.6
Figari;41.48;9.09;25/08/2026;0;SOLEIL;33.7;23.5
Figari;41.48;9.09;26/08/2026;0;SOLEIL;33.1;20.7
Figari;41.48;9.09;27/08/2026;6;AVERSES;35.9;24.4
Figari;41.48;9.09;28/08/2026;0;SOLEIL;34.5;24.9
Porto-Vecchio;41.59;9.27;24/08/2026;0;SOLEIL;33.5;19.7
Porto-Vecchio;41.59;9.27;25/08/2026;0;SOLEIL;35.5;23.7
Porto-Vecchio;41.59;9.27;26/08/2026;0;SOLEIL;32.1;22.7
Porto-Vecchio;41.59;9.27;27/08/2026;6;AVERSES;35.4;24.1
Porto-Vecchio;41.59;9.27;28/08/2026;0;SOLEIL;37.5;25.6
Sartène;41.62;8.97;24/08/2026;5;SOLEIL VOILÉ;34.7;20.9
Sartène;41.62;8.97;25/08/2026;0;SOLEIL;31.9;23.1
Sartène;41.62;8.97;26/08/2026;0;SOLEIL;33.7;21.5
Sartène;41.62;8.97;27/08/2026;6;AVERSES;36.5;26.7
Sartène;41.62;8.97;28/08/2026;0;SOLEIL;33.1;25.1
Zévaco;41.89;9.05;24/08/2026;0;SOLEIL;32.5;20.1
Zévaco;41.89;9.05;25/08/2026;0;SOLEIL;28.9;21.5
Zévaco;41.89;9.05;26/08/2026;0;SOLEIL;31.9;19
Zévaco;41.89;9.05;27/08/2026;6;AVERSES;34.1;24.5
Zévaco;41.89;9.05;28/08/2026;0;SOLEIL;29.7;22.7
Bastia;42.69;9.45;24/08/2026;0;SOLEIL;31.4;24.6
Bastia;42.69;9.45;25/08/2026;0;SOLEIL;32.1;24.5
Bastia;42.69;9.45;26/08/2026;0;SOLEIL;32.1;23.1
Bastia;42.69;9.45;27/08/2026;6;AVERSES;30;25.1
Bastia;42.69;9.45;28/08/2026;0;SOLEIL;31.1;25.1
Calvi;42.56;8.75;24/08/2026;0;SOLEIL;30.2;22
Calvi;42.56;8.75;25/08/2026;0;SOLEIL;30.6;23.1
Calvi;42.56;8.75;26/08/2026;0;SOLEIL;29.6;23.7
Calvi;42.56;8.75;27/08/2026;6;AVERSES;34;24.1
Calvi;42.56;8.75;28/08/2026;0;SOLEIL;32.1;25.7
Cervione;42.33;9.49;24/08/2026;0;SOLEIL;30.4;20.5
Cervione;42.33;9.49;25/08/2026;6;AVERSES;30.1;22.1
Cervione;42.33;9.49;26/08/2026;0;SOLEIL;28;21.4
Cervione;42.33;9.49;27/08/2026;6;AVERSES;28.9;21.1
Cervione;42.33;9.49;28/08/2026;7;PLUIE FAIBLE;31.1;21.7
Corte;42.3;9.15;24/08/2026;0;SOLEIL;33.4;16.1
Corte;42.3;9.15;25/08/2026;0;SOLEIL;31.1;18.1
Corte;42.3;9.15;26/08/2026;0;SOLEIL;31.9;15.5
Corte;42.3;9.15;27/08/2026;7;PLUIE FAIBLE;32.6;20.7
Corte;42.3;9.15;28/08/2026;0;SOLEIL;32.6;20
Pietralba;42.54;9.18;24/08/2026;0;SOLEIL;30.9;18.7
Pietralba;42.54;9.18;25/08/2026;0;SOLEIL;29;20.5
Pietralba;42.54;9.18;26/08/2026;0;SOLEIL;30.2;18.2
Pietralba;42.54;9.18;27/08/2026;7;PLUIE FAIBLE;31.2;21.9
Pietralba;42.54;9.18;28/08/2026;0;SOLEIL;29.2;21.7
Prunelli-di-Fiumorbo;42.01;9.32;24/08/2026;0;SOLEIL;28.2;17.7
Prunelli-di-Fiumorbo;42.01;9.32;25/08/2026;0;SOLEIL;30.6;19.6
Prunelli-di-Fiumorbo;42.01;9.32;26/08/2026;0;SOLEIL;28.1;20
Prunelli-di-Fiumorbo;42.01;9.32;27/08/2026;6;AVERSES;31.6;21.4
Prunelli-di-Fiumorbo;42.01;9.32;28/08/2026;0;SOLEIL;31.6;22.6
Rogliano;42.95;9.41;24/08/2026;0;SOLEIL;31.4;20.4
Rogliano;42.95;9.41;25/08/2026;0;SOLEIL;29.1;23.5
Rogliano;42.95;9.41;26/08/2026;0;SOLEIL;29.6;23.1
Rogliano;42.95;9.41;27/08/2026;6;AVERSES;29;24.2
Rogliano;42.95;9.41;28/08/2026;2;NUAGEUX;28.4;23.9
Vico;42.16;8.8;24/08/2026;5;SOLEIL VOILÉ;34.1;17.6
Vico;42.16;8.8;25/08/2026;0;SOLEIL;29.7;19.6
Vico;42.16;8.8;26/08/2026;0;SOLEIL;32.7;15.7
Vico;42.16;8.8;27/08/2026;6;AVERSES;33.4;20.6
Vico;42.16;8.8;28/08/2026;0;SOLEIL;30.1;20.1
