Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Argent-sur-Sauldre;47.56;2.45;14/08/2026;0;SOLEIL;39.2;20.6
Argent-sur-Sauldre;47.56;2.45;15/08/2026;5;SOLEIL VOILÉ;32;20.5
Argent-sur-Sauldre;47.56;2.45;16/08/2026;0;SOLEIL;30.6;18.6
Argent-sur-Sauldre;47.56;2.45;17/08/2026;2;NUAGEUX;28.6;16.6
Argent-sur-Sauldre;47.56;2.45;18/08/2026;0;SOLEIL;26.9;16.9
Bourges;47.08;2.39;14/08/2026;0;SOLEIL;39.2;19
Bourges;47.08;2.39;15/08/2026;5;SOLEIL VOILÉ;32.1;19.5
Bourges;47.08;2.39;16/08/2026;5;SOLEIL VOILÉ;28.7;15.7
Bourges;47.08;2.39;17/08/2026;0;SOLEIL;28.5;15.6
Bourges;47.08;2.39;18/08/2026;0;SOLEIL;26.4;15.2
Saint-Amand-Montrond;46.72;2.5;14/08/2026;0;SOLEIL;39.5;24.6
Saint-Amand-Montrond;46.72;2.5;15/08/2026;5;SOLEIL VOILÉ;32.1;22.5
Saint-Amand-Montrond;46.72;2.5;16/08/2026;5;SOLEIL VOILÉ;30.1;19.1
Saint-Amand-Montrond;46.72;2.5;17/08/2026;0;SOLEIL;28.6;18.1
Saint-Amand-Montrond;46.72;2.5;18/08/2026;0;SOLEIL;27.4;17.1
Sancerre;47.33;2.84;14/08/2026;0;SOLEIL;40.2;22.9
Sancerre;47.33;2.84;15/08/2026;5;SOLEIL VOILÉ;34.1;22.6
Sancerre;47.33;2.84;16/08/2026;10;ORAGEUX;30.6;19.5
Sancerre;47.33;2.84;17/08/2026;0;SOLEIL;29.4;18.6
Sancerre;47.33;2.84;18/08/2026;0;SOLEIL;28.1;17.2
Chartres;48.44;1.48;14/08/2026;0;SOLEIL;38.4;25.1
Chartres;48.44;1.48;15/08/2026;5;SOLEIL VOILÉ;34.5;22.2
Chartres;48.44;1.48;16/08/2026;10;ORAGEUX;32;17.6
Chartres;48.44;1.48;17/08/2026;0;SOLEIL;27.7;17.6
Chartres;48.44;1.48;18/08/2026;0;SOLEIL;26.1;16.5
Châteaudun;48.07;1.33;14/08/2026;0;SOLEIL;38.4;21.9
Châteaudun;48.07;1.33;15/08/2026;5;SOLEIL VOILÉ;32;18.6
Châteaudun;48.07;1.33;16/08/2026;0;SOLEIL;31.1;16.2
Châteaudun;48.07;1.33;17/08/2026;2;NUAGEUX;26.4;15.7
Châteaudun;48.07;1.33;18/08/2026;0;SOLEIL;26.1;16.2
Dreux;48.73;1.36;14/08/2026;0;SOLEIL;37.6;21.6
Dreux;48.73;1.36;15/08/2026;5;SOLEIL VOILÉ;31.9;18.9
Dreux;48.73;1.36;16/08/2026;0;SOLEIL;31;16.6
Dreux;48.73;1.36;17/08/2026;2;NUAGEUX;26.4;16.4
Dreux;48.73;1.36;18/08/2026;0;SOLEIL;24.9;16.1
Nogent-le-Rotrou;48.32;0.82;14/08/2026;0;SOLEIL;38.9;19.5
Nogent-le-Rotrou;48.32;0.82;15/08/2026;5;SOLEIL VOILÉ;33.1;16.2
Nogent-le-Rotrou;48.32;0.82;16/08/2026;0;SOLEIL;31.6;16.6
Nogent-le-Rotrou;48.32;0.82;17/08/2026;2;NUAGEUX;27.6;16
Nogent-le-Rotrou;48.32;0.82;18/08/2026;6;AVERSES;26.6;16.2
Châteauroux;46.81;1.69;14/08/2026;0;SOLEIL;38.6;20.1
Châteauroux;46.81;1.69;15/08/2026;5;SOLEIL VOILÉ;32;19.1
Châteauroux;46.81;1.69;16/08/2026;0;SOLEIL;31.4;18
Châteauroux;46.81;1.69;17/08/2026;2;NUAGEUX;25.5;14.6
Châteauroux;46.81;1.69;18/08/2026;0;SOLEIL;24.6;15.1
Écueillé;47.08;1.34;14/08/2026;0;SOLEIL;40.4;23.1
Écueillé;47.08;1.34;15/08/2026;10;ORAGEUX;32.9;21.9
Écueillé;47.08;1.34;16/08/2026;10;ORAGEUX;31.5;17.9
Écueillé;47.08;1.34;17/08/2026;0;SOLEIL;29.7;18.6
Écueillé;47.08;1.34;18/08/2026;0;SOLEIL;28;17.6
Éguzon-Chantôme;46.44;1.58;14/08/2026;0;SOLEIL;38.4;21.6
Éguzon-Chantôme;46.44;1.58;15/08/2026;10;ORAGEUX;33.1;21.4
