Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Charleville-Mézières;49.76;4.71;25/08/2026;2;NUAGEUX;27.6;18.1
Charleville-Mézières;49.76;4.71;26/08/2026;5;SOLEIL VOILÉ;28.2;19.2
Charleville-Mézières;49.76;4.71;27/08/2026;10;ORAGEUX;26.7;18.6
Charleville-Mézières;49.76;4.71;28/08/2026;6;AVERSES;22.1;16.2
Charleville-Mézières;49.76;4.71;29/08/2026;6;AVERSES;22.5;16.1
Rethel;49.51;4.36;25/08/2026;6;AVERSES;23.6;12
Rethel;49.51;4.36;26/08/2026;5;SOLEIL VOILÉ;25.5;15.4
Rethel;49.51;4.36;27/08/2026;5;SOLEIL VOILÉ;28.4;15.6
Rethel;49.51;4.36;28/08/2026;6;AVERSES;21.4;16.1
Rethel;49.51;4.36;29/08/2026;6;AVERSES;20.1;13.9
Nogent-sur-Seine;48.49;3.5;25/08/2026;2;NUAGEUX;25.5;12.4
Nogent-sur-Seine;48.49;3.5;26/08/2026;5;SOLEIL VOILÉ;28;16.6
Nogent-sur-Seine;48.49;3.5;27/08/2026;5;SOLEIL VOILÉ;30.1;16.9
Nogent-sur-Seine;48.49;3.5;28/08/2026;6;AVERSES;23.5;16.6
Nogent-sur-Seine;48.49;3.5;29/08/2026;6;AVERSES;22.7;15.4
Troyes;48.3;4.07;25/08/2026;2;NUAGEUX;27.7;14.2
Troyes;48.3;4.07;26/08/2026;5;SOLEIL VOILÉ;29.9;17
Troyes;48.3;4.07;27/08/2026;10;ORAGEUX;29.4;16.2
Troyes;48.3;4.07;28/08/2026;6;AVERSES;23.1;15.7
Troyes;48.3;4.07;29/08/2026;6;AVERSES;23.4;15.1
Vitry-le-Croisé;48.15;4.65;25/08/2026;2;NUAGEUX;27.6;15.1
Vitry-le-Croisé;48.15;4.65;26/08/2026;5;SOLEIL VOILÉ;29.6;17.1
Vitry-le-Croisé;48.15;4.65;27/08/2026;5;SOLEIL VOILÉ;30.2;17.2
Vitry-le-Croisé;48.15;4.65;28/08/2026;6;AVERSES;24.2;17.1
Vitry-le-Croisé;48.15;4.65;29/08/2026;6;AVERSES;23.6;16.1
Châlons-en-Champagne;48.95;4.36;25/08/2026;2;NUAGEUX;27.4;15.1
