Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Amiens;49.894;2.295;02/09/2026;2;NUAGEUX;22.7;13
Amiens;49.894;2.295;03/09/2026;2;NUAGEUX;24.1;15.9
Amiens;49.894;2.295;04/09/2026;2;NUAGEUX;25.1;18.6
Amiens;49.894;2.295;05/09/2026;2;NUAGEUX;23.1;16.7
Amiens;49.894;2.295;06/09/2026;0;SOLEIL;27.5;14.9
Château-Thierry;49.046;3.403;02/09/2026;2;NUAGEUX;24.1;12.7
Château-Thierry;49.046;3.403;03/09/2026;2;NUAGEUX;24.6;15.1
Château-Thierry;49.046;3.403;04/09/2026;0;SOLEIL;26.2;17.7
Château-Thierry;49.046;3.403;05/09/2026;2;NUAGEUX;23.4;16.6
Château-Thierry;49.046;3.403;06/09/2026;0;SOLEIL;29.2;13.9
Laon;49.56;3.62;02/09/2026;0;SOLEIL;26.6;10
Laon;49.56;3.62;03/09/2026;2;NUAGEUX;28.9;10
Laon;49.56;3.62;04/09/2026;0;SOLEIL;31.6;14.9
Laon;49.56;3.62;05/09/2026;2;NUAGEUX;26.1;15.9
Laon;49.56;3.62;06/09/2026;0;SOLEIL;31.1;13.2
Saint-Quentin;49.85;3.29;02/09/2026;2;NUAGEUX;23.1;12.6
Saint-Quentin;49.85;3.29;03/09/2026;2;NUAGEUX;25.7;15.2
Saint-Quentin;49.85;3.29;04/09/2026;0;SOLEIL;28.5;17.9
Saint-Quentin;49.85;3.29;05/09/2026;2;NUAGEUX;24.5;17
Saint-Quentin;49.85;3.29;06/09/2026;0;SOLEIL;29.4;14.6
Soissons;49.38;3.32;02/09/2026;5;SOLEIL VOILÉ;23.6;12.7
Soissons;49.38;3.32;03/09/2026;2;NUAGEUX;26.5;14.1
Soissons;49.38;3.32;04/09/2026;2;NUAGEUX;28.6;17.5
Soissons;49.38;3.32;05/09/2026;2;NUAGEUX;24.5;16.6
Soissons;49.38;3.32;06/09/2026;0;SOLEIL;30.1;14.4
Vervins;49.83;3.91;02/09/2026;0;SOLEIL;25.2;12.1
Vervins;49.83;3.91;03/09/2026;2;NUAGEUX;29.5;12.7
Vervins;49.83;3.91;04/09/2026;0;SOLEIL;31.2;15.9
Vervins;49.83;3.91;05/09/2026;2;NUAGEUX;26.4;16.6
Vervins;49.83;3.91;06/09/2026;0;SOLEIL;31.2;13.5
Avesnes-sur-Helpe;50.12;3.93;02/09/2026;5;SOLEIL VOILÉ;22.1;12.2
Avesnes-sur-Helpe;50.12;3.93;03/09/2026;2;NUAGEUX;23.9;12.6
Avesnes-sur-Helpe;50.12;3.93;04/09/2026;0;SOLEIL;26.1;16.7
Avesnes-sur-Helpe;50.12;3.93;05/09/2026;2;NUAGEUX;23.6;15.7
Avesnes-sur-Helpe;50.12;3.93;06/09/2026;0;SOLEIL;28.5;14.7
Cambrai;50.17;3.23;02/09/2026;5;SOLEIL VOILÉ;22.6;9.5
Cambrai;50.17;3.23;03/09/2026;2;NUAGEUX;24.2;13
Cambrai;50.17;3.23;04/09/2026;2;NUAGEUX;28.1;16.5
Cambrai;50.17;3.23;05/09/2026;2;NUAGEUX;24.6;16.1
Cambrai;50.17;3.23;06/09/2026;0;SOLEIL;29.5;13.6
Dunkerque;51.03;2.37;02/09/2026;2;NUAGEUX;23.2;12.1
Dunkerque;51.03;2.37;03/09/2026;2;NUAGEUX;23.6;15.1
Dunkerque;51.03;2.37;04/09/2026;2;NUAGEUX;25.2;17.9
Dunkerque;51.03;2.37;05/09/2026;2;NUAGEUX;23.4;16.4
Dunkerque;51.03;2.37;06/09/2026;0;SOLEIL;28.6;13.7
Hazebrouck;50.72;2.53;02/09/2026;2;NUAGEUX;21.7;15
Hazebrouck;50.72;2.53;03/09/2026;2;NUAGEUX;22.1;17.6
Hazebrouck;50.72;2.53;04/09/2026;2;NUAGEUX;22.7;19
Hazebrouck;50.72;2.53;05/09/2026;2;NUAGEUX;20.7;16.9
Hazebrouck;50.72;2.53;06/09/2026;0;SOLEIL;24.7;15.1
Lille;50.62;3.05;02/09/2026;2;NUAGEUX;22.4;11.6
Lille;50.62;3.05;03/09/2026;2;NUAGEUX;23.2;15.6
Lille;50.62;3.05;04/09/2026;2;NUAGEUX;23.1;18.2
Lille;50.62;3.05;05/09/2026;2;NUAGEUX;23.1;15.6
Lille;50.62;3.05;06/09/2026;0;SOLEIL;27.1;13.5
Valenciennes;50.36;3.52;02/09/2026;2;NUAGEUX;22.6;12.1
Valenciennes;50.36;3.52;03/09/2026;2;NUAGEUX;24.9;14.2
Valenciennes;50.36;3.52;04/09/2026;2;NUAGEUX;25.6;18.2
Valenciennes;50.36;3.52;05/09/2026;2;NUAGEUX;23.1;16.6
Valenciennes;50.36;3.52;06/09/2026;0;SOLEIL;28.1;13.6
Beauvais;49.43;2.08;02/09/2026;5;SOLEIL VOILÉ;24.5;10.4
Beauvais;49.43;2.08;03/09/2026;2;NUAGEUX;25.6;12.1
Beauvais;49.43;2.08;04/09/2026;0;SOLEIL;26.9;15
Beauvais;49.43;2.08;05/09/2026;2;NUAGEUX;24.4;15.9
Beauvais;49.43;2.08;06/09/2026;0;SOLEIL;29.1;13.2
Compiègne;49.41;2.82;02/09/2026;0;SOLEIL;25;11.6
Compiègne;49.41;2.82;03/09/2026;2;NUAGEUX;26.7;13.5
Compiègne;49.41;2.82;04/09/2026;0;SOLEIL;28.6;17.2
Compiègne;49.41;2.82;05/09/2026;2;NUAGEUX;25.1;16.9
Compiègne;49.41;2.82;06/09/2026;0;SOLEIL;30;14.7
Senlis;49.207;2.585;02/09/2026;0;SOLEIL;24.9;11.1
Senlis;49.207;2.585;03/09/2026;2;NUAGEUX;27.4;13
Senlis;49.207;2.585;04/09/2026;0;SOLEIL;28.6;15.9
Senlis;49.207;2.585;05/09/2026;7;PLUIE FAIBLE;25.5;16.6
Senlis;49.207;2.585;06/09/2026;0;SOLEIL;30.1;14.2
Feuquières;49.64;1.85;02/09/2026;2;NUAGEUX;23.2;9.7
Feuquières;49.64;1.85;03/09/2026;2;NUAGEUX;23.6;12.6
Feuquières;49.64;1.85;04/09/2026;0;SOLEIL;24.6;16.4
Feuquières;49.64;1.85;05/09/2026;2;NUAGEUX;22.4;15
Feuquières;49.64;1.85;06/09/2026;0;SOLEIL;27.4;13.6
Rosoy-en-Multien;49.098;2.995;02/09/2026;0;SOLEIL;25.9;10.1
Rosoy-en-Multien;49.098;2.995;03/09/2026;2;NUAGEUX;28.4;10.6
Rosoy-en-Multien;49.098;2.995;04/09/2026;0;SOLEIL;30.2;14.6
Rosoy-en-Multien;49.098;2.995;05/09/2026;2;NUAGEUX;25.6;15.1
Rosoy-en-Multien;49.098;2.995;06/09/2026;0;SOLEIL;31;13.1
Arras;50.29;2.78;02/09/2026;2;NUAGEUX;23;12
Arras;50.29;2.78;03/09/2026;2;NUAGEUX;23.9;14.6
Arras;50.29;2.78;04/09/2026;2;NUAGEUX;24.6;17.6
Arras;50.29;2.78;05/09/2026;2;NUAGEUX;23.5;16.1
Arras;50.29;2.78;06/09/2026;0;SOLEIL;28.9;13.1
Berck;50.4;1.57;02/09/2026;2;NUAGEUX;20.5;15.9
Berck;50.4;1.57;03/09/2026;2;NUAGEUX;20.9;17.1
Berck;50.4;1.57;04/09/2026;2;NUAGEUX;21;18.5
Berck;50.4;1.57;05/09/2026;2;NUAGEUX;20.5;16.4
Berck;50.4;1.57;06/09/2026;0;SOLEIL;26.2;13.7
Calais;50.95;1.85;02/09/2026;2;NUAGEUX;21.4;16.1
Calais;50.95;1.85;03/09/2026;2;NUAGEUX;21.4;17.6
Calais;50.95;1.85;04/09/2026;2;NUAGEUX;22.5;18.6
Calais;50.95;1.85;05/09/2026;2;NUAGEUX;21.6;16.9
Calais;50.95;1.85;06/09/2026;0;SOLEIL;26.4;14.1
Renty;50.58;2.06;02/09/2026;2;NUAGEUX;20.6;11.4
Renty;50.58;2.06;03/09/2026;2;NUAGEUX;21.6;14.5
Renty;50.58;2.06;04/09/2026;2;NUAGEUX;21.4;17.1
Renty;50.58;2.06;05/09/2026;2;NUAGEUX;21.5;14.9
Renty;50.58;2.06;06/09/2026;0;SOLEIL;26.1;13.1
Saint-Pol-sur-Ternoise;50.38;2.33;02/09/2026;2;NUAGEUX;22.4;11.2
Saint-Pol-sur-Ternoise;50.38;2.33;03/09/2026;2;NUAGEUX;23.1;13.6
Saint-Pol-sur-Ternoise;50.38;2.33;04/09/2026;2;NUAGEUX;24;16.6
Saint-Pol-sur-Ternoise;50.38;2.33;05/09/2026;2;NUAGEUX;22.7;14.6
Saint-Pol-sur-Ternoise;50.38;2.33;06/09/2026;0;SOLEIL;27.5;12.7
Abbeville;50.11;1.83;02/09/2026;2;NUAGEUX;22.2;11.2
Abbeville;50.11;1.83;03/09/2026;2;NUAGEUX;23.6;15.2
Abbeville;50.11;1.83;04/09/2026;2;NUAGEUX;24.9;18.2
Abbeville;50.11;1.83;05/09/2026;2;NUAGEUX;23.7;16.5
Abbeville;50.11;1.83;06/09/2026;0;SOLEIL;29.5;14.2
Estrées-Deniécourt;49.87;2.82;02/09/2026;2;NUAGEUX;24.1;11.2
Estrées-Deniécourt;49.87;2.82;03/09/2026;2;NUAGEUX;25.7;13.1
Estrées-Deniécourt;49.87;2.82;04/09/2026;0;SOLEIL;26.5;16.6
Estrées-Deniécourt;49.87;2.82;05/09/2026;2;NUAGEUX;24.1;16.4
Estrées-Deniécourt;49.87;2.82;06/09/2026;0;SOLEIL;29.6;14.1
Montdidier;49.65;2.57;02/09/2026;2;NUAGEUX;24;9.6
Montdidier;49.65;2.57;03/09/2026;2;NUAGEUX;25.6;13.2
Montdidier;49.65;2.57;04/09/2026;0;SOLEIL;26.4;16.9
Montdidier;49.65;2.57;05/09/2026;2;NUAGEUX;24.5;16.2
Montdidier;49.65;2.57;06/09/2026;0;SOLEIL;29.2;14
Boulogne-sur-Mer;50.726;1.614;02/09/2026;2;NUAGEUX;20.1;16.2
Boulogne-sur-Mer;50.726;1.614;03/09/2026;2;NUAGEUX;20.9;17.4
Boulogne-sur-Mer;50.726;1.614;04/09/2026;2;NUAGEUX;20.6;18.1
Boulogne-sur-Mer;50.726;1.614;05/09/2026;2;NUAGEUX;18.9;16
