Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Paris;48.85;2.35;17/08/2026;5;SOLEIL VOILÉ;28;20.4
Paris;48.85;2.35;18/08/2026;5;SOLEIL VOILÉ;29.6;19.9
Paris;48.85;2.35;19/08/2026;0;SOLEIL;26.1;19.7
Paris;48.85;2.35;20/08/2026;7;PLUIE FAIBLE;23.5;17.4
Paris;48.85;2.35;21/08/2026;6;AVERSES;22.4;16
Chelles;48.88;2.59;17/08/2026;5;SOLEIL VOILÉ;29.1;18.6
Chelles;48.88;2.59;18/08/2026;5;SOLEIL VOILÉ;31.1;18.1
Chelles;48.88;2.59;19/08/2026;0;SOLEIL;26.7;18.2
Chelles;48.88;2.59;20/08/2026;6;AVERSES;24.5;15.6
Chelles;48.88;2.59;21/08/2026;6;AVERSES;23.1;14.7
Coulommiers;48.81;3.08;17/08/2026;5;SOLEIL VOILÉ;28.4;18.2
Coulommiers;48.81;3.08;18/08/2026;5;SOLEIL VOILÉ;30.9;15.5
Coulommiers;48.81;3.08;19/08/2026;0;SOLEIL;26.6;16.7
Coulommiers;48.81;3.08;20/08/2026;7;PLUIE FAIBLE;24.6;15.5
Coulommiers;48.81;3.08;21/08/2026;6;AVERSES;22.6;14.2
Fontainebleau;48.41;2.7;17/08/2026;5;SOLEIL VOILÉ;29.6;17.6
Fontainebleau;48.41;2.7;18/08/2026;5;SOLEIL VOILÉ;31.5;14.2
Fontainebleau;48.41;2.7;19/08/2026;0;SOLEIL;29;14.6
Fontainebleau;48.41;2.7;20/08/2026;6;AVERSES;24.9;14.2
Fontainebleau;48.41;2.7;21/08/2026;6;AVERSES;23;13.2
La Ferté-Gaucher;48.78;3.3;17/08/2026;5;SOLEIL VOILÉ;28.4;16.9
La Ferté-Gaucher;48.78;3.3;18/08/2026;5;SOLEIL VOILÉ;30.9;14.5
La Ferté-Gaucher;48.78;3.3;19/08/2026;0;SOLEIL;27.6;15.6
La Ferté-Gaucher;48.78;3.3;20/08/2026;6;AVERSES;24.1;15
La Ferté-Gaucher;48.78;3.3;21/08/2026;6;AVERSES;22.9;13.6
Meaux;48.96;2.89;17/08/2026;5;SOLEIL VOILÉ;29.1;17.5
Meaux;48.96;2.89;18/08/2026;5;SOLEIL VOILÉ;31;16.2
Meaux;48.96;2.89;19/08/2026;0;SOLEIL;26;17.1
Meaux;48.96;2.89;20/08/2026;6;AVERSES;25.1;15.5
Meaux;48.96;2.89;21/08/2026;6;AVERSES;23.4;14.2
Melun;48.54;2.66;17/08/2026;5;SOLEIL VOILÉ;30.2;18.5
Melun;48.54;2.66;18/08/2026;5;SOLEIL VOILÉ;31.7;15.7
Melun;48.54;2.66;19/08/2026;0;SOLEIL;28.7;16.6
Melun;48.54;2.66;20/08/2026;6;AVERSES;25.1;15.6
Melun;48.54;2.66;21/08/2026;6;AVERSES;23.1;14.5
Montereau-Fault-Yonne;48.38;2.95;17/08/2026;5;SOLEIL VOILÉ;29.1;19.2
Montereau-Fault-Yonne;48.38;2.95;18/08/2026;5;SOLEIL VOILÉ;31.2;16.6
Montereau-Fault-Yonne;48.38;2.95;19/08/2026;0;SOLEIL;29.1;17.5
Montereau-Fault-Yonne;48.38;2.95;20/08/2026;6;AVERSES;25.4;15.6
Montereau-Fault-Yonne;48.38;2.95;21/08/2026;6;AVERSES;23.7;14.7
Nangis;48.56;3.02;17/08/2026;5;SOLEIL VOILÉ;28;17.7
Nangis;48.56;3.02;18/08/2026;5;SOLEIL VOILÉ;29.7;14.1
Nangis;48.56;3.02;19/08/2026;0;SOLEIL;28;16.2
Nangis;48.56;3.02;20/08/2026;6;AVERSES;24.1;15.1
Nangis;48.56;3.02;21/08/2026;6;AVERSES;22.5;14
Nemours;48.27;2.69;17/08/2026;5;SOLEIL VOILÉ;29.7;18.6
Nemours;48.27;2.69;18/08/2026;5;SOLEIL VOILÉ;30.7;16.2
Nemours;48.27;2.69;19/08/2026;0;SOLEIL;28.2;16.5
Nemours;48.27;2.69;20/08/2026;7;PLUIE FAIBLE;25.1;15.1
Nemours;48.27;2.69;21/08/2026;6;AVERSES;23.4;14.4
Provins;48.56;3.3;17/08/2026;5;SOLEIL VOILÉ;29;17.7
Provins;48.56;3.3;18/08/2026;5;SOLEIL VOILÉ;30;15.6
Provins;48.56;3.3;19/08/2026;0;SOLEIL;29.4;16.2
Provins;48.56;3.3;20/08/2026;6;AVERSES;24.7;14.2
Provins;48.56;3.3;21/08/2026;6;AVERSES;22.6;13.2
Tournan-en-Brie;48.74;2.77;17/08/2026;5;SOLEIL VOILÉ;29;19.6
Tournan-en-Brie;48.74;2.77;18/08/2026;5;SOLEIL VOILÉ;30.6;18.2
Tournan-en-Brie;48.74;2.77;19/08/2026;0;SOLEIL;26.2;17.6
Tournan-en-Brie;48.74;2.77;20/08/2026;6;AVERSES;23.6;14.6
Tournan-en-Brie;48.74;2.77;21/08/2026;6;AVERSES;22.1;13.5
Houdan;48.79;1.6;17/08/2026;5;SOLEIL VOILÉ;28.7;15.2
Houdan;48.79;1.6;18/08/2026;5;SOLEIL VOILÉ;30.4;15
Houdan;48.79;1.6;19/08/2026;0;SOLEIL;25.2;15.2
Houdan;48.79;1.6;20/08/2026;6;AVERSES;23.6;13.6
Houdan;48.79;1.6;21/08/2026;6;AVERSES;22.2;12.7
Mantes-la-Jolie;48.99;1.72;17/08/2026;5;SOLEIL VOILÉ;28.6;16.6
