Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Angoulême;45.65;0.15;17/08/2026;5;SOLEIL VOILÉ;31.9;20.1
Angoulême;45.65;0.15;18/08/2026;0;SOLEIL;31.4;19.6
Angoulême;45.65;0.15;19/08/2026;0;SOLEIL;28.7;19
Angoulême;45.65;0.15;20/08/2026;6;AVERSES;25.1;19.1
Angoulême;45.65;0.15;21/08/2026;6;AVERSES;23.6;16.6
La Rochelle;46.16;-1.15;17/08/2026;5;SOLEIL VOILÉ;31.5;18.9
La Rochelle;46.16;-1.15;18/08/2026;0;SOLEIL;33.2;18
La Rochelle;46.16;-1.15;19/08/2026;0;SOLEIL;28.6;17.2
La Rochelle;46.16;-1.15;20/08/2026;7;PLUIE FAIBLE;25.2;18.1
La Rochelle;46.16;-1.15;21/08/2026;6;AVERSES;24.2;16.1
Pons;45.58;-0.55;17/08/2026;5;SOLEIL VOILÉ;26.2;19.5
Pons;45.58;-0.55;18/08/2026;0;SOLEIL;26.4;19
Pons;45.58;-0.55;19/08/2026;0;SOLEIL;23.7;18.9
Pons;45.58;-0.55;20/08/2026;6;AVERSES;23.7;18.9
Pons;45.58;-0.55;21/08/2026;6;AVERSES;23.1;18.1
Brive-la-Gaillarde;45.15;1.53;17/08/2026;5;SOLEIL VOILÉ;30.1;18.7
Brive-la-Gaillarde;45.15;1.53;18/08/2026;0;SOLEIL;31;18
Brive-la-Gaillarde;45.15;1.53;19/08/2026;0;SOLEIL;26.1;17.1
Brive-la-Gaillarde;45.15;1.53;20/08/2026;7;PLUIE FAIBLE;24.6;17.9
Brive-la-Gaillarde;45.15;1.53;21/08/2026;6;AVERSES;23.5;15.6
Tulle;45.26;1.77;17/08/2026;2;NUAGEUX;31.1;20.2
Tulle;45.26;1.77;18/08/2026;0;SOLEIL;32.1;18.6
Tulle;45.26;1.77;19/08/2026;0;SOLEIL;32.4;17.4
Tulle;45.26;1.77;20/08/2026;6;AVERSES;26.5;19.1
Tulle;45.26;1.77;21/08/2026;6;AVERSES;24.7;16.7
Guéret;46.17;1.87;17/08/2026;2;NUAGEUX;29.4;17.6
Guéret;46.17;1.87;18/08/2026;0;SOLEIL;31.1;16
Guéret;46.17;1.87;19/08/2026;0;SOLEIL;32;14.4
Guéret;46.17;1.87;20/08/2026;6;AVERSES;24.6;16.6
Guéret;46.17;1.87;21/08/2026;6;AVERSES;23.1;14.2
Périgueux;45.18;0.72;17/08/2026;2;NUAGEUX;29.1;18.6
Périgueux;45.18;0.72;18/08/2026;0;SOLEIL;29.1;16.6
Périgueux;45.18;0.72;19/08/2026;0;SOLEIL;28.4;16.2
Périgueux;45.18;0.72;20/08/2026;6;AVERSES;23;16.1
Périgueux;45.18;0.72;21/08/2026;6;AVERSES;21.6;13.6
Bordeaux;44.83;-0.57;17/08/2026;5;SOLEIL VOILÉ;30.9;18.1
Bordeaux;44.83;-0.57;18/08/2026;0;SOLEIL;31.9;17.6
Bordeaux;44.83;-0.57;19/08/2026;0;SOLEIL;29.7;16.1
Bordeaux;44.83;-0.57;20/08/2026;6;AVERSES;25.4;18.4
Bordeaux;44.83;-0.57;21/08/2026;6;AVERSES;24.4;16
Mimizan;44.2;-1.23;17/08/2026;2;NUAGEUX;27;19.7
Mimizan;44.2;-1.23;18/08/2026;0;SOLEIL;27.9;18
Mimizan;44.2;-1.23;19/08/2026;0;SOLEIL;26.2;18.1
Mimizan;44.2;-1.23;20/08/2026;6;AVERSES;24.7;18.9
Mimizan;44.2;-1.23;21/08/2026;6;AVERSES;23.4;16.9
Mont-de-Marsan;43.89;-0.5;17/08/2026;2;NUAGEUX;29.9;19.9
Mont-de-Marsan;43.89;-0.5;18/08/2026;0;SOLEIL;32.1;17.7
Mont-de-Marsan;43.89;-0.5;19/08/2026;0;SOLEIL;30.6;16.7
Mont-de-Marsan;43.89;-0.5;20/08/2026;6;AVERSES;24.6;18.5
Mont-de-Marsan;43.89;-0.5;21/08/2026;6;AVERSES;23.2;16.1
Agen;44.2;0.61;17/08/2026;2;NUAGEUX;31.1;19.5
Agen;44.2;0.61;18/08/2026;0;SOLEIL;31.5;18.1
Agen;44.2;0.61;19/08/2026;0;SOLEIL;31.2;17.1
Agen;44.2;0.61;20/08/2026;6;AVERSES;25.1;18.6
