Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bayeux;49.28;-0.7;11/08/2026;0;SOLEIL;32.1;14
Bayeux;49.28;-0.7;12/08/2026;0;SOLEIL;35.1;14.7
Bayeux;49.28;-0.7;13/08/2026;0;SOLEIL;36.6;15.6
Bayeux;49.28;-0.7;14/08/2026;0;SOLEIL;35.6;19.9
Bayeux;49.28;-0.7;15/08/2026;0;SOLEIL;29;19.4
Caen;49.18;-0.37;11/08/2026;0;SOLEIL;27.6;16.6
Caen;49.18;-0.37;12/08/2026;0;SOLEIL;29.1;17.1
Caen;49.18;-0.37;13/08/2026;0;SOLEIL;31.9;17.7
Caen;49.18;-0.37;14/08/2026;0;SOLEIL;30.1;19.1
Caen;49.18;-0.37;15/08/2026;0;SOLEIL;24.5;18.5
Clécy;48.91;-0.48;11/08/2026;0;SOLEIL;30.1;16.6
Clécy;48.91;-0.48;12/08/2026;0;SOLEIL;30.7;17.6
Clécy;48.91;-0.48;13/08/2026;0;SOLEIL;35.5;17.4
Clécy;48.91;-0.48;14/08/2026;0;SOLEIL;32.1;20.1
Clécy;48.91;-0.48;15/08/2026;0;SOLEIL;26.5;19.6
Lisieux;49.14;0.22;11/08/2026;0;SOLEIL;31.7;11.7
Lisieux;49.14;0.22;12/08/2026;0;SOLEIL;34.9;14.6
Lisieux;49.14;0.22;13/08/2026;0;SOLEIL;36.6;17.5
Lisieux;49.14;0.22;14/08/2026;0;SOLEIL;32.9;18.1
Lisieux;49.14;0.22;15/08/2026;0;SOLEIL;27.1;16.9
Vire;48.84;-0.89;11/08/2026;0;SOLEIL;33.9;12.9
Vire;48.84;-0.89;12/08/2026;0;SOLEIL;36.5;12.7
Vire;48.84;-0.89;13/08/2026;0;SOLEIL;37.7;15.6
Vire;48.84;-0.89;14/08/2026;0;SOLEIL;34.6;17.6
Vire;48.84;-0.89;15/08/2026;0;SOLEIL;28.7;17.6
Brionne;49.19;0.72;11/08/2026;0;SOLEIL;31.6;13.5
Brionne;49.19;0.72;12/08/2026;0;SOLEIL;33.2;15.1
Brionne;49.19;0.72;13/08/2026;0;SOLEIL;34.6;18.9
Brionne;49.19;0.72;14/08/2026;0;SOLEIL;31.9;19.1
Brionne;49.19;0.72;15/08/2026;0;SOLEIL;27.4;17.2
Étrépagny;49.3;1.61;11/08/2026;0;SOLEIL;32.6;12.4
Étrépagny;49.3;1.61;12/08/2026;0;SOLEIL;35.4;11.7
Étrépagny;49.3;1.61;13/08/2026;0;SOLEIL;37.4;14.2
Étrépagny;49.3;1.61;14/08/2026;0;SOLEIL;34.4;17.1
Étrépagny;49.3;1.61;15/08/2026;0;SOLEIL;28.5;17
Évreux;49.02;1.15;11/08/2026;0;SOLEIL;30.6;13.6
Évreux;49.02;1.15;12/08/2026;0;SOLEIL;34.4;15.6
Évreux;49.02;1.15;13/08/2026;0;SOLEIL;36.1;16.4
Évreux;49.02;1.15;14/08/2026;0;SOLEIL;36.1;18.6
Évreux;49.02;1.15;15/08/2026;0;SOLEIL;30.4;18.4
Giverny;49.07;1.53;11/08/2026;0;SOLEIL;32.1;15.2
Giverny;49.07;1.53;12/08/2026;0;SOLEIL;35;15.7
Giverny;49.07;1.53;13/08/2026;0;SOLEIL;35.6;17.1
Giverny;49.07;1.53;14/08/2026;0;SOLEIL;35.7;19.1
Giverny;49.07;1.53;15/08/2026;0;SOLEIL;30.4;18.5
Vesly;49.24;1.65;11/08/2026;0;SOLEIL;31.6;14.9
Vesly;49.24;1.65;12/08/2026;0;SOLEIL;34.7;16.5
Vesly;49.24;1.65;13/08/2026;0;SOLEIL;37.6;17.6
Vesly;49.24;1.65;14/08/2026;0;SOLEIL;37.7;19.1
Vesly;49.24;1.65;15/08/2026;0;SOLEIL;31.6;19
Verneuil-sur-Avre;48.74;0.93;11/08/2026;0;SOLEIL;30.5;14.1
Verneuil-sur-Avre;48.74;0.93;12/08/2026;0;SOLEIL;34.1;15.7
Verneuil-sur-Avre;48.74;0.93;13/08/2026;0;SOLEIL;36.2;17.1
Verneuil-sur-Avre;48.74;0.93;14/08/2026;0;SOLEIL;35.9;18.7
Verneuil-sur-Avre;48.74;0.93;15/08/2026;0;SOLEIL;30.4;18.5
Avranches;48.68;-1.36;11/08/2026;0;SOLEIL;31.7;13.7
Avranches;48.68;-1.36;12/08/2026;0;SOLEIL;34;12.1
Avranches;48.68;-1.36;13/08/2026;0;SOLEIL;37.1;14.7
Avranches;48.68;-1.36;14/08/2026;0;SOLEIL;36.4;17
Avranches;48.68;-1.36;15/08/2026;0;SOLEIL;30.6;16.2
Cherbourg-Octeville;49.63;-1.62;11/08/2026;0;SOLEIL;30.9;13.1
Cherbourg-Octeville;49.63;-1.62;12/08/2026;0;SOLEIL;32.9;18.4
Cherbourg-Octeville;49.63;-1.62;13/08/2026;0;SOLEIL;34.6;20.6
Cherbourg-Octeville;49.63;-1.62;14/08/2026;0;SOLEIL;29.5;20
Cherbourg-Octeville;49.63;-1.62;15/08/2026;0;SOLEIL;27.5;17.9
Coutances;49.05;-1.44;11/08/2026;0;SOLEIL;27;16.7
Coutances;49.05;-1.44;12/08/2026;0;SOLEIL;28.6;16
Coutances;49.05;-1.44;13/08/2026;0;SOLEIL;32.2;15.1
Coutances;49.05;-1.44;14/08/2026;0;SOLEIL;26.1;18.4
Coutances;49.05;-1.44;15/08/2026;0;SOLEIL;22.7;18.6
Saint-Lô;49.11;-1.09;11/08/2026;0;SOLEIL;30.4;14.6
Saint-Lô;49.11;-1.09;12/08/2026;0;SOLEIL;32.1;18.6
Saint-Lô;49.11;-1.09;13/08/2026;0;SOLEIL;35.5;18.2
Saint-Lô;49.11;-1.09;14/08/2026;0;SOLEIL;28.7;19.1
Saint-Lô;49.11;-1.09;15/08/2026;0;SOLEIL;26.6;17.6
Alençon;48.43;0.09;11/08/2026;0;SOLEIL;29.9;15.6
Alençon;48.43;0.09;12/08/2026;0;SOLEIL;33;16.2
Alençon;48.43;0.09;13/08/2026;0;SOLEIL;37.1;16.2
Alençon;48.43;0.09;14/08/2026;0;SOLEIL;31.6;17.4
Alençon;48.43;0.09;15/08/2026;0;SOLEIL;27.1;16.5
Argentan;48.74;-0.02;11/08/2026;0;SOLEIL;33.6;16.5
Argentan;48.74;-0.02;12/08/2026;0;SOLEIL;35.6;18.9
Argentan;48.74;-0.02;13/08/2026;0;SOLEIL;37.1;20.6
Argentan;48.74;-0.02;14/08/2026;0;SOLEIL;36;20.9
Argentan;48.74;-0.02;15/08/2026;0;SOLEIL;28.7;19
Domfront;48.59;-0.65;11/08/2026;0;SOLEIL;32.9;14
Domfront;48.59;-0.65;12/08/2026;0;SOLEIL;34.4;15.1
Domfront;48.59;-0.65;13/08/2026;0;SOLEIL;37.2;19
Domfront;48.59;-0.65;14/08/2026;0;SOLEIL;34.1;19.2
Domfront;48.59;-0.65;15/08/2026;0;SOLEIL;27.7;18.1
Mortagne-au-Perche;48.52;0.54;11/08/2026;0;SOLEIL;33.4;16.1
Mortagne-au-Perche;48.52;0.54;12/08/2026;0;SOLEIL;34.2;18.9
Mortagne-au-Perche;48.52;0.54;13/08/2026;0;SOLEIL;37;19.5
Mortagne-au-Perche;48.52;0.54;14/08/2026;0;SOLEIL;32.6;19.5
Mortagne-au-Perche;48.52;0.54;15/08/2026;0;SOLEIL;28.1;18
Villers-en-Ouche;48.86;0.57;11/08/2026;0;SOLEIL;31.9;17.4
Villers-en-Ouche;48.86;0.57;12/08/2026;0;SOLEIL;34.1;20
Villers-en-Ouche;48.86;0.57;13/08/2026;0;SOLEIL;35.6;23.1
Villers-en-Ouche;48.86;0.57;14/08/2026;0;SOLEIL;35;22.2
Villers-en-Ouche;48.86;0.57;15/08/2026;0;SOLEIL;28.9;20
Dieppe;49.92;1.07;11/08/2026;0;SOLEIL;31.1;13
Dieppe;49.92;1.07;12/08/2026;0;SOLEIL;33.7;13.6
Dieppe;49.92;1.07;13/08/2026;0;SOLEIL;36.4;16.7
Dieppe;49.92;1.07;14/08/2026;0;SOLEIL;34.1;18.9
Dieppe;49.92;1.07;15/08/2026;0;SOLEIL;27.7;17.2
Fécamp;49.75;0.37;11/08/2026;0;SOLEIL;25.6;14.6
Fécamp;49.75;0.37;12/08/2026;0;SOLEIL;27.4;15.5
Fécamp;49.75;0.37;13/08/2026;0;SOLEIL;27.6;17.6
Fécamp;49.75;0.37;14/08/2026;0;SOLEIL;28;19.1
Fécamp;49.75;0.37;15/08/2026;0;SOLEIL;23.5;19.2
Le Havre;49.49;0.1;11/08/2026;0;SOLEIL;24.6;15.6
Le Havre;49.49;0.1;12/08/2026;0;SOLEIL;27.6;15.9
Le Havre;49.49;0.1;13/08/2026;0;SOLEIL;30;20
Le Havre;49.49;0.1;14/08/2026;0;SOLEIL;29.6;20
Le Havre;49.49;0.1;15/08/2026;0;SOLEIL;23.7;18.2
Neufchâtel-en-Bray;49.73;1.44;11/08/2026;0;SOLEIL;29.6;17
Neufchâtel-en-Bray;49.73;1.44;12/08/2026;0;SOLEIL;29.4;18
Neufchâtel-en-Bray;49.73;1.44;13/08/2026;0;SOLEIL;33;20
Neufchâtel-en-Bray;49.73;1.44;14/08/2026;0;SOLEIL;29.6;19.7
Neufchâtel-en-Bray;49.73;1.44;15/08/2026;0;SOLEIL;26.1;19.6
Rouen;49.44;1.09;11/08/2026;0;SOLEIL;30.7;11.6
Rouen;49.44;1.09;12/08/2026;0;SOLEIL;34.6;12.1
Rouen;49.44;1.09;13/08/2026;0;SOLEIL;36.1;14.2
Rouen;49.44;1.09;14/08/2026;0;SOLEIL;34.1;18.2
Rouen;49.44;1.09;15/08/2026;0;SOLEIL;28.4;17
Le Tréport;50.06;1.37;11/08/2026;0;SOLEIL;27.7;15.1
Le Tréport;50.06;1.37;12/08/2026;0;SOLEIL;30.2;16.6
Le Tréport;50.06;1.37;13/08/2026;0;SOLEIL;32.6;19.1
Le Tréport;50.06;1.37;14/08/2026;0;SOLEIL;28.6;20.1
Le Tréport;50.06;1.37;15/08/2026;0;SOLEIL;25.2;19.9
