Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Foix;42.96;1.6;12/08/2026;0;SOLEIL;37.2;23.5
Foix;42.96;1.6;13/08/2026;0;SOLEIL;38.7;22.7
Foix;42.96;1.6;14/08/2026;0;SOLEIL;38.1;22.1
Foix;42.96;1.6;15/08/2026;2;NUAGEUX;31.7;23.1
Foix;42.96;1.6;16/08/2026;6;AVERSES;29.7;21.5
Carcassonne;43.21;2.35;12/08/2026;0;SOLEIL;36.6;19
Carcassonne;43.21;2.35;13/08/2026;0;SOLEIL;36.9;20.6
Carcassonne;43.21;2.35;14/08/2026;0;SOLEIL;35.9;20.1
Carcassonne;43.21;2.35;15/08/2026;6;AVERSES;28.5;20.1
Carcassonne;43.21;2.35;16/08/2026;6;AVERSES;27.2;18.6
Laguiole;44.68;2.85;12/08/2026;0;SOLEIL;38.6;21.1
Laguiole;44.68;2.85;13/08/2026;0;SOLEIL;39.2;21.7
Laguiole;44.68;2.85;14/08/2026;0;SOLEIL;39.1;22.6
Laguiole;44.68;2.85;15/08/2026;2;NUAGEUX;33.4;22.6
Laguiole;44.68;2.85;16/08/2026;6;AVERSES;30.6;21.1
Rodez;44.35;2.57;12/08/2026;0;SOLEIL;30.2;16.2
Rodez;44.35;2.57;13/08/2026;0;SOLEIL;32.1;17.6
Rodez;44.35;2.57;14/08/2026;0;SOLEIL;32;18.1
Rodez;44.35;2.57;15/08/2026;6;AVERSES;27.1;17
Rodez;44.35;2.57;16/08/2026;6;AVERSES;23.6;15
Saint-Affrique;43.96;2.88;12/08/2026;0;SOLEIL;33.5;15.4
Saint-Affrique;43.96;2.88;13/08/2026;0;SOLEIL;34.2;18.1
Saint-Affrique;43.96;2.88;14/08/2026;0;SOLEIL;35;18.6
Saint-Affrique;43.96;2.88;15/08/2026;6;AVERSES;29;17.2
Saint-Affrique;43.96;2.88;16/08/2026;6;AVERSES;25.7;16.1
Alès;44.12;4.08;12/08/2026;0;SOLEIL;37.2;18
Alès;44.12;4.08;13/08/2026;0;SOLEIL;37.6;19.1
Alès;44.12;4.08;14/08/2026;0;SOLEIL;38.9;19.5
Alès;44.12;4.08;15/08/2026;2;NUAGEUX;31.6;19.1
Alès;44.12;4.08;16/08/2026;6;AVERSES;28.4;18.2
Nîmes;43.83;4.36;12/08/2026;0;SOLEIL;39.4;21.5
Nîmes;43.83;4.36;13/08/2026;0;SOLEIL;39.5;23
Nîmes;43.83;4.36;14/08/2026;0;SOLEIL;40;22.9
Nîmes;43.83;4.36;15/08/2026;6;AVERSES;35.2;22.1
Nîmes;43.83;4.36;16/08/2026;6;AVERSES;31.5;20
Saint-Gaudens;43.1;0.72;12/08/2026;0;SOLEIL;37.9;23.1
Saint-Gaudens;43.1;0.72;13/08/2026;0;SOLEIL;38.2;23.4
Saint-Gaudens;43.1;0.72;14/08/2026;0;SOLEIL;38.2;23.1
Saint-Gaudens;43.1;0.72;15/08/2026;0;SOLEIL;35.6;23.1
Saint-Gaudens;43.1;0.72;16/08/2026;0;SOLEIL;33.1;22.2
Toulouse;43.6;1.44;12/08/2026;0;SOLEIL;36;19.7
Toulouse;43.6;1.44;13/08/2026;0;SOLEIL;37.6;19.1
Toulouse;43.6;1.44;14/08/2026;0;SOLEIL;35.1;19.2
Toulouse;43.6;1.44;15/08/2026;6;AVERSES;28.5;20
Toulouse;43.6;1.44;16/08/2026;6;AVERSES;27.4;18.6
Auch;43.64;0.58;12/08/2026;0;SOLEIL;37.6;20.4
Auch;43.64;0.58;13/08/2026;0;SOLEIL;38.5;20.5
Auch;43.64;0.58;14/08/2026;0;SOLEIL;36;21
