Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Barcelonnette;44.38;6.65;14/08/2026;0;SOLEIL;32.5;25.6
Barcelonnette;44.38;6.65;15/08/2026;10;ORAGEUX;32;25.2
Barcelonnette;44.38;6.65;16/08/2026;0;SOLEIL;31.4;24.7
Barcelonnette;44.38;6.65;17/08/2026;0;SOLEIL;29.9;24.2
Barcelonnette;44.38;6.65;18/08/2026;0;SOLEIL;29.6;22.5
Digne-les-Bains;44.09;6.23;14/08/2026;10;ORAGEUX;29.7;10.1
Digne-les-Bains;44.09;6.23;15/08/2026;6;AVERSES;29.4;10.1
Digne-les-Bains;44.09;6.23;16/08/2026;6;AVERSES;26.2;9.4
Digne-les-Bains;44.09;6.23;17/08/2026;10;ORAGEUX;24.6;10.6
Digne-les-Bains;44.09;6.23;18/08/2026;0;SOLEIL;27.5;8.2
Forcalquier;43.96;5.78;14/08/2026;0;SOLEIL;35.1;17.6
Forcalquier;43.96;5.78;15/08/2026;10;ORAGEUX;31.1;17.1
Forcalquier;43.96;5.78;16/08/2026;10;ORAGEUX;31.1;16.1
Forcalquier;43.96;5.78;17/08/2026;6;AVERSES;29.9;15.2
Forcalquier;43.96;5.78;18/08/2026;0;SOLEIL;31;13.9
Briançon;44.89;6.64;14/08/2026;10;ORAGEUX;35.1;18.4
Briançon;44.89;6.64;15/08/2026;10;ORAGEUX;33.6;16.6
Briançon;44.89;6.64;16/08/2026;10;ORAGEUX;32;16.6
Briançon;44.89;6.64;17/08/2026;10;ORAGEUX;29.7;16.7
Briançon;44.89;6.64;18/08/2026;0;SOLEIL;30.7;16.9
Étoile-Saint-Cyrice;44.31;5.63;14/08/2026;10;ORAGEUX;28.6;13.1
Étoile-Saint-Cyrice;44.31;5.63;15/08/2026;2;NUAGEUX;28.1;12.6
Étoile-Saint-Cyrice;44.31;5.63;16/08/2026;2;NUAGEUX;26.6;12.1
Étoile-Saint-Cyrice;44.31;5.63;17/08/2026;6;AVERSES;24.9;11.9
Étoile-Saint-Cyrice;44.31;5.63;18/08/2026;0;SOLEIL;28.5;12.1
Gap;44.56;6.07;14/08/2026;10;ORAGEUX;33.5;14.9
Gap;44.56;6.07;15/08/2026;10;ORAGEUX;31.6;14.4
Gap;44.56;6.07;16/08/2026;10;ORAGEUX;30.1;14.7
Gap;44.56;6.07;17/08/2026;6;AVERSES;26.1;13.4
Gap;44.56;6.07;18/08/2026;0;SOLEIL;28.4;13.6
Vallouise;44.84;6.48;14/08/2026;10;ORAGEUX;35.5;19.4
Vallouise;44.84;6.48;15/08/2026;10;ORAGEUX;34;18.5
Vallouise;44.84;6.48;16/08/2026;10;ORAGEUX;31.9;17.9
Vallouise;44.84;6.48;17/08/2026;6;AVERSES;28.7;16.5
Vallouise;44.84;6.48;18/08/2026;0;SOLEIL;30.1;15.1
Cannes;43.55;7.01;14/08/2026;10;ORAGEUX;29.4;13.6
Cannes;43.55;7.01;15/08/2026;2;NUAGEUX;28.6;11.9
Cannes;43.55;7.01;16/08/2026;6;AVERSES;26;11.1
Cannes;43.55;7.01;17/08/2026;6;AVERSES;26.4;11.5
Cannes;43.55;7.01;18/08/2026;0;SOLEIL;29.2;9.6
Nice;43.71;7.26;14/08/2026;0;SOLEIL;34.6;26.1
Nice;43.71;7.26;15/08/2026;10;ORAGEUX;34;22.6
