Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Blain;47.47;-1.76;14/08/2026;0;SOLEIL;38.2;22.2
Blain;47.47;-1.76;15/08/2026;5;SOLEIL VOILÉ;34.9;22.2
Blain;47.47;-1.76;16/08/2026;0;SOLEIL;30.1;21
Blain;47.47;-1.76;17/08/2026;0;SOLEIL;29.2;18.4
Blain;47.47;-1.76;18/08/2026;0;SOLEIL;29.6;17.9
Châteaubriant;47.71;-1.37;14/08/2026;0;SOLEIL;37.6;19.4
Châteaubriant;47.71;-1.37;15/08/2026;5;SOLEIL VOILÉ;33.4;18.4
Châteaubriant;47.71;-1.37;16/08/2026;0;SOLEIL;30;18.9
Châteaubriant;47.71;-1.37;17/08/2026;0;SOLEIL;30.9;16.1
Châteaubriant;47.71;-1.37;18/08/2026;0;SOLEIL;30.5;15.6
NANTES;47.21;-1.55;14/08/2026;0;SOLEIL;37.1;19.7
NANTES;47.21;-1.55;15/08/2026;10;ORAGEUX;32.6;19.1
NANTES;47.21;-1.55;16/08/2026;0;SOLEIL;29.5;19
NANTES;47.21;-1.55;17/08/2026;0;SOLEIL;29.2;16.2
NANTES;47.21;-1.55;18/08/2026;0;SOLEIL;29.9;16.1
Saint-Nazaire;47.27;-2.21;14/08/2026;0;SOLEIL;34.1;19.9
Saint-Nazaire;47.27;-2.21;15/08/2026;5;SOLEIL VOILÉ;30.1;19.7
Saint-Nazaire;47.27;-2.21;16/08/2026;0;SOLEIL;29.7;18.2
Saint-Nazaire;47.27;-2.21;17/08/2026;0;SOLEIL;28.7;17.4
Saint-Nazaire;47.27;-2.21;18/08/2026;0;SOLEIL;27;17.1
Angers;47.47;-0.55;14/08/2026;0;SOLEIL;39.2;22.9
Angers;47.47;-0.55;15/08/2026;10;ORAGEUX;31.6;22
Angers;47.47;-0.55;16/08/2026;0;SOLEIL;30;20.1
Angers;47.47;-0.55;17/08/2026;0;SOLEIL;29.6;17.1
Angers;47.47;-0.55;18/08/2026;0;SOLEIL;30.7;16.7
Cholet;47.06;-0.87;14/08/2026;0;SOLEIL;37.1;21.9
Cholet;47.06;-0.87;15/08/2026;10;ORAGEUX;31.9;21.4
Cholet;47.06;-0.87;16/08/2026;0;SOLEIL;30.9;19.7
Cholet;47.06;-0.87;17/08/2026;0;SOLEIL;30.1;16.9
Cholet;47.06;-0.87;18/08/2026;0;SOLEIL;31;16.6
Nyoiseau;47.71;-0.91;14/08/2026;0;SOLEIL;37.1;19.6
Nyoiseau;47.71;-0.91;15/08/2026;10;ORAGEUX;32.4;18.9
Nyoiseau;47.71;-0.91;16/08/2026;0;SOLEIL;30.5;18
Nyoiseau;47.71;-0.91;17/08/2026;0;SOLEIL;28.9;15.6
Nyoiseau;47.71;-0.91;18/08/2026;0;SOLEIL;29.6;15.2
Saumur;47.26;-0.07;14/08/2026;0;SOLEIL;40.6;22.9
Saumur;47.26;-0.07;15/08/2026;10;ORAGEUX;33.9;23.2
Saumur;47.26;-0.07;16/08/2026;6;AVERSES;30.1;21.1
Saumur;47.26;-0.07;17/08/2026;0;SOLEIL;29.7;17.1
Saumur;47.26;-0.07;18/08/2026;0;SOLEIL;31.2;16.6
Ernée;48.3;-0.93;14/08/2026;0;SOLEIL;36.4;18.6
Ernée;48.3;-0.93;15/08/2026;5;SOLEIL VOILÉ;31.1;19.1
Ernée;48.3;-0.93;16/08/2026;0;SOLEIL;29.1;17.4
Ernée;48.3;-0.93;17/08/2026;0;SOLEIL;27.7;15.6
Ernée;48.3;-0.93;18/08/2026;0;SOLEIL;27.1;15.6
Javron-les-Chapelles;48.41;-0.34;14/08/2026;0;SOLEIL;37.2;18.2
Javron-les-Chapelles;48.41;-0.34;15/08/2026;5;SOLEIL VOILÉ;31.1;17.1
Javron-les-Chapelles;48.41;-0.34;16/08/2026;0;SOLEIL;29.7;16.2
Javron-les-Chapelles;48.41;-0.34;17/08/2026;0;SOLEIL;26.6;14.2
Javron-les-Chapelles;48.41;-0.34;18/08/2026;0;SOLEIL;26.4;14.5
Laval;48.07;-0.77;14/08/2026;0;SOLEIL;36.9;20.2
Laval;48.07;-0.77;15/08/2026;5;SOLEIL VOILÉ;32.6;19.6
Laval;48.07;-0.77;16/08/2026;0;SOLEIL;29.9;18.1
Laval;48.07;-0.77;17/08/2026;0;SOLEIL;29.5;16.4
Laval;48.07;-0.77;18/08/2026;0;SOLEIL;29.1;16.2
La Ferté-Bernard;48.18;0.65;14/08/2026;0;SOLEIL;38.1;20.6
La Ferté-Bernard;48.18;0.65;15/08/2026;10;ORAGEUX;33;19.4
La Ferté-Bernard;48.18;0.65;16/08/2026;5;SOLEIL VOILÉ;28.6;17.9
La Ferté-Bernard;48.18;0.65;17/08/2026;0;SOLEIL;27.1;15.4
La Ferté-Bernard;48.18;0.65;18/08/2026;0;SOLEIL;27.5;14.4
La Flèche;47.7;-0.07;14/08/2026;0;SOLEIL;39.5;22.5
La Flèche;47.7;-0.07;15/08/2026;5;SOLEIL VOILÉ;32.7;21.9
La Flèche;47.7;-0.07;16/08/2026;0;SOLEIL;29.9;19.4
La Flèche;47.7;-0.07;17/08/2026;0;SOLEIL;29.9;16.1
La Flèche;47.7;-0.07;18/08/2026;0;SOLEIL;31.1;15.1
Le Mans;48.0;0.19;14/08/2026;0;SOLEIL;39.9;20.7
Le Mans;48.0;0.19;15/08/2026;10;ORAGEUX;32.1;20.1
Le Mans;48.0;0.19;16/08/2026;0;SOLEIL;29.7;18.9
Le Mans;48.0;0.19;17/08/2026;0;SOLEIL;28.5;16.6
Le Mans;48.0;0.19;18/08/2026;0;SOLEIL;28.9;15.5
Mamers;48.35;0.37;14/08/2026;0;SOLEIL;38.4;20
Mamers;48.35;0.37;15/08/2026;10;ORAGEUX;31.2;18.6
Mamers;48.35;0.37;16/08/2026;0;SOLEIL;28.7;17.9
Mamers;48.35;0.37;17/08/2026;0;SOLEIL;27.5;15.9
Mamers;48.35;0.37;18/08/2026;0;SOLEIL;27.7;15.5
Challans;46.84;-1.88;14/08/2026;0;SOLEIL;39.4;21.7
Challans;46.84;-1.88;15/08/2026;5;SOLEIL VOILÉ;34;22.5
Challans;46.84;-1.88;16/08/2026;0;SOLEIL;31.5;20.6
Challans;46.84;-1.88;17/08/2026;0;SOLEIL;28.6;16.5
Challans;46.84;-1.88;18/08/2026;0;SOLEIL;27.6;16
Fontenay-le-Comte;46.46;-0.8;14/08/2026;0;SOLEIL;38.2;22.6
Fontenay-le-Comte;46.46;-0.8;15/08/2026;10;ORAGEUX;31.1;21.9
Fontenay-le-Comte;46.46;-0.8;16/08/2026;2;NUAGEUX;27.7;20.6
Fontenay-le-Comte;46.46;-0.8;17/08/2026;0;SOLEIL;31.1;17.9
Fontenay-le-Comte;46.46;-0.8;18/08/2026;0;SOLEIL;31.2;17
La Roche-sur-Yon;46.67;-1.42;14/08/2026;0;SOLEIL;38.7;23.4
La Roche-sur-Yon;46.67;-1.42;15/08/2026;10;ORAGEUX;33.1;22.4
La Roche-sur-Yon;46.67;-1.42;16/08/2026;0;SOLEIL;28.9;20.1
La Roche-sur-Yon;46.67;-1.42;17/08/2026;0;SOLEIL;30.4;17.9
La Roche-sur-Yon;46.67;-1.42;18/08/2026;0;SOLEIL;30;17.2
La Tranche-sur-Mer;46.34;-1.43;14/08/2026;0;SOLEIL;31.2;20.7
La Tranche-sur-Mer;46.34;-1.43;15/08/2026;10;ORAGEUX;28.5;21.4
La Tranche-sur-Mer;46.34;-1.43;16/08/2026;0;SOLEIL;26.7;20.7
La Tranche-sur-Mer;46.34;-1.43;17/08/2026;0;SOLEIL;27.5;18.1
La Tranche-sur-Mer;46.34;-1.43;18/08/2026;0;SOLEIL;26.9;17.1
