Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
BREST;48.39;-4.48;26/08/2026;00:00;21.5;2;NUAGEUX;2;16.6;0
BREST;48.39;-4.48;26/08/2026;01:00;20.4;2;NUAGEUX;2;17.3;0
BREST;48.39;-4.48;26/08/2026;02:00;20.6;2;NUAGEUX;2;17.3;0
BREST;48.39;-4.48;26/08/2026;03:00;20.4;0;SOLEIL;2;15.5;0
BREST;48.39;-4.48;26/08/2026;04:00;20.1;0;SOLEIL;2;14.8;0
BREST;48.39;-4.48;26/08/2026;05:00;19.7;0;SOLEIL;2;13.3;0
BREST;48.39;-4.48;26/08/2026;06:00;19.6;0;SOLEIL;1;14.0;0
BREST;48.39;-4.48;26/08/2026;07:00;20.6;0;SOLEIL;2;13.7;0
BREST;48.39;-4.48;26/08/2026;08:00;22.1;0;SOLEIL;2;13.3;0
BREST;48.39;-4.48;26/08/2026;09:00;23;5;SOLEIL VOILÉ;2;13.3;0
BREST;48.39;-4.48;26/08/2026;10:00;24;5;SOLEIL VOILÉ;2;14.4;0
BREST;48.39;-4.48;26/08/2026;11:00;25.7;5;SOLEIL VOILÉ;2;18.0;0
BREST;48.39;-4.48;26/08/2026;12:00;27;5;SOLEIL VOILÉ;3;19.1;0
BREST;48.39;-4.48;26/08/2026;13:00;27.6;5;SOLEIL VOILÉ;3;19.4;0
BREST;48.39;-4.48;26/08/2026;14:00;27.9;5;SOLEIL VOILÉ;3;20.2;0
BREST;48.39;-4.48;26/08/2026;15:00;27.9;5;SOLEIL VOILÉ;3;18.7;0
BREST;48.39;-4.48;26/08/2026;16:00;27.6;5;SOLEIL VOILÉ;4;20.2;0
BREST;48.39;-4.48;26/08/2026;17:00;27.5;5;SOLEIL VOILÉ;4;20.2;0
BREST;48.39;-4.48;26/08/2026;18:00;27.4;5;SOLEIL VOILÉ;4;24.1;0
BREST;48.39;-4.48;26/08/2026;19:00;26.2;5;SOLEIL VOILÉ;4;23.4;0
BREST;48.39;-4.48;26/08/2026;20:00;25;5;SOLEIL VOILÉ;4;22.7;0
BREST;48.39;-4.48;26/08/2026;21:00;24.2;5;SOLEIL VOILÉ;4;19.8;0
BREST;48.39;-4.48;26/08/2026;22:00;23.9;10;ORAGEUX;4;17.3;0
BREST;48.39;-4.48;26/08/2026;23:00;23.4;10;ORAGEUX;4;19.1;0
BREST;48.39;-4.48;27/08/2026;00:00;22.9;10;ORAGEUX;4;20.9;0
BREST;48.39;-4.48;27/08/2026;01:00;22.9;10;ORAGEUX;4;27.0;0
BREST;48.39;-4.48;27/08/2026;02:00;20.9;10;ORAGEUX;3;31.7;0
BREST;48.39;-4.48;27/08/2026;03:00;20.9;10;ORAGEUX;3;27.5;0
BREST;48.39;-4.48;27/08/2026;04:00;20.9;10;ORAGEUX;3;22.7;0
BREST;48.39;-4.48;27/08/2026;05:00;20.4;10;ORAGEUX;4;22.5;0
BREST;48.39;-4.48;27/08/2026;06:00;20.4;10;ORAGEUX;4;38.9;0
BREST;48.39;-4.48;27/08/2026;07:00;20.4;10;ORAGEUX;4;18.7;0
BREST;48.39;-4.48;27/08/2026;08:00;22.6;5;SOLEIL VOILÉ;3;18.0;0
BREST;48.39;-4.48;27/08/2026;09:00;22.6;5;SOLEIL VOILÉ;3;12.6;0
BREST;48.39;-4.48;27/08/2026;10:00;22.6;5;SOLEIL VOILÉ;3;23.0;0
BREST;48.39;-4.48;27/08/2026;11:00;25.5;5;SOLEIL VOILÉ;3;22.7;0
BREST;48.39;-4.48;27/08/2026;12:00;25.5;5;SOLEIL VOILÉ;3;22.3;0
BREST;48.39;-4.48;27/08/2026;13:00;25.5;5;SOLEIL VOILÉ;3;27.4;0
BREST;48.39;-4.48;27/08/2026;14:00;25.6;5;SOLEIL VOILÉ;3;38.2;0
BREST;48.39;-4.48;27/08/2026;15:00;25.6;5;SOLEIL VOILÉ;3;37.8;0
BREST;48.39;-4.48;27/08/2026;16:00;25.6;5;SOLEIL VOILÉ;3;33.8;0
BREST;48.39;-4.48;27/08/2026;17:00;23.4;6;AVERSES;3;33.5;0
BREST;48.39;-4.48;27/08/2026;18:00;23.4;6;AVERSES;3;32.0;0
BREST;48.39;-4.48;27/08/2026;19:00;23.4;6;AVERSES;3;29.2;0
BREST;48.39;-4.48;27/08/2026;20:00;21.1;10;ORAGEUX;2;35.3;0
BREST;48.39;-4.48;27/08/2026;21:00;21.1;10;ORAGEUX;2;23.8;0
BREST;48.39;-4.48;27/08/2026;22:00;21.1;10;ORAGEUX;2;23.8;0
BREST;48.39;-4.48;27/08/2026;23:00;19;0;SOLEIL;2;15.1;0
BREST;48.39;-4.48;28/08/2026;00:00;19;0;SOLEIL;2;21.2;0
BREST;48.39;-4.48;28/08/2026;01:00;19;0;SOLEIL;2;22.0;0
BREST;48.39;-4.48;28/08/2026;02:00;18.5;0;SOLEIL;3;26.3;0
BREST;48.39;-4.48;28/08/2026;03:00;18.5;0;SOLEIL;3;29.9;0
BREST;48.39;-4.48;28/08/2026;04:00;18.5;0;SOLEIL;3;35.3;0
BREST;48.39;-4.48;28/08/2026;05:00;17.5;6;AVERSES;4;39.2;0
BREST;48.39;-4.48;28/08/2026;06:00;17.5;6;AVERSES;4;35.3;0
BREST;48.39;-4.48;28/08/2026;07:00;17.5;6;AVERSES;4;34.2;0
BREST;48.39;-4.48;28/08/2026;08:00;19.4;0;SOLEIL;5;38.5;0
BREST;48.39;-4.48;28/08/2026;09:00;19.4;0;SOLEIL;5;40.0;0
BREST;48.39;-4.48;28/08/2026;10:00;19.4;0;SOLEIL;5;41.8;0
BREST;48.39;-4.48;28/08/2026;11:00;21.1;0;SOLEIL;6;43.9;0
BREST;48.39;-4.48;28/08/2026;12:00;21.1;0;SOLEIL;6;46.1;0
BREST;48.39;-4.48;28/08/2026;13:00;21.1;0;SOLEIL;6;47.9;0
BREST;48.39;-4.48;28/08/2026;14:00;22.5;6;AVERSES;6;49.7;0
BREST;48.39;-4.48;28/08/2026;15:00;22.5;6;AVERSES;6;51.5;0
BREST;48.39;-4.48;28/08/2026;16:00;22.5;6;AVERSES;6;52.6;0
BREST;48.39;-4.48;28/08/2026;17:00;21.6;6;AVERSES;4;52.6;0
BREST;48.39;-4.48;28/08/2026;18:00;21.6;6;AVERSES;4;49.7;0
BREST;48.39;-4.48;28/08/2026;19:00;21.6;6;AVERSES;4;45.4;0
BREST;48.39;-4.48;28/08/2026;20:00;19.7;6;AVERSES;5;41.8;0
BREST;48.39;-4.48;28/08/2026;21:00;19.0;6;AVERSES;5;39.2;0
BREST;48.39;-4.48;28/08/2026;22:00;18.4;6;AVERSES;5;37.8;0
BREST;48.39;-4.48;28/08/2026;23:00;17.9;0;SOLEIL;4;37.1;0
BREST;48.39;-4.48;29/08/2026;00:00;17.9;0;SOLEIL;4;38.9;0
BREST;48.39;-4.48;29/08/2026;01:00;17.9;0;SOLEIL;4;41.4;0
BREST;48.39;-4.48;29/08/2026;02:00;16.5;6;AVERSES;5;42.5;0
BREST;48.39;-4.48;29/08/2026;03:00;16.5;6;AVERSES;5;39.6;0
BREST;48.39;-4.48;29/08/2026;04:00;16.5;6;AVERSES;5;34.9;0
BREST;48.39;-4.48;29/08/2026;05:00;17.5;2;NUAGEUX;4;31.3;0
BREST;48.39;-4.48;29/08/2026;06:00;17.5;2;NUAGEUX;4;29.2;0
BREST;48.39;-4.48;29/08/2026;07:00;17.5;2;NUAGEUX;4;28.1;0
BREST;48.39;-4.48;29/08/2026;08:00;18.1;6;AVERSES;5;29.5;0
BREST;48.39;-4.48;29/08/2026;09:00;18.9;6;AVERSES;5;35.3;0
BREST;48.39;-4.48;29/08/2026;10:00;19.7;6;AVERSES;5;43.6;0
BREST;48.39;-4.48;29/08/2026;11:00;21.6;6;AVERSES;5;49.7;0
