Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bourg-en-Bresse;46.2;5.22;31/08/2026;00:00;20.9;0;SOLEIL;2;23.0;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;01:00;20.1;0;SOLEIL;2;14.0;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;02:00;19.5;0;SOLEIL;1;15.1;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;03:00;19.6;6;AVERSES;2;14.8;0.2
Bourg-en-Bresse;46.2;5.22;31/08/2026;04:00;19.2;0;SOLEIL;1;9.4;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;05:00;19.1;0;SOLEIL;1;10.1;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;06:00;19.5;0;SOLEIL;2;16.9;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;07:00;19.6;0;SOLEIL;2;19.1;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;08:00;20;0;SOLEIL;2;15.8;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;09:00;21.7;0;SOLEIL;2;15.8;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;10:00;22.6;0;SOLEIL;2;15.1;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;11:00;24.6;0;SOLEIL;3;12.6;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;12:00;26.4;0;SOLEIL;2;12.6;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;13:00;27.4;0;SOLEIL;3;19.8;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;14:00;27.6;0;SOLEIL;4;22.3;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;15:00;27.7;0;SOLEIL;4;30.6;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;16:00;26.9;0;SOLEIL;4;31.3;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;17:00;26.4;0;SOLEIL;4;29.2;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;18:00;25.4;0;SOLEIL;4;29.5;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;19:00;22;0;SOLEIL;3;30.6;0
Bourg-en-Bresse;46.2;5.22;31/08/2026;20:00;20.7;0;SOLEIL;3;28.4;0
