Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Lannion;48.73;-3.46;06/09/2026;00:00;17.1;0;SOLEIL;3;18.1;0
Lannion;48.73;-3.46;06/09/2026;01:00;16.6;0;SOLEIL;2;19.4;0
Lannion;48.73;-3.46;06/09/2026;02:00;16.1;0;SOLEIL;2;20.9;0
Lannion;48.73;-3.46;06/09/2026;03:00;16.4;0;SOLEIL;3;15.5;0
Lannion;48.73;-3.46;06/09/2026;04:00;15.6;5;SOLEIL VOILÉ;3;14.4;0
Lannion;48.73;-3.46;06/09/2026;05:00;15;5;SOLEIL VOILÉ;3;14.4;0
Lannion;48.73;-3.46;06/09/2026;06:00;15.6;5;SOLEIL VOILÉ;3;14.8;0
Lannion;48.73;-3.46;06/09/2026;07:00;17.6;2;NUAGEUX;3;18.4;0
Lannion;48.73;-3.46;06/09/2026;08:00;19.5;2;NUAGEUX;3;24.1;0
Lannion;48.73;-3.46;06/09/2026;09:00;22.1;2;NUAGEUX;3;21.6;0
Lannion;48.73;-3.46;06/09/2026;10:00;24.1;2;NUAGEUX;3;23.4;0
Lannion;48.73;-3.46;06/09/2026;11:00;26.6;2;NUAGEUX;3;22.0;0
Lannion;48.73;-3.46;06/09/2026;12:00;27.4;2;NUAGEUX;4;20.2;0
Lannion;48.73;-3.46;06/09/2026;13:00;29.5;2;NUAGEUX;3;22.3;0
Lannion;48.73;-3.46;06/09/2026;14:00;31.1;0;SOLEIL;3;27.0;0
Lannion;48.73;-3.46;06/09/2026;15:00;31.5;0;SOLEIL;3;28.4;0
Lannion;48.73;-3.46;06/09/2026;16:00;31.9;0;SOLEIL;3;29.2;0
Lannion;48.73;-3.46;06/09/2026;17:00;31.6;0;SOLEIL;3;29.5;0
Lannion;48.73;-3.46;06/09/2026;18:00;30.1;0;SOLEIL;3;28.1;0
Lannion;48.73;-3.46;06/09/2026;19:00;28.1;0;SOLEIL;4;22.3;0
Lannion;48.73;-3.46;06/09/2026;20:00;25.5;0;SOLEIL;4;19.8;0
Lannion;48.73;-3.46;06/09/2026;21:00;22.7;0;SOLEIL;4;13.0;0
Lannion;48.73;-3.46;06/09/2026;22:00;22.1;0;SOLEIL;3;11.5;0
Lannion;48.73;-3.46;06/09/2026;23:00;21;0;SOLEIL;3;10.4;0
Lannion;48.73;-3.46;07/09/2026;00:00;20.4;5;SOLEIL VOILÉ;3;11.9;0
Lannion;48.73;-3.46;07/09/2026;01:00;20.4;5;SOLEIL VOILÉ;3;13.0;0
Lannion;48.73;-3.46;07/09/2026;02:00;20.1;2;NUAGEUX;3;12.6;0
Lannion;48.73;-3.46;07/09/2026;03:00;20.1;2;NUAGEUX;3;18.0;0
Lannion;48.73;-3.46;07/09/2026;04:00;20.1;2;NUAGEUX;3;18.0;0
Lannion;48.73;-3.46;07/09/2026;05:00;19.4;2;NUAGEUX;3;14.0;0
Lannion;48.73;-3.46;07/09/2026;06:00;19.4;2;NUAGEUX;3;14.0;0
Lannion;48.73;-3.46;07/09/2026;07:00;19.4;2;NUAGEUX;3;15.8;0
Lannion;48.73;-3.46;07/09/2026;08:00;22.2;2;NUAGEUX;4;18.4;0
Lannion;48.73;-3.46;07/09/2026;09:00;22.2;2;NUAGEUX;4;18.7;0
Lannion;48.73;-3.46;07/09/2026;10:00;22.2;2;NUAGEUX;4;20.9;0
Lannion;48.73;-3.46;07/09/2026;11:00;26.5;2;NUAGEUX;5;22.3;0
Lannion;48.73;-3.46;07/09/2026;12:00;26.5;2;NUAGEUX;5;23.8;0
Lannion;48.73;-3.46;07/09/2026;13:00;26.5;2;NUAGEUX;5;28.4;0
Lannion;48.73;-3.46;07/09/2026;14:00;25;2;NUAGEUX;5;29.9;0
Lannion;48.73;-3.46;07/09/2026;15:00;25;2;NUAGEUX;5;31.9;0
Lannion;48.73;-3.46;07/09/2026;16:00;25;2;NUAGEUX;5;34.6;0
Lannion;48.73;-3.46;07/09/2026;17:00;21.5;5;SOLEIL VOILÉ;4;40.9;0
Lannion;48.73;-3.46;07/09/2026;18:00;21.5;5;SOLEIL VOILÉ;4;41.4;0
Lannion;48.73;-3.46;07/09/2026;19:00;21.5;5;SOLEIL VOILÉ;4;40.7;0
Lannion;48.73;-3.46;07/09/2026;20:00;18.9;5;SOLEIL VOILÉ;2;39.2;0
Lannion;48.73;-3.46;07/09/2026;21:00;18.9;5;SOLEIL VOILÉ;2;29.9;0
Lannion;48.73;-3.46;07/09/2026;22:00;18.9;5;SOLEIL VOILÉ;2;22.3;0
Lannion;48.73;-3.46;07/09/2026;23:00;18.5;2;NUAGEUX;2;14.0;0
Lannion;48.73;-3.46;08/09/2026;00:00;18.5;2;NUAGEUX;2;9.4;0
Lannion;48.73;-3.46;08/09/2026;01:00;18.5;2;NUAGEUX;2;7.9;0
Lannion;48.73;-3.46;08/09/2026;02:00;17.6;2;NUAGEUX;3;9.0;0
Lannion;48.73;-3.46;08/09/2026;03:00;17.6;2;NUAGEUX;3;8.6;0
Lannion;48.73;-3.46;08/09/2026;04:00;17.6;2;NUAGEUX;3;6.1;0
Lannion;48.73;-3.46;08/09/2026;05:00;16.1;6;AVERSES;3;9.4;0
Lannion;48.73;-3.46;08/09/2026;06:00;16.1;6;AVERSES;3;13.0;0
Lannion;48.73;-3.46;08/09/2026;07:00;16.1;6;AVERSES;3;10.1;0
Lannion;48.73;-3.46;08/09/2026;08:00;16.6;6;AVERSES;3;13.0;0
Lannion;48.73;-3.46;08/09/2026;09:00;16.6;6;AVERSES;3;14.4;0
Lannion;48.73;-3.46;08/09/2026;10:00;16.6;6;AVERSES;3;14.4;0
Lannion;48.73;-3.46;08/09/2026;11:00;19.1;6;AVERSES;4;15.8;0
Lannion;48.73;-3.46;08/09/2026;12:00;19.1;6;AVERSES;4;15.5;0
Lannion;48.73;-3.46;08/09/2026;13:00;19.1;6;AVERSES;4;17.6;0
Lannion;48.73;-3.46;08/09/2026;14:00;21.2;2;NUAGEUX;4;18.0;0
Lannion;48.73;-3.46;08/09/2026;15:00;21.2;2;NUAGEUX;4;14.4;0
Lannion;48.73;-3.46;08/09/2026;16:00;21.2;2;NUAGEUX;4;14.8;0
Lannion;48.73;-3.46;08/09/2026;17:00;17.6;0;SOLEIL;3;15.8;0
Lannion;48.73;-3.46;08/09/2026;18:00;17.6;0;SOLEIL;3;15.8;0
Lannion;48.73;-3.46;08/09/2026;19:00;17.6;0;SOLEIL;3;13.7;0
Lannion;48.73;-3.46;08/09/2026;20:00;18.4;6;AVERSES;5;13.0;0
Lannion;48.73;-3.46;08/09/2026;21:00;17.6;6;AVERSES;5;10.1;0
Lannion;48.73;-3.46;08/09/2026;22:00;16.9;6;AVERSES;5;19.4;0
Lannion;48.73;-3.46;08/09/2026;23:00;13.6;0;SOLEIL;3;16.6;0
Lannion;48.73;-3.46;09/09/2026;00:00;13.6;0;SOLEIL;3;13.3;0
Lannion;48.73;-3.46;09/09/2026;01:00;13.6;0;SOLEIL;3;16.2;0
Lannion;48.73;-3.46;09/09/2026;02:00;11.7;2;NUAGEUX;5;15.8;0
Lannion;48.73;-3.46;09/09/2026;03:00;11.7;2;NUAGEUX;5;13.0;0
Lannion;48.73;-3.46;09/09/2026;04:00;11.7;2;NUAGEUX;5;15.1;0
Lannion;48.73;-3.46;09/09/2026;05:00;12.6;0;SOLEIL;3;14.8;0
Lannion;48.73;-3.46;09/09/2026;06:00;12.6;0;SOLEIL;3;14.4;0
Lannion;48.73;-3.46;09/09/2026;07:00;12.6;0;SOLEIL;3;13.7;0
Lannion;48.73;-3.46;09/09/2026;08:00;13.8;2;NUAGEUX;5;14.8;0
Lannion;48.73;-3.46;09/09/2026;09:00;14.8;2;NUAGEUX;5;16.2;0
Lannion;48.73;-3.46;09/09/2026;10:00;15.8;2;NUAGEUX;5;19.1;0
Lannion;48.73;-3.46;09/09/2026;11:00;20;7;PLUIE FAIBLE;4;21.2;0
Lannion;48.73;-3.46;09/09/2026;12:00;20;7;PLUIE FAIBLE;4;24.5;0
Lannion;48.73;-3.46;09/09/2026;13:00;20;7;PLUIE FAIBLE;4;27.0;0
Lannion;48.73;-3.46;09/09/2026;14:00;20.0;2;NUAGEUX;5;28.1;0
Lannion;48.73;-3.46;09/09/2026;15:00;21.0;2;NUAGEUX;5;26.3;0
Lannion;48.73;-3.46;09/09/2026;16:00;20.0;2;NUAGEUX;5;26.6;0
Lannion;48.73;-3.46;09/09/2026;17:00;18.9;2;NUAGEUX;3;26.6;0
Lannion;48.73;-3.46;09/09/2026;18:00;18.9;2;NUAGEUX;3;30.8;0
Lannion;48.73;-3.46;09/09/2026;19:00;18.9;2;NUAGEUX;3;31.3;0
Lannion;48.73;-3.46;09/09/2026;20:00;15.8;2;NUAGEUX;5;30.3;0
Lannion;48.73;-3.46;09/09/2026;21:00;14.8;2;NUAGEUX;5;30.2;0
Lannion;48.73;-3.46;09/09/2026;22:00;13.8;2;NUAGEUX;5;28.1;0
Lannion;48.73;-3.46;09/09/2026;23:00;15.2;2;NUAGEUX;2;24.5;0
Lannion;48.73;-3.46;10/09/2026;00:00;15.2;2;NUAGEUX;2;18.0;0
Lannion;48.73;-3.46;10/09/2026;01:00;15.2;2;NUAGEUX;2;10.4;0
