Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Ajaccio;41.92;8.73;05/09/2026;00:00;24.2;0;SOLEIL;1;9.0;0
Ajaccio;41.92;8.73;05/09/2026;01:00;23.6;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;05/09/2026;02:00;23.1;0;SOLEIL;1;11.2;0
Ajaccio;41.92;8.73;05/09/2026;03:00;22.7;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;05/09/2026;04:00;22.7;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;05/09/2026;05:00;22.6;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;05/09/2026;06:00;24;0;SOLEIL;1;12.6;0
Ajaccio;41.92;8.73;05/09/2026;07:00;27.4;0;SOLEIL;1;11.5;0
Ajaccio;41.92;8.73;05/09/2026;08:00;30.1;0;SOLEIL;1;13.7;0
Ajaccio;41.92;8.73;05/09/2026;09:00;29.2;0;SOLEIL;2;13.7;0
Ajaccio;41.92;8.73;05/09/2026;10:00;30.9;0;SOLEIL;3;10.1;0
Ajaccio;41.92;8.73;05/09/2026;11:00;31.9;0;SOLEIL;4;13.3;0
Ajaccio;41.92;8.73;05/09/2026;12:00;31.9;0;SOLEIL;4;17.6;0
Ajaccio;41.92;8.73;05/09/2026;13:00;31.4;0;SOLEIL;5;25.2;0
Ajaccio;41.92;8.73;05/09/2026;14:00;31.6;0;SOLEIL;4;27.4;0
Ajaccio;41.92;8.73;05/09/2026;15:00;31.1;0;SOLEIL;4;27.0;0
Ajaccio;41.92;8.73;05/09/2026;16:00;29.7;0;SOLEIL;3;25.2;0
Ajaccio;41.92;8.73;05/09/2026;17:00;28.9;0;SOLEIL;2;23.8;0
Ajaccio;41.92;8.73;05/09/2026;18:00;27.4;0;SOLEIL;2;23.0;0
Ajaccio;41.92;8.73;05/09/2026;19:00;26.6;0;SOLEIL;1;18.4;0
Ajaccio;41.92;8.73;05/09/2026;20:00;25.9;0;SOLEIL;0;13.7;0
Ajaccio;41.92;8.73;05/09/2026;21:00;25.4;0;SOLEIL;1;10.4;0
Ajaccio;41.92;8.73;05/09/2026;22:00;25.1;0;SOLEIL;1;7.2;0
Ajaccio;41.92;8.73;05/09/2026;23:00;25;0;SOLEIL;1;6.8;0
Ajaccio;41.92;8.73;06/09/2026;00:00;25.4;0;SOLEIL;1;10.1;0
Ajaccio;41.92;8.73;06/09/2026;01:00;25.4;0;SOLEIL;1;11.5;0
Ajaccio;41.92;8.73;06/09/2026;02:00;22;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;06/09/2026;03:00;22;0;SOLEIL;1;13.3;0
Ajaccio;41.92;8.73;06/09/2026;04:00;22;0;SOLEIL;1;13.7;0
Ajaccio;41.92;8.73;06/09/2026;05:00;22.7;0;SOLEIL;1;14.0;0
Ajaccio;41.92;8.73;06/09/2026;06:00;22.7;0;SOLEIL;1;14.0;0
Ajaccio;41.92;8.73;06/09/2026;07:00;22.7;0;SOLEIL;1;14.4;0
Ajaccio;41.92;8.73;06/09/2026;08:00;29.1;0;SOLEIL;2;14.8;0
Ajaccio;41.92;8.73;06/09/2026;09:00;29.1;0;SOLEIL;2;13.0;0
Ajaccio;41.92;8.73;06/09/2026;10:00;29.1;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;06/09/2026;11:00;32.1;0;SOLEIL;4;12.6;0
Ajaccio;41.92;8.73;06/09/2026;12:00;32.1;0;SOLEIL;4;17.3;0
Ajaccio;41.92;8.73;06/09/2026;13:00;32.1;0;SOLEIL;4;21.6;0
Ajaccio;41.92;8.73;06/09/2026;14:00;30.2;0;SOLEIL;3;22.3;0
Ajaccio;41.92;8.73;06/09/2026;15:00;30.2;0;SOLEIL;3;21.6;0
Ajaccio;41.92;8.73;06/09/2026;16:00;30.2;0;SOLEIL;3;21.6;0
Ajaccio;41.92;8.73;06/09/2026;17:00;27.7;0;SOLEIL;1;20.2;0
Ajaccio;41.92;8.73;06/09/2026;18:00;27.7;0;SOLEIL;1;18.0;0
Ajaccio;41.92;8.73;06/09/2026;19:00;27.7;0;SOLEIL;1;15.5;0
Ajaccio;41.92;8.73;06/09/2026;20:00;25.2;0;SOLEIL;0;11.9;0
Ajaccio;41.92;8.73;06/09/2026;21:00;25.2;0;SOLEIL;0;7.6;0
Ajaccio;41.92;8.73;06/09/2026;22:00;25.2;0;SOLEIL;0;6.1;0
Ajaccio;41.92;8.73;06/09/2026;23:00;22.9;0;SOLEIL;1;7.9;0
Ajaccio;41.92;8.73;07/09/2026;00:00;22.9;0;SOLEIL;1;7.9;0
Ajaccio;41.92;8.73;07/09/2026;01:00;22.9;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;07/09/2026;02:00;22.1;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;07/09/2026;03:00;22.1;0;SOLEIL;1;8.6;0
Ajaccio;41.92;8.73;07/09/2026;04:00;22.1;0;SOLEIL;1;7.9;0
Ajaccio;41.92;8.73;07/09/2026;05:00;22.2;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;07/09/2026;06:00;22.2;0;SOLEIL;1;9.4;0
Ajaccio;41.92;8.73;07/09/2026;07:00;22.2;0;SOLEIL;1;10.1;0
Ajaccio;41.92;8.73;07/09/2026;08:00;29.2;0;SOLEIL;1;10.4;0
Ajaccio;41.92;8.73;07/09/2026;09:00;29.2;0;SOLEIL;1;8.3;0
Ajaccio;41.92;8.73;07/09/2026;10:00;29.2;0;SOLEIL;1;9.7;0
