Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Argent-sur-Sauldre;47.56;2.45;07/08/2026;00:00;17.2;0;SOLEIL;4;31.0;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;01:00;16.6;0;SOLEIL;3;31.3;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;02:00;15.2;0;SOLEIL;3;28.1;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;03:00;13.2;0;SOLEIL;3;24.1;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;04:00;13.1;0;SOLEIL;3;21.2;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;05:00;13.1;0;SOLEIL;2;20.5;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;06:00;15;0;SOLEIL;3;19.8;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;07:00;17.6;0;SOLEIL;2;15.5;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;08:00;20;0;SOLEIL;2;13.7;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;09:00;22.1;0;SOLEIL;2;14.0;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;10:00;24.2;0;SOLEIL;2;14.8;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;11:00;25.6;0;SOLEIL;2;15.5;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;12:00;26.4;0;SOLEIL;3;15.5;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;13:00;27.1;0;SOLEIL;3;13.3;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;14:00;27.4;0;SOLEIL;3;15.1;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;15:00;28.1;0;SOLEIL;3;14.4;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;16:00;27.9;0;SOLEIL;3;12.2;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;17:00;27.9;0;SOLEIL;3;12.2;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;18:00;27.4;0;SOLEIL;3;13.3;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;19:00;25.5;0;SOLEIL;3;18.7;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;20:00;24;0;SOLEIL;3;18.4;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;21:00;21.1;0;SOLEIL;3;22.0;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;22:00;20.6;0;SOLEIL;4;19.8;0
Argent-sur-Sauldre;47.56;2.45;07/08/2026;23:00;20;0;SOLEIL;4;16.2;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;00:00;18.6;0;SOLEIL;3;16.2;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;01:00;18.6;0;SOLEIL;3;17.3;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;02:00;14.6;0;SOLEIL;3;16.2;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;03:00;14.6;0;SOLEIL;3;15.1;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;04:00;14.6;0;SOLEIL;3;14.4;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;05:00;16.2;0;SOLEIL;3;15.1;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;06:00;16.2;0;SOLEIL;3;15.1;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;07:00;16.2;0;SOLEIL;3;14.8;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;08:00;24.5;5;SOLEIL VOILÉ;3;14.8;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;09:00;24.5;5;SOLEIL VOILÉ;3;17.6;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;10:00;24.5;5;SOLEIL VOILÉ;3;18.7;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;11:00;29.5;0;SOLEIL;2;18.7;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;12:00;29.5;0;SOLEIL;2;23.4;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;13:00;29.5;0;SOLEIL;2;24.5;0
Argent-sur-Sauldre;47.56;2.45;08/08/2026;14:00;31.9;0;SOLEIL;2;22.3;0
