Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Amiens;49.894;2.295;22/08/2026;00:00;14.1;2;NUAGEUX;3;15.1;0
Amiens;49.894;2.295;22/08/2026;01:00;12.5;2;NUAGEUX;3;22.7;0
Amiens;49.894;2.295;22/08/2026;02:00;12.7;2;NUAGEUX;3;22.0;0
Amiens;49.894;2.295;22/08/2026;03:00;13;2;NUAGEUX;3;21.6;0
Amiens;49.894;2.295;22/08/2026;04:00;11.9;2;NUAGEUX;3;18.7;0
Amiens;49.894;2.295;22/08/2026;05:00;12.1;2;NUAGEUX;3;19.1;0
Amiens;49.894;2.295;22/08/2026;06:00;13.1;2;NUAGEUX;2;15.1;0
Amiens;49.894;2.295;22/08/2026;07:00;14.2;2;NUAGEUX;3;12.6;0
Amiens;49.894;2.295;22/08/2026;08:00;15.7;6;AVERSES;3;24.1;0.2
Amiens;49.894;2.295;22/08/2026;09:00;16.6;6;AVERSES;3;21.6;0.2
Amiens;49.894;2.295;22/08/2026;10:00;17;6;AVERSES;3;22.3;0.1
Amiens;49.894;2.295;22/08/2026;11:00;17.7;6;AVERSES;3;24.5;0.1
Amiens;49.894;2.295;22/08/2026;12:00;18.6;6;AVERSES;4;27.4;0.4
Amiens;49.894;2.295;22/08/2026;13:00;20.1;6;AVERSES;5;34.9;0.1
Amiens;49.894;2.295;22/08/2026;14:00;19.1;2;NUAGEUX;5;34.9;0
Amiens;49.894;2.295;22/08/2026;15:00;19.1;0;SOLEIL;4;35.6;0
Amiens;49.894;2.295;22/08/2026;16:00;19;0;SOLEIL;5;35.3;0
Amiens;49.894;2.295;22/08/2026;17:00;18.7;0;SOLEIL;4;16.2;0
Amiens;49.894;2.295;22/08/2026;18:00;18.1;0;SOLEIL;4;24.5;0
Amiens;49.894;2.295;22/08/2026;19:00;17.1;0;SOLEIL;3;27.4;0
Amiens;49.894;2.295;22/08/2026;20:00;16;0;SOLEIL;2;24.8;0
Amiens;49.894;2.295;22/08/2026;21:00;14.6;0;SOLEIL;2;20.9;0
Amiens;49.894;2.295;22/08/2026;22:00;13.9;0;SOLEIL;2;13.0;0
Amiens;49.894;2.295;22/08/2026;23:00;13.1;0;SOLEIL;2;11.2;0
Amiens;49.894;2.295;23/08/2026;00:00;13.1;0;SOLEIL;1;10.1;0
Amiens;49.894;2.295;23/08/2026;01:00;13.1;0;SOLEIL;1;9.0;0
Amiens;49.894;2.295;23/08/2026;02:00;10.7;0;SOLEIL;1;9.4;0
Amiens;49.894;2.295;23/08/2026;03:00;10.7;0;SOLEIL;1;7.2;0
Amiens;49.894;2.295;23/08/2026;04:00;10.7;0;SOLEIL;1;9.4;0
Amiens;49.894;2.295;23/08/2026;05:00;11.6;0;SOLEIL;2;7.2;0
Amiens;49.894;2.295;23/08/2026;06:00;11.6;0;SOLEIL;2;5.4;0
Amiens;49.894;2.295;23/08/2026;07:00;11.6;0;SOLEIL;2;8.3;0
Amiens;49.894;2.295;23/08/2026;08:00;18.4;0;SOLEIL;2;10.1;0
Amiens;49.894;2.295;23/08/2026;09:00;18.4;0;SOLEIL;2;9.0;0
Amiens;49.894;2.295;23/08/2026;10:00;18.4;0;SOLEIL;2;13.3;0
Amiens;49.894;2.295;23/08/2026;11:00;20.1;2;NUAGEUX;3;15.1;0
Amiens;49.894;2.295;23/08/2026;12:00;20.1;2;NUAGEUX;3;15.1;0
Amiens;49.894;2.295;23/08/2026;13:00;20.1;2;NUAGEUX;3;18.5;0
Amiens;49.894;2.295;23/08/2026;14:00;20.7;0;SOLEIL;3;23.4;0
Amiens;49.894;2.295;23/08/2026;15:00;20.7;0;SOLEIL;3;24.3;0
Amiens;49.894;2.295;23/08/2026;16:00;20.7;0;SOLEIL;3;24.8;0
Amiens;49.894;2.295;23/08/2026;17:00;19.4;0;SOLEIL;3;24.5;0
Amiens;49.894;2.295;23/08/2026;18:00;19.4;0;SOLEIL;3;23.8;0
Amiens;49.894;2.295;23/08/2026;19:00;19.4;0;SOLEIL;3;21.6;0
Amiens;49.894;2.295;23/08/2026;20:00;16;0;SOLEIL;3;20.2;0
Amiens;49.894;2.295;23/08/2026;21:00;16;0;SOLEIL;3;18.7;0
Amiens;49.894;2.295;23/08/2026;22:00;16;0;SOLEIL;3;18.7;0
Amiens;49.894;2.295;23/08/2026;23:00;14;0;SOLEIL;3;17.6;0
Amiens;49.894;2.295;24/08/2026;00:00;14;0;SOLEIL;3;15.5;0
Amiens;49.894;2.295;24/08/2026;01:00;14;0;SOLEIL;3;15.8;0
Amiens;49.894;2.295;24/08/2026;02:00;12.4;0;SOLEIL;3;15.5;0
Amiens;49.894;2.295;24/08/2026;03:00;12.4;0;SOLEIL;3;14.8;0
Amiens;49.894;2.295;24/08/2026;04:00;12.4;0;SOLEIL;3;15.5;0
Amiens;49.894;2.295;24/08/2026;05:00;12.7;0;SOLEIL;3;16.2;0
Amiens;49.894;2.295;24/08/2026;06:00;12.7;0;SOLEIL;3;17.3;0
Amiens;49.894;2.295;24/08/2026;07:00;12.7;0;SOLEIL;3;18.7;0
Amiens;49.894;2.295;24/08/2026;08:00;19.4;0;SOLEIL;4;20.5;0
Amiens;49.894;2.295;24/08/2026;09:00;19.4;0;SOLEIL;4;20.5;0
