Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Paris;48.85;2.35;18/08/2026;00:00;21.6;0;SOLEIL;3;21.2;0
Paris;48.85;2.35;18/08/2026;01:00;21.1;0;SOLEIL;3;20.9;0
Paris;48.85;2.35;18/08/2026;02:00;21.1;0;SOLEIL;3;19.4;0
Paris;48.85;2.35;18/08/2026;03:00;20.6;0;SOLEIL;3;18.7;0
Paris;48.85;2.35;18/08/2026;04:00;20.1;5;SOLEIL VOILÉ;3;19.1;0
Paris;48.85;2.35;18/08/2026;05:00;19.6;5;SOLEIL VOILÉ;3;25.2;0
Paris;48.85;2.35;18/08/2026;06:00;20;5;SOLEIL VOILÉ;3;21.2;0
Paris;48.85;2.35;18/08/2026;07:00;21;5;SOLEIL VOILÉ;3;21.2;0
Paris;48.85;2.35;18/08/2026;08:00;22;5;SOLEIL VOILÉ;3;22.7;0
Paris;48.85;2.35;18/08/2026;09:00;22;5;SOLEIL VOILÉ;3;22.3;0
Paris;48.85;2.35;18/08/2026;10:00;22.7;5;SOLEIL VOILÉ;3;23.0;0
Paris;48.85;2.35;18/08/2026;11:00;24.5;5;SOLEIL VOILÉ;4;24.5;0
Paris;48.85;2.35;18/08/2026;12:00;26.5;5;SOLEIL VOILÉ;4;27.4;0
Paris;48.85;2.35;18/08/2026;13:00;27.7;5;SOLEIL VOILÉ;4;28.4;0
Paris;48.85;2.35;18/08/2026;14:00;28.4;5;SOLEIL VOILÉ;4;28.8;0
Paris;48.85;2.35;18/08/2026;15:00;28.6;5;SOLEIL VOILÉ;4;31.3;0
Paris;48.85;2.35;18/08/2026;16:00;28.5;5;SOLEIL VOILÉ;4;32.0;0
Paris;48.85;2.35;18/08/2026;17:00;27.2;5;SOLEIL VOILÉ;4;35.6;0
Paris;48.85;2.35;18/08/2026;18:00;26.4;0;SOLEIL;4;36.7;0
Paris;48.85;2.35;18/08/2026;19:00;25.2;0;SOLEIL;5;36.7;0
Paris;48.85;2.35;18/08/2026;20:00;24.2;0;SOLEIL;4;27.4;0
Paris;48.85;2.35;18/08/2026;21:00;23.7;0;SOLEIL;4;23.0;0
Paris;48.85;2.35;18/08/2026;22:00;23.5;0;SOLEIL;3;20.9;0
Paris;48.85;2.35;18/08/2026;23:00;23;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;19/08/2026;00:00;22.5;0;SOLEIL;3;20.2;0
Paris;48.85;2.35;19/08/2026;01:00;22.5;0;SOLEIL;3;22.0;0
Paris;48.85;2.35;19/08/2026;02:00;21.2;0;SOLEIL;2;22.3;0
Paris;48.85;2.35;19/08/2026;03:00;21.2;0;SOLEIL;2;19.3;0
Paris;48.85;2.35;19/08/2026;04:00;21.2;0;SOLEIL;2;21.8;0
Paris;48.85;2.35;19/08/2026;05:00;20.4;0;SOLEIL;3;22.8;0
Paris;48.85;2.35;19/08/2026;06:00;20.4;0;SOLEIL;3;22.0;0
Paris;48.85;2.35;19/08/2026;07:00;20.4;0;SOLEIL;3;19.4;0
Paris;48.85;2.35;19/08/2026;08:00;21.6;0;SOLEIL;3;17.6;0
Paris;48.85;2.35;19/08/2026;09:00;21.6;0;SOLEIL;3;19.8;0
Paris;48.85;2.35;19/08/2026;10:00;21.6;0;SOLEIL;3;19.8;0
Paris;48.85;2.35;19/08/2026;11:00;21.7;2;NUAGEUX;3;20.5;0
Paris;48.85;2.35;19/08/2026;12:00;21.7;2;NUAGEUX;3;22.0;0
Paris;48.85;2.35;19/08/2026;13:00;21.7;2;NUAGEUX;3;23.8;0
Paris;48.85;2.35;19/08/2026;14:00;23.2;2;NUAGEUX;3;24.1;0
Paris;48.85;2.35;19/08/2026;15:00;23.2;2;NUAGEUX;3;26.6;0
Paris;48.85;2.35;19/08/2026;16:00;23.2;2;NUAGEUX;3;29.5;0
Paris;48.85;2.35;19/08/2026;17:00;22.2;0;SOLEIL;2;28.8;0
Paris;48.85;2.35;19/08/2026;18:00;22.2;0;SOLEIL;2;28.8;0
Paris;48.85;2.35;19/08/2026;19:00;22.2;0;SOLEIL;2;30.6;0
Paris;48.85;2.35;19/08/2026;20:00;21.1;0;SOLEIL;2;24.5;0
Paris;48.85;2.35;19/08/2026;21:00;21.1;0;SOLEIL;2;20.9;0
Paris;48.85;2.35;19/08/2026;22:00;21.1;0;SOLEIL;2;13.3;0
Paris;48.85;2.35;19/08/2026;23:00;19.2;0;SOLEIL;2;11.9;0
Paris;48.85;2.35;20/08/2026;00:00;19.2;0;SOLEIL;2;10.1;0
Paris;48.85;2.35;20/08/2026;01:00;19.2;0;SOLEIL;2;9.0;0
Paris;48.85;2.35;20/08/2026;02:00;18.9;0;SOLEIL;2;9.4;0
Paris;48.85;2.35;20/08/2026;03:00;18.9;0;SOLEIL;2;9.4;0
Paris;48.85;2.35;20/08/2026;04:00;18.9;0;SOLEIL;2;8.6;0
Paris;48.85;2.35;20/08/2026;05:00;18.6;0;SOLEIL;2;7.9;0
Paris;48.85;2.35;20/08/2026;06:00;18.6;0;SOLEIL;2;7.6;0
Paris;48.85;2.35;20/08/2026;07:00;18.6;0;SOLEIL;2;7.9;0
Paris;48.85;2.35;20/08/2026;08:00;21.1;0;SOLEIL;4;7.2;0
Paris;48.85;2.35;20/08/2026;09:00;21.1;0;SOLEIL;4;9.0;0
Paris;48.85;2.35;20/08/2026;10:00;21.1;0;SOLEIL;4;11.9;0
Paris;48.85;2.35;20/08/2026;11:00;23.4;2;NUAGEUX;4;15.5;0
