Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Angoulême;45.65;0.15;19/08/2026;00:00;20;0;SOLEIL;2;15.1;0
Angoulême;45.65;0.15;19/08/2026;01:00;19.2;0;SOLEIL;2;12.6;0
Angoulême;45.65;0.15;19/08/2026;02:00;19;0;SOLEIL;2;10.8;0
Angoulême;45.65;0.15;19/08/2026;03:00;18.7;2;NUAGEUX;2;9.4;0
Angoulême;45.65;0.15;19/08/2026;04:00;18.6;2;NUAGEUX;2;6.8;0
Angoulême;45.65;0.15;19/08/2026;05:00;18.5;2;NUAGEUX;1;4.3;0
Angoulême;45.65;0.15;19/08/2026;06:00;19.1;2;NUAGEUX;1;3.0;0
Angoulême;45.65;0.15;19/08/2026;07:00;20.2;2;NUAGEUX;1;4.9;0
Angoulême;45.65;0.15;19/08/2026;08:00;22.1;2;NUAGEUX;2;5.1;0
Angoulême;45.65;0.15;19/08/2026;09:00;23.5;0;SOLEIL;2;7.2;0
Angoulême;45.65;0.15;19/08/2026;10:00;25.5;0;SOLEIL;2;14.8;0
Angoulême;45.65;0.15;19/08/2026;11:00;27.9;0;SOLEIL;2;16.6;0
Angoulême;45.65;0.15;19/08/2026;12:00;28.1;0;SOLEIL;3;15.8;0
Angoulême;45.65;0.15;19/08/2026;13:00;28.4;0;SOLEIL;3;13.0;0
Angoulême;45.65;0.15;19/08/2026;14:00;29;0;SOLEIL;4;13.0;0
Angoulême;45.65;0.15;19/08/2026;15:00;28.9;0;SOLEIL;4;14.4;0
Angoulême;45.65;0.15;19/08/2026;16:00;28.9;0;SOLEIL;4;18.4;0
Angoulême;45.65;0.15;19/08/2026;17:00;27.6;0;SOLEIL;4;19.8;0
Angoulême;45.65;0.15;19/08/2026;18:00;26.2;0;SOLEIL;4;23.8;0
Angoulême;45.65;0.15;19/08/2026;19:00;24.1;0;SOLEIL;4;29.9;0
Angoulême;45.65;0.15;19/08/2026;20:00;22.6;0;SOLEIL;4;29.9;0
Angoulême;45.65;0.15;19/08/2026;21:00;21.9;5;SOLEIL VOILÉ;3;26.6;0
Angoulême;45.65;0.15;19/08/2026;22:00;21.1;5;SOLEIL VOILÉ;3;26.3;0
Angoulême;45.65;0.15;19/08/2026;23:00;21.1;5;SOLEIL VOILÉ;3;23.4;0
Angoulême;45.65;0.15;20/08/2026;00:00;20.7;5;SOLEIL VOILÉ;3;20.9;0
Angoulême;45.65;0.15;20/08/2026;01:00;20.7;5;SOLEIL VOILÉ;3;25.6;0
Angoulême;45.65;0.15;20/08/2026;02:00;20.9;5;SOLEIL VOILÉ;2;23.4;0
Angoulême;45.65;0.15;20/08/2026;03:00;20.9;5;SOLEIL VOILÉ;2;12.6;0
Angoulême;45.65;0.15;20/08/2026;04:00;20.9;5;SOLEIL VOILÉ;2;13.0;0
Angoulême;45.65;0.15;20/08/2026;05:00;20.7;6;AVERSES;2;13.0;0
Angoulême;45.65;0.15;20/08/2026;06:00;20.7;6;AVERSES;2;8.6;0
Angoulême;45.65;0.15;20/08/2026;07:00;20.7;6;AVERSES;2;4.7;0
Angoulême;45.65;0.15;20/08/2026;08:00;22.1;2;NUAGEUX;2;7.9;0
Angoulême;45.65;0.15;20/08/2026;09:00;22.1;2;NUAGEUX;2;11.2;0
Angoulême;45.65;0.15;20/08/2026;10:00;22.1;2;NUAGEUX;2;16.6;0
Angoulême;45.65;0.15;20/08/2026;11:00;24.9;2;NUAGEUX;4;22.0;0
Angoulême;45.65;0.15;20/08/2026;12:00;24.9;2;NUAGEUX;4;26.6;0
Angoulême;45.65;0.15;20/08/2026;13:00;24.9;2;NUAGEUX;4;31.0;0
Angoulême;45.65;0.15;20/08/2026;14:00;23.4;0;SOLEIL;4;33.8;0
Angoulême;45.65;0.15;20/08/2026;15:00;23.4;0;SOLEIL;4;34.2;0
Angoulême;45.65;0.15;20/08/2026;16:00;23.4;0;SOLEIL;4;33.1;0
Angoulême;45.65;0.15;20/08/2026;17:00;22.1;2;NUAGEUX;4;31.7;0
Angoulême;45.65;0.15;20/08/2026;18:00;22.1;2;NUAGEUX;4;29.9;0
Angoulême;45.65;0.15;20/08/2026;19:00;22.1;2;NUAGEUX;4;28.1;0
Angoulême;45.65;0.15;20/08/2026;20:00;19.6;0;SOLEIL;4;26.3;0
Angoulême;45.65;0.15;20/08/2026;21:00;19.6;0;SOLEIL;4;25.6;0
Angoulême;45.65;0.15;20/08/2026;22:00;19.6;0;SOLEIL;4;25.6;0
Angoulême;45.65;0.15;20/08/2026;23:00;18.7;6;AVERSES;3;24.5;0
Angoulême;45.65;0.15;21/08/2026;00:00;18.7;6;AVERSES;3;22.0;0
Angoulême;45.65;0.15;21/08/2026;01:00;18.7;6;AVERSES;3;18.7;0
Angoulême;45.65;0.15;21/08/2026;02:00;18.1;6;AVERSES;2;16.6;0
Angoulême;45.65;0.15;21/08/2026;03:00;18.1;6;AVERSES;2;16.2;0
Angoulême;45.65;0.15;21/08/2026;04:00;18.1;6;AVERSES;2;16.6;0
Angoulême;45.65;0.15;21/08/2026;05:00;18.2;0;SOLEIL;1;16.9;0
