Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bayeux;49.28;-0.7;19/08/2026;00:00;18;2;NUAGEUX;3;18.7;0
Bayeux;49.28;-0.7;19/08/2026;01:00;17.4;2;NUAGEUX;3;13.7;0
Bayeux;49.28;-0.7;19/08/2026;02:00;17.1;2;NUAGEUX;3;18.0;0
Bayeux;49.28;-0.7;19/08/2026;03:00;17.5;2;NUAGEUX;3;25.9;0
Bayeux;49.28;-0.7;19/08/2026;04:00;15.9;2;NUAGEUX;3;26.3;0
Bayeux;49.28;-0.7;19/08/2026;05:00;15.6;2;NUAGEUX;3;23.0;0
Bayeux;49.28;-0.7;19/08/2026;06:00;16.6;2;NUAGEUX;3;19.4;0
Bayeux;49.28;-0.7;19/08/2026;07:00;17.6;6;AVERSES;3;18.4;0.1
Bayeux;49.28;-0.7;19/08/2026;08:00;18.9;2;NUAGEUX;3;18.4;0
Bayeux;49.28;-0.7;19/08/2026;09:00;20.4;6;AVERSES;3;19.1;0.1
Bayeux;49.28;-0.7;19/08/2026;10:00;20.6;6;AVERSES;4;22.7;0.1
Bayeux;49.28;-0.7;19/08/2026;11:00;20.9;6;AVERSES;3;25.9;0.1
Bayeux;49.28;-0.7;19/08/2026;12:00;21;6;AVERSES;3;22.7;0.1
Bayeux;49.28;-0.7;19/08/2026;13:00;20.5;6;AVERSES;4;20.2;0.2
Bayeux;49.28;-0.7;19/08/2026;14:00;19.4;6;AVERSES;3;16.9;0.4
Bayeux;49.28;-0.7;19/08/2026;15:00;20.2;6;AVERSES;4;16.9;1.8
Bayeux;49.28;-0.7;19/08/2026;16:00;19;6;AVERSES;4;18.0;1.1
Bayeux;49.28;-0.7;19/08/2026;17:00;20.1;6;AVERSES;4;9.4;0.4
Bayeux;49.28;-0.7;19/08/2026;18:00;19.6;6;AVERSES;4;10.8;0.3
Bayeux;49.28;-0.7;19/08/2026;19:00;18.6;0;SOLEIL;3;16.9;0
Bayeux;49.28;-0.7;19/08/2026;20:00;17.5;0;SOLEIL;3;16.9;0
Bayeux;49.28;-0.7;19/08/2026;21:00;17.4;0;SOLEIL;3;20.9;0
Bayeux;49.28;-0.7;19/08/2026;22:00;16.1;0;SOLEIL;2;14.8;0
Bayeux;49.28;-0.7;19/08/2026;23:00;15.9;6;AVERSES;3;12.2;0.2
Bayeux;49.28;-0.7;20/08/2026;00:00;15.6;0;SOLEIL;3;10.4;0
Bayeux;49.28;-0.7;20/08/2026;01:00;15.6;0;SOLEIL;3;18.4;0
Bayeux;49.28;-0.7;20/08/2026;02:00;13.9;0;SOLEIL;3;19.8;0
Bayeux;49.28;-0.7;20/08/2026;03:00;13.9;0;SOLEIL;3;20.2;0
Bayeux;49.28;-0.7;20/08/2026;04:00;13.9;0;SOLEIL;3;24.8;0
Bayeux;49.28;-0.7;20/08/2026;05:00;14.2;0;SOLEIL;3;23.4;0
Bayeux;49.28;-0.7;20/08/2026;06:00;14.2;0;SOLEIL;3;23.4;0
Bayeux;49.28;-0.7;20/08/2026;07:00;14.2;0;SOLEIL;3;21.6;0
Bayeux;49.28;-0.7;20/08/2026;08:00;18.6;0;SOLEIL;5;21.6;0
