Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Foix;42.96;1.6;05/09/2026;00:00;25.4;0;SOLEIL;2;10.1;0
Foix;42.96;1.6;05/09/2026;01:00;24.6;0;SOLEIL;2;21.6;0
Foix;42.96;1.6;05/09/2026;02:00;23.2;0;SOLEIL;3;25.6;0
Foix;42.96;1.6;05/09/2026;03:00;22.7;0;SOLEIL;3;24.8;0
Foix;42.96;1.6;05/09/2026;04:00;21.6;0;SOLEIL;3;24.1;0
Foix;42.96;1.6;05/09/2026;05:00;20.6;0;SOLEIL;3;21.6;0
Foix;42.96;1.6;05/09/2026;06:00;20.9;0;SOLEIL;3;20.2;0
Foix;42.96;1.6;05/09/2026;07:00;21.4;0;SOLEIL;2;17.3;0
Foix;42.96;1.6;05/09/2026;08:00;22.9;0;SOLEIL;2;15.5;0
Foix;42.96;1.6;05/09/2026;09:00;24.4;5;SOLEIL VOILÉ;2;14.0;0
Foix;42.96;1.6;05/09/2026;10:00;27.1;5;SOLEIL VOILÉ;2;13.7;0
Foix;42.96;1.6;05/09/2026;11:00;28.9;0;SOLEIL;2;12.2;0
Foix;42.96;1.6;05/09/2026;12:00;30.9;0;SOLEIL;2;8.3;0
Foix;42.96;1.6;05/09/2026;13:00;31.9;0;SOLEIL;2;8.3;0
Foix;42.96;1.6;05/09/2026;14:00;32.7;0;SOLEIL;2;9.4;0
Foix;42.96;1.6;05/09/2026;15:00;34;0;SOLEIL;2;10.8;0
Foix;42.96;1.6;05/09/2026;16:00;33.5;0;SOLEIL;2;14.8;0
Foix;42.96;1.6;05/09/2026;17:00;33.6;0;SOLEIL;2;18.4;0
Foix;42.96;1.6;05/09/2026;18:00;32.7;0;SOLEIL;2;19.1;0
Foix;42.96;1.6;05/09/2026;19:00;32;0;SOLEIL;2;17.6;0
Foix;42.96;1.6;05/09/2026;20:00;30.5;5;SOLEIL VOILÉ;2;14.8;0
Foix;42.96;1.6;05/09/2026;21:00;28.9;5;SOLEIL VOILÉ;2;9.7;0
Foix;42.96;1.6;05/09/2026;22:00;28.5;5;SOLEIL VOILÉ;2;2.5;0
Foix;42.96;1.6;05/09/2026;23:00;27.2;5;SOLEIL VOILÉ;2;1.4;0
Foix;42.96;1.6;06/09/2026;00:00;26;5;SOLEIL VOILÉ;2;5.8;0
Foix;42.96;1.6;06/09/2026;01:00;26;5;SOLEIL VOILÉ;2;6.5;0
Foix;42.96;1.6;06/09/2026;02:00;23.6;0;SOLEIL;3;5.0;0
Foix;42.96;1.6;06/09/2026;03:00;23.6;0;SOLEIL;3;5.8;0
Foix;42.96;1.6;06/09/2026;04:00;23.6;0;SOLEIL;3;5.8;0
Foix;42.96;1.6;06/09/2026;05:00;24.6;0;SOLEIL;0;3.6;0
Foix;42.96;1.6;06/09/2026;06:00;24.6;0;SOLEIL;0;6.1;0
Foix;42.96;1.6;06/09/2026;07:00;24.6;0;SOLEIL;0;7.2;0
Foix;42.96;1.6;06/09/2026;08:00;29.1;0;SOLEIL;4;8.3;0
Foix;42.96;1.6;06/09/2026;09:00;29.1;0;SOLEIL;4;7.6;0
Foix;42.96;1.6;06/09/2026;10:00;29.1;0;SOLEIL;4;10.8;0
Foix;42.96;1.6;06/09/2026;11:00;35.4;5;SOLEIL VOILÉ;3;18.4;0
Foix;42.96;1.6;06/09/2026;12:00;35.4;5;SOLEIL VOILÉ;3;21.2;0
Foix;42.96;1.6;06/09/2026;13:00;35.4;5;SOLEIL VOILÉ;3;20.5;0
Foix;42.96;1.6;06/09/2026;14:00;35.4;5;SOLEIL VOILÉ;2;11.2;0
Foix;42.96;1.6;06/09/2026;15:00;35.4;5;SOLEIL VOILÉ;2;15.8;0
Foix;42.96;1.6;06/09/2026;16:00;35.4;5;SOLEIL VOILÉ;2;18.4;0
Foix;42.96;1.6;06/09/2026;17:00;33.9;5;SOLEIL VOILÉ;5;17.6;0
Foix;42.96;1.6;06/09/2026;18:00;33.9;5;SOLEIL VOILÉ;5;26.3;0
Foix;42.96;1.6;06/09/2026;19:00;33.9;5;SOLEIL VOILÉ;5;39.2;0
Foix;42.96;1.6;06/09/2026;20:00;28.7;0;SOLEIL;2;35.6;0
Foix;42.96;1.6;06/09/2026;21:00;28.7;0;SOLEIL;2;22.7;0
Foix;42.96;1.6;06/09/2026;22:00;28.7;0;SOLEIL;2;8.6;0
Foix;42.96;1.6;06/09/2026;23:00;24.6;0;SOLEIL;4;9.0;0
Foix;42.96;1.6;07/09/2026;00:00;24.6;0;SOLEIL;4;8.3;0
Foix;42.96;1.6;07/09/2026;01:00;24.6;0;SOLEIL;4;24.8;0
Foix;42.96;1.6;07/09/2026;02:00;22.4;0;SOLEIL;3;25.9;0
Foix;42.96;1.6;07/09/2026;03:00;22.4;0;SOLEIL;3;27.0;0
Foix;42.96;1.6;07/09/2026;04:00;22.4;0;SOLEIL;3;25.6;0
Foix;42.96;1.6;07/09/2026;05:00;21.2;2;NUAGEUX;2;26.6;0
Foix;42.96;1.6;07/09/2026;06:00;21.2;2;NUAGEUX;2;22.0;0
Foix;42.96;1.6;07/09/2026;07:00;21.2;2;NUAGEUX;2;16.9;0
Foix;42.96;1.6;07/09/2026;08:00;24.2;0;SOLEIL;2;15.1;0
Foix;42.96;1.6;07/09/2026;09:00;24.2;0;SOLEIL;2;15.5;0
Foix;42.96;1.6;07/09/2026;10:00;24.2;0;SOLEIL;2;20.2;0
Foix;42.96;1.6;07/09/2026;11:00;28.2;0;SOLEIL;3;22.7;0
Foix;42.96;1.6;07/09/2026;12:00;28.2;0;SOLEIL;3;22.7;0
Foix;42.96;1.6;07/09/2026;13:00;28.2;0;SOLEIL;3;22.3;0
Foix;42.96;1.6;07/09/2026;14:00;30.6;0;SOLEIL;3;22.7;0
Foix;42.96;1.6;07/09/2026;15:00;30.6;0;SOLEIL;3;24.8;0
Foix;42.96;1.6;07/09/2026;16:00;30.6;0;SOLEIL;3;26.3;0
Foix;42.96;1.6;07/09/2026;17:00;31;0;SOLEIL;3;25.9;0
Foix;42.96;1.6;07/09/2026;18:00;31;0;SOLEIL;3;23.8;0
Foix;42.96;1.6;07/09/2026;19:00;31;0;SOLEIL;3;21.6;0
Foix;42.96;1.6;07/09/2026;20:00;25.7;0;SOLEIL;5;18.0;0
Foix;42.96;1.6;07/09/2026;21:00;24.4;0;SOLEIL;5;14.8;0
Foix;42.96;1.6;07/09/2026;22:00;23.2;0;SOLEIL;5;11.2;0
Foix;42.96;1.6;07/09/2026;23:00;23.6;0;SOLEIL;5;9.4;0
Foix;42.96;1.6;08/09/2026;00:00;23.6;0;SOLEIL;5;10.8;0
Foix;42.96;1.6;08/09/2026;01:00;23.6;0;SOLEIL;5;14.0;0
Foix;42.96;1.6;08/09/2026;02:00;20.2;2;NUAGEUX;5;15.8;0
Foix;42.96;1.6;08/09/2026;03:00;20.2;2;NUAGEUX;5;15.1;0
Foix;42.96;1.6;08/09/2026;04:00;20.2;2;NUAGEUX;5;13.3;0
Foix;42.96;1.6;08/09/2026;05:00;21;0;SOLEIL;2;12.2;0
Foix;42.96;1.6;08/09/2026;06:00;21;0;SOLEIL;2;12.2;0
Foix;42.96;1.6;08/09/2026;07:00;21;0;SOLEIL;2;13.0;0
Foix;42.96;1.6;08/09/2026;08:00;22.4;2;NUAGEUX;5;14.0;0
Foix;42.96;1.6;08/09/2026;09:00;23.5;2;NUAGEUX;5;15.5;0
Foix;42.96;1.6;08/09/2026;10:00;24.6;2;NUAGEUX;5;17.6;0
Foix;42.96;1.6;08/09/2026;11:00;28.4;0;SOLEIL;3;20.2;0
Foix;42.96;1.6;08/09/2026;12:00;28.4;0;SOLEIL;3;23.4;0
Foix;42.96;1.6;08/09/2026;13:00;28.4;0;SOLEIL;3;27.4;0
Foix;42.96;1.6;08/09/2026;14:00;29.0;2;NUAGEUX;5;30.2;0
Foix;42.96;1.6;08/09/2026;15:00;30.1;2;NUAGEUX;5;31.3;0
Foix;42.96;1.6;08/09/2026;16:00;29.0;2;NUAGEUX;5;32.0;0
Foix;42.96;1.6;08/09/2026;17:00;27.7;2;NUAGEUX;4;33.8;0
Foix;42.96;1.6;08/09/2026;18:00;27.7;2;NUAGEUX;4;39.6;0
Foix;42.96;1.6;08/09/2026;19:00;27.7;2;NUAGEUX;4;46.8;0
Foix;42.96;1.6;08/09/2026;20:00;24.6;2;NUAGEUX;5;49.3;0
Foix;42.96;1.6;08/09/2026;21:00;23.5;2;NUAGEUX;5;43.2;0
Foix;42.96;1.6;08/09/2026;22:00;22.4;2;NUAGEUX;5;32.8;0
Foix;42.96;1.6;08/09/2026;23:00;21.9;2;NUAGEUX;4;25.6;0
Foix;42.96;1.6;09/09/2026;00:00;21.9;2;NUAGEUX;4;25.2;0
Foix;42.96;1.6;09/09/2026;01:00;21.9;2;NUAGEUX;4;28.1;0
Foix;42.96;1.6;09/09/2026;02:00;18.7;0;SOLEIL;5;29.9;0
Foix;42.96;1.6;09/09/2026;03:00;18.7;0;SOLEIL;5;28.4;0
Foix;42.96;1.6;09/09/2026;04:00;18.7;0;SOLEIL;5;25.9;0
Foix;42.96;1.6;09/09/2026;05:00;19.5;6;AVERSES;4;24.5;0
Foix;42.96;1.6;09/09/2026;06:00;19.5;6;AVERSES;4;24.5;0
Foix;42.96;1.6;09/09/2026;07:00;19.5;6;AVERSES;4;25.6;0
Foix;42.96;1.6;09/09/2026;08:00;20.0;0;SOLEIL;5;27.7;0
Foix;42.96;1.6;09/09/2026;09:00;20.7;0;SOLEIL;5;31.3;0
Foix;42.96;1.6;09/09/2026;10:00;21.4;0;SOLEIL;5;36.0;0
Foix;42.96;1.6;09/09/2026;11:00;23;7;PLUIE FAIBLE;5;39.6;0
Foix;42.96;1.6;09/09/2026;12:00;23;7;PLUIE FAIBLE;5;41.7;0
Foix;42.96;1.6;09/09/2026;13:00;23;7;PLUIE FAIBLE;5;42.8;0
Foix;42.96;1.6;09/09/2026;14:00;24.0;0;SOLEIL;5;44.0;0
Foix;42.96;1.6;09/09/2026;15:00;24.7;0;SOLEIL;5;45.7;0
Foix;42.96;1.6;09/09/2026;16:00;24.0;0;SOLEIL;5;47.5;0
Foix;42.96;1.6;09/09/2026;17:00;22.1;0;SOLEIL;4;48.2;0
Foix;42.96;1.6;09/09/2026;18:00;22.1;0;SOLEIL;4;47.5;0
Foix;42.96;1.6;09/09/2026;19:00;22.1;0;SOLEIL;4;45.4;0
Foix;42.96;1.6;09/09/2026;20:00;21.4;0;SOLEIL;5;42.1;0
Foix;42.96;1.6;09/09/2026;21:00;20.7;0;SOLEIL;5;36.4;0
Foix;42.96;1.6;09/09/2026;22:00;20.0;0;SOLEIL;5;29.2;0
Foix;42.96;1.6;09/09/2026;23:00;17.6;0;SOLEIL;3;23.4;0
Carcassonne;43.21;2.35;05/09/2026;00:00;21.1;0;SOLEIL;0;4.9;0
Carcassonne;43.21;2.35;05/09/2026;01:00;20.6;0;SOLEIL;0;4.7;0
Carcassonne;43.21;2.35;05/09/2026;02:00;19.7;0;SOLEIL;0;3.6;0
Carcassonne;43.21;2.35;05/09/2026;03:00;19.5;0;SOLEIL;0;2.5;0
Carcassonne;43.21;2.35;05/09/2026;04:00;19.1;0;SOLEIL;1;3.6;0
Carcassonne;43.21;2.35;05/09/2026;05:00;18.4;0;SOLEIL;1;4.3;0
Carcassonne;43.21;2.35;05/09/2026;06:00;18.2;0;SOLEIL;1;4.0;0
