Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Blain;47.47;-1.76;21/08/2026;00:00;17.2;5;SOLEIL VOILÉ;3;27.5;0
Blain;47.47;-1.76;21/08/2026;01:00;16.9;5;SOLEIL VOILÉ;2;25.9;0
Blain;47.47;-1.76;21/08/2026;02:00;16.6;5;SOLEIL VOILÉ;2;25.6;0
Blain;47.47;-1.76;21/08/2026;03:00;16.1;2;NUAGEUX;2;24.1;0
Blain;47.47;-1.76;21/08/2026;04:00;15.7;2;NUAGEUX;2;21.2;0
Blain;47.47;-1.76;21/08/2026;05:00;15.7;2;NUAGEUX;2;20.9;0
Blain;47.47;-1.76;21/08/2026;06:00;16.1;2;NUAGEUX;2;10.4;0
Blain;47.47;-1.76;21/08/2026;07:00;17.7;0;SOLEIL;2;13.3;0
Blain;47.47;-1.76;21/08/2026;08:00;18.6;0;SOLEIL;2;16.6;0
Blain;47.47;-1.76;21/08/2026;09:00;19.2;2;NUAGEUX;3;16.9;0
Blain;47.47;-1.76;21/08/2026;10:00;20.5;2;NUAGEUX;3;20.9;0
Blain;47.47;-1.76;21/08/2026;11:00;21.9;2;NUAGEUX;3;23.4;0
Blain;47.47;-1.76;21/08/2026;12:00;22.6;2;NUAGEUX;4;24.5;0
Blain;47.47;-1.76;21/08/2026;13:00;23.6;2;NUAGEUX;4;27.4;0
Blain;47.47;-1.76;21/08/2026;14:00;22.5;2;NUAGEUX;5;29.2;0
Blain;47.47;-1.76;21/08/2026;15:00;23.1;0;SOLEIL;6;30.6;0
Blain;47.47;-1.76;21/08/2026;16:00;22.7;0;SOLEIL;6;35.3;0
Blain;47.47;-1.76;21/08/2026;17:00;22;0;SOLEIL;5;41.8;0
Blain;47.47;-1.76;21/08/2026;18:00;20.4;0;SOLEIL;5;42.5;0
Blain;47.47;-1.76;21/08/2026;19:00;19.1;0;SOLEIL;4;41.8;0
Blain;47.47;-1.76;21/08/2026;20:00;18.2;0;SOLEIL;2;40.7;0
Blain;47.47;-1.76;21/08/2026;21:00;17.5;0;SOLEIL;2;33.8;0
Blain;47.47;-1.76;21/08/2026;22:00;16.9;0;SOLEIL;3;18.4;0
Blain;47.47;-1.76;21/08/2026;23:00;15.9;0;SOLEIL;2;13.3;0
Blain;47.47;-1.76;22/08/2026;00:00;15.5;0;SOLEIL;2;7.2;0
Blain;47.47;-1.76;22/08/2026;01:00;15.5;0;SOLEIL;2;7.6;0
Blain;47.47;-1.76;22/08/2026;02:00;13.9;0;SOLEIL;2;10.4;0
Blain;47.47;-1.76;22/08/2026;03:00;13.9;0;SOLEIL;2;14.0;0
Blain;47.47;-1.76;22/08/2026;04:00;13.9;0;SOLEIL;2;14.4;0
Blain;47.47;-1.76;22/08/2026;05:00;13.4;0;SOLEIL;2;12.2;0
Blain;47.47;-1.76;22/08/2026;06:00;13.4;0;SOLEIL;2;11.9;0
Blain;47.47;-1.76;22/08/2026;07:00;13.4;0;SOLEIL;2;10.8;0
Blain;47.47;-1.76;22/08/2026;08:00;18.6;0;SOLEIL;2;10.1;0
Blain;47.47;-1.76;22/08/2026;09:00;18.6;0;SOLEIL;2;13.0;0
Blain;47.47;-1.76;22/08/2026;10:00;18.6;0;SOLEIL;2;15.8;0
Blain;47.47;-1.76;22/08/2026;11:00;23.4;0;SOLEIL;2;20.9;0
Blain;47.47;-1.76;22/08/2026;12:00;23.4;0;SOLEIL;2;26.6;0
Blain;47.47;-1.76;22/08/2026;13:00;23.4;0;SOLEIL;2;27.4;0
Blain;47.47;-1.76;22/08/2026;14:00;25.5;2;NUAGEUX;2;27.7;0
Blain;47.47;-1.76;22/08/2026;15:00;25.5;2;NUAGEUX;2;29.1;0
Blain;47.47;-1.76;22/08/2026;16:00;25.5;2;NUAGEUX;2;29.7;0
Blain;47.47;-1.76;22/08/2026;17:00;23.1;5;SOLEIL VOILÉ;4;31.6;0
Blain;47.47;-1.76;22/08/2026;18:00;23.1;5;SOLEIL VOILÉ;4;35.3;0
Blain;47.47;-1.76;22/08/2026;19:00;23.1;5;SOLEIL VOILÉ;4;35.3;0
Blain;47.47;-1.76;22/08/2026;20:00;19.7;5;SOLEIL VOILÉ;4;31.7;0
Blain;47.47;-1.76;22/08/2026;21:00;19.7;5;SOLEIL VOILÉ;4;29.2;0
Blain;47.47;-1.76;22/08/2026;22:00;19.7;5;SOLEIL VOILÉ;4;27.4;0
Blain;47.47;-1.76;22/08/2026;23:00;17.7;0;SOLEIL;4;23.8;0
Blain;47.47;-1.76;23/08/2026;00:00;17.7;0;SOLEIL;4;23.0;0
Blain;47.47;-1.76;23/08/2026;01:00;17.7;0;SOLEIL;4;23.4;0
Blain;47.47;-1.76;23/08/2026;02:00;16.2;0;SOLEIL;4;25.9;0
Blain;47.47;-1.76;23/08/2026;03:00;16.2;0;SOLEIL;4;36.4;0
Blain;47.47;-1.76;23/08/2026;04:00;16.2;0;SOLEIL;4;36.7;0
Blain;47.47;-1.76;23/08/2026;05:00;15;0;SOLEIL;5;36.0;0
Blain;47.47;-1.76;23/08/2026;06:00;15;0;SOLEIL;5;33.8;0
Blain;47.47;-1.76;23/08/2026;07:00;15;0;SOLEIL;5;33.5;0
Blain;47.47;-1.76;23/08/2026;08:00;21.1;0;SOLEIL;5;33.8;0
Blain;47.47;-1.76;23/08/2026;09:00;21.1;0;SOLEIL;5;35.3;0
Blain;47.47;-1.76;23/08/2026;10:00;21.1;0;SOLEIL;5;37.1;0
Blain;47.47;-1.76;23/08/2026;11:00;26.6;5;SOLEIL VOILÉ;5;38.2;0
Blain;47.47;-1.76;23/08/2026;12:00;26.6;5;SOLEIL VOILÉ;5;40.7;0
Blain;47.47;-1.76;23/08/2026;13:00;26.6;5;SOLEIL VOILÉ;5;43.9;0
Blain;47.47;-1.76;23/08/2026;14:00;28.1;5;SOLEIL VOILÉ;5;45.0;0
Blain;47.47;-1.76;23/08/2026;15:00;28.1;5;SOLEIL VOILÉ;5;44.3;0
Blain;47.47;-1.76;23/08/2026;16:00;28.1;5;SOLEIL VOILÉ;5;42.5;0
Blain;47.47;-1.76;23/08/2026;17:00;27;0;SOLEIL;5;41.4;0
Blain;47.47;-1.76;23/08/2026;18:00;27;0;SOLEIL;5;40.3;0
Blain;47.47;-1.76;23/08/2026;19:00;27;0;SOLEIL;5;38.9;0
Blain;47.47;-1.76;23/08/2026;20:00;20.9;0;SOLEIL;5;42.1;0
Blain;47.47;-1.76;23/08/2026;21:00;19.3;0;SOLEIL;5;43.2;0
Blain;47.47;-1.76;23/08/2026;22:00;17.7;0;SOLEIL;5;43.2;0
Blain;47.47;-1.76;23/08/2026;23:00;19.5;0;SOLEIL;6;42.5;0
Blain;47.47;-1.76;24/08/2026;00:00;19.5;0;SOLEIL;6;42.1;0
Blain;47.47;-1.76;24/08/2026;01:00;19.5;0;SOLEIL;6;41.4;0
Blain;47.47;-1.76;24/08/2026;02:00;17.1;10;ORAGEUX;5;40.7;0
Blain;47.47;-1.76;24/08/2026;03:00;17.1;10;ORAGEUX;5;38.5;0
Blain;47.47;-1.76;24/08/2026;04:00;17.1;10;ORAGEUX;5;38.9;0
Blain;47.47;-1.76;24/08/2026;05:00;17.6;2;NUAGEUX;6;40.7;0
Blain;47.47;-1.76;24/08/2026;06:00;17.6;2;NUAGEUX;6;41.0;0
Blain;47.47;-1.76;24/08/2026;07:00;17.6;2;NUAGEUX;6;40.0;0
Blain;47.47;-1.76;24/08/2026;08:00;19.3;10;ORAGEUX;5;36.7;0
Blain;47.47;-1.76;24/08/2026;09:00;20.4;10;ORAGEUX;5;36.0;0
Blain;47.47;-1.76;24/08/2026;10:00;21.5;10;ORAGEUX;5;38.5;0
Blain;47.47;-1.76;24/08/2026;11:00;24.2;10;ORAGEUX;5;40.0;0
Blain;47.47;-1.76;24/08/2026;12:00;24.2;10;ORAGEUX;5;37.8;0
