Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
BREST;48.39;-4.48;08/08/2026;0;SOLEIL;30.5;17.1
BREST;48.39;-4.48;09/08/2026;5;SOLEIL VOILÉ;32.6;20.1
BREST;48.39;-4.48;10/08/2026;0;SOLEIL;30.4;21.5
BREST;48.39;-4.48;11/08/2026;0;SOLEIL;30.6;19.6
BREST;48.39;-4.48;12/08/2026;0;SOLEIL;32.7;20.7
BREST;48.39;-4.48;13/08/2026;0;SOLEIL;34.9;23.1
BREST;48.39;-4.48;14/08/2026;0;SOLEIL;30.6;21.7
BREST;48.39;-4.48;15/08/2026;0;SOLEIL;28;20
RENNES;48.11;-1.67;08/08/2026;5;SOLEIL VOILÉ;27.9;13
RENNES;48.11;-1.67;09/08/2026;0;SOLEIL;24.6;14.9
RENNES;48.11;-1.67;10/08/2026;0;SOLEIL;26.1;15.7
RENNES;48.11;-1.67;11/08/2026;0;SOLEIL;31.5;15.9
RENNES;48.11;-1.67;12/08/2026;0;SOLEIL;30.1;18.6
RENNES;48.11;-1.67;13/08/2026;6;AVERSES;28.1;17.6
RENNES;48.11;-1.67;14/08/2026;6;AVERSES;25.1;16.5
RENNES;48.11;-1.67;15/08/2026;6;AVERSES;24.1;16
CHERBOURG;49.63;-1.62;08/08/2026;5;SOLEIL VOILÉ;31.6;13.6
CHERBOURG;49.63;-1.62;09/08/2026;0;SOLEIL;31.5;17.4
CHERBOURG;49.63;-1.62;10/08/2026;0;SOLEIL;30.1;17.4
CHERBOURG;49.63;-1.62;11/08/2026;0;SOLEIL;33.6;17.2
CHERBOURG;49.63;-1.62;12/08/2026;0;SOLEIL;35.9;20.9
CHERBOURG;49.63;-1.62;13/08/2026;0;SOLEIL;32.1;20
CHERBOURG;49.63;-1.62;14/08/2026;0;SOLEIL;30.1;18.6
CHERBOURG;49.63;-1.62;15/08/2026;0;SOLEIL;27.6;17.1
ROUEN;49.44;1.1;08/08/2026;5;SOLEIL VOILÉ;28.9;12.6
ROUEN;49.44;1.1;09/08/2026;0;SOLEIL;26.6;16.5
ROUEN;49.44;1.1;10/08/2026;0;SOLEIL;22.6;16.6
ROUEN;49.44;1.1;11/08/2026;0;SOLEIL;24.1;15.6
ROUEN;49.44;1.1;12/08/2026;0;SOLEIL;25.5;18.7
ROUEN;49.44;1.1;13/08/2026;0;SOLEIL;24.1;18.6
ROUEN;49.44;1.1;14/08/2026;0;SOLEIL;23.7;17.1
ROUEN;49.44;1.1;15/08/2026;0;SOLEIL;21.6;16.7
PARIS;48.85;2.35;08/08/2026;5;SOLEIL VOILÉ;30.7;12.2
PARIS;48.85;2.35;09/08/2026;0;SOLEIL;33;13.1
PARIS;48.85;2.35;10/08/2026;0;SOLEIL;29.6;17.6
PARIS;48.85;2.35;11/08/2026;0;SOLEIL;32;16.6
PARIS;48.85;2.35;12/08/2026;0;SOLEIL;34.9;18.4
PARIS;48.85;2.35;13/08/2026;0;SOLEIL;33.5;20
PARIS;48.85;2.35;14/08/2026;0;SOLEIL;31.2;18.7
PARIS;48.85;2.35;15/08/2026;0;SOLEIL;27.5;17.6
LILLE;50.62;3.05;08/08/2026;0;SOLEIL;28.1;15.6
LILLE;50.62;3.05;09/08/2026;0;SOLEIL;32;15.9
LILLE;50.62;3.05;10/08/2026;0;SOLEIL;28.1;19.1
LILLE;50.62;3.05;11/08/2026;0;SOLEIL;27.1;16.9
LILLE;50.62;3.05;12/08/2026;0;SOLEIL;30.4;18.1
LILLE;50.62;3.05;13/08/2026;0;SOLEIL;34;19.6
LILLE;50.62;3.05;14/08/2026;0;SOLEIL;30.1;20.2
LILLE;50.62;3.05;15/08/2026;0;SOLEIL;27.1;18.1
BOULOGNE-SUR-MER;50.726;1.614;08/08/2026;5;SOLEIL VOILÉ;25.1;15.2
BOULOGNE-SUR-MER;50.726;1.614;09/08/2026;0;SOLEIL;28.1;19.1
BOULOGNE-SUR-MER;50.726;1.614;10/08/2026;0;SOLEIL;23.7;18.4
BOULOGNE-SUR-MER;50.726;1.614;11/08/2026;0;SOLEIL;26.6;17.1
BOULOGNE-SUR-MER;50.726;1.614;12/08/2026;0;SOLEIL;29.6;19
BOULOGNE-SUR-MER;50.726;1.614;13/08/2026;0;SOLEIL;28.2;20.6
BOULOGNE-SUR-MER;50.726;1.614;14/08/2026;0;SOLEIL;25.1;18.6
BOULOGNE-SUR-MER;50.726;1.614;15/08/2026;0;SOLEIL;21.7;16.7
REIMS;49.25;4.03;08/08/2026;0;SOLEIL;30.2;12.1
REIMS;49.25;4.03;09/08/2026;5;SOLEIL VOILÉ;33.1;15.1
REIMS;49.25;4.03;10/08/2026;0;SOLEIL;31.9;18.6
REIMS;49.25;4.03;11/08/2026;0;SOLEIL;30.5;17
REIMS;49.25;4.03;12/08/2026;0;SOLEIL;33.6;16.9
REIMS;49.25;4.03;13/08/2026;0;SOLEIL;38;17.5
REIMS;49.25;4.03;14/08/2026;0;SOLEIL;34.5;20
REIMS;49.25;4.03;15/08/2026;0;SOLEIL;29.6;18.2
METZ;49.11;6.17;08/08/2026;0;SOLEIL;32;13.7
METZ;49.11;6.17;09/08/2026;5;SOLEIL VOILÉ;33.2;16.6
METZ;49.11;6.17;10/08/2026;0;SOLEIL;33.2;19.6
METZ;49.11;6.17;11/08/2026;0;SOLEIL;30.9;18.5
METZ;49.11;6.17;12/08/2026;0;SOLEIL;33.6;18.5
METZ;49.11;6.17;13/08/2026;0;SOLEIL;37;19.7
METZ;49.11;6.17;14/08/2026;0;SOLEIL;35.1;22.7
METZ;49.11;6.17;15/08/2026;0;SOLEIL;28.2;20.1
NANTES;47.21;-1.55;08/08/2026;5;SOLEIL VOILÉ;34.2;15.7
NANTES;47.21;-1.55;09/08/2026;0;SOLEIL;30;19.1
NANTES;47.21;-1.55;10/08/2026;0;SOLEIL;31.5;19.1
NANTES;47.21;-1.55;11/08/2026;0;SOLEIL;34.1;20.1
NANTES;47.21;-1.55;12/08/2026;0;SOLEIL;34.6;22.6
NANTES;47.21;-1.55;13/08/2026;0;SOLEIL;33.1;21
NANTES;47.21;-1.55;14/08/2026;0;SOLEIL;30.7;20.9
NANTES;47.21;-1.55;15/08/2026;0;SOLEIL;28;19.1
TOURS;47.39;0.68;08/08/2026;0;SOLEIL;33.1;15.6
TOURS;47.39;0.68;09/08/2026;10;ORAGEUX;33.9;18.9
TOURS;47.39;0.68;10/08/2026;0;SOLEIL;33.1;19.1
TOURS;47.39;0.68;11/08/2026;0;SOLEIL;34.1;19.1
TOURS;47.39;0.68;12/08/2026;0;SOLEIL;37;20.1
TOURS;47.39;0.68;13/08/2026;0;SOLEIL;36.9;20.7
TOURS;47.39;0.68;14/08/2026;0;SOLEIL;33.1;21
TOURS;47.39;0.68;15/08/2026;0;SOLEIL;29.5;18.6
AUXERRE;47.79;3.57;08/08/2026;0;SOLEIL;33.7;12.6
AUXERRE;47.79;3.57;09/08/2026;5;SOLEIL VOILÉ;34;16.2
AUXERRE;47.79;3.57;10/08/2026;0;SOLEIL;33.6;19
AUXERRE;47.79;3.57;11/08/2026;0;SOLEIL;33.9;17.9
AUXERRE;47.79;3.57;12/08/2026;0;SOLEIL;35.7;18.5
AUXERRE;47.79;3.57;13/08/2026;0;SOLEIL;39;19.4
AUXERRE;47.79;3.57;14/08/2026;0;SOLEIL;34.7;21.1
AUXERRE;47.79;3.57;15/08/2026;0;SOLEIL;30.4;19
CHAUMONT;48.11;5.14;08/08/2026;0;SOLEIL;33.2;11
CHAUMONT;48.11;5.14;09/08/2026;5;SOLEIL VOILÉ;31.1;15.6
CHAUMONT;48.11;5.14;10/08/2026;0;SOLEIL;33.4;17.1
CHAUMONT;48.11;5.14;11/08/2026;0;SOLEIL;32.2;15.1
CHAUMONT;48.11;5.14;12/08/2026;0;SOLEIL;35.9;15.5
CHAUMONT;48.11;5.14;13/08/2026;0;SOLEIL;39.9;17
CHAUMONT;48.11;5.14;14/08/2026;0;SOLEIL;36.1;19
CHAUMONT;48.11;5.14;15/08/2026;0;SOLEIL;29.7;17.1
STRASBOURG;48.57;7.75;08/08/2026;0;SOLEIL;32.6;17.5
STRASBOURG;48.57;7.75;09/08/2026;5;SOLEIL VOILÉ;33.1;20
STRASBOURG;48.57;7.75;10/08/2026;6;AVERSES;33.1;21.9
STRASBOURG;48.57;7.75;11/08/2026;0;SOLEIL;32.1;20.1
STRASBOURG;48.57;7.75;12/08/2026;0;SOLEIL;34.4;19.2
STRASBOURG;48.57;7.75;13/08/2026;0;SOLEIL;37.5;20.4
STRASBOURG;48.57;7.75;14/08/2026;0;SOLEIL;36.7;22.4
STRASBOURG;48.57;7.75;15/08/2026;6;AVERSES;28.7;21.5
BOURGES;47.08;2.39;08/08/2026;0;SOLEIL;34.1;16.1
BOURGES;47.08;2.39;09/08/2026;5;SOLEIL VOILÉ;32.5;20.2
BOURGES;47.08;2.39;10/08/2026;0;SOLEIL;32.6;19.4
BOURGES;47.08;2.39;11/08/2026;0;SOLEIL;33.7;19.9
BOURGES;47.08;2.39;12/08/2026;0;SOLEIL;35.6;20.4
BOURGES;47.08;2.39;13/08/2026;0;SOLEIL;36.7;20.7
BOURGES;47.08;2.39;14/08/2026;0;SOLEIL;33.5;22.6
BOURGES;47.08;2.39;15/08/2026;0;SOLEIL;28.9;20.1
BELFORT;47.63;6.86;08/08/2026;0;SOLEIL;32.2;15.4
BELFORT;47.63;6.86;09/08/2026;0;SOLEIL;32.1;17.4
BELFORT;47.63;6.86;10/08/2026;6;AVERSES;32.1;17.6
BELFORT;47.63;6.86;11/08/2026;0;SOLEIL;30.6;17
BELFORT;47.63;6.86;12/08/2026;0;SOLEIL;32.1;17.7
BELFORT;47.63;6.86;13/08/2026;0;SOLEIL;35.6;19.4
BELFORT;47.63;6.86;14/08/2026;0;SOLEIL;35.4;20.2
BELFORT;47.63;6.86;15/08/2026;6;AVERSES;28.6;18.4
LIMOGES;45.83;1.26;08/08/2026;0;SOLEIL;35.6;15
LIMOGES;45.83;1.26;09/08/2026;10;ORAGEUX;33.1;20.1
LIMOGES;45.83;1.26;10/08/2026;0;SOLEIL;33.2;17.1
LIMOGES;45.83;1.26;11/08/2026;0;SOLEIL;36.1;16.1
LIMOGES;45.83;1.26;12/08/2026;0;SOLEIL;37.6;16.1
LIMOGES;45.83;1.26;13/08/2026;0;SOLEIL;36;18.2
LIMOGES;45.83;1.26;14/08/2026;0;SOLEIL;34;19.1
LIMOGES;45.83;1.26;15/08/2026;0;SOLEIL;30.6;18.2
VICHY;46.12;3.42;08/08/2026;0;SOLEIL;35.7;14.9
VICHY;46.12;3.42;09/08/2026;10;ORAGEUX;32.2;18.9
VICHY;46.12;3.42;10/08/2026;6;AVERSES;34.4;20.1
VICHY;46.12;3.42;11/08/2026;0;SOLEIL;36.4;20.1
VICHY;46.12;3.42;12/08/2026;0;SOLEIL;38;19.9
VICHY;46.12;3.42;13/08/2026;0;SOLEIL;38.5;21.1
VICHY;46.12;3.42;14/08/2026;0;SOLEIL;34.7;22.5
VICHY;46.12;3.42;15/08/2026;0;SOLEIL;31.2;20.6
LYON;45.76;4.83;08/08/2026;0;SOLEIL;35;21.2
LYON;45.76;4.83;09/08/2026;10;ORAGEUX;34.1;22.4
LYON;45.76;4.83;10/08/2026;0;SOLEIL;35.1;22.1
LYON;45.76;4.83;11/08/2026;0;SOLEIL;35.7;22.5
LYON;45.76;4.83;12/08/2026;0;SOLEIL;36.7;22.6
LYON;45.76;4.83;13/08/2026;0;SOLEIL;38.6;22.7
LYON;45.76;4.83;14/08/2026;0;SOLEIL;37.5;23.9
LYON;45.76;4.83;15/08/2026;0;SOLEIL;32.6;23.5
PONTARLIER;46.9;6.35;08/08/2026;0;SOLEIL;31.1;11.7
PONTARLIER;46.9;6.35;09/08/2026;0;SOLEIL;29.5;15.6
PONTARLIER;46.9;6.35;10/08/2026;6;AVERSES;28.5;14.6
PONTARLIER;46.9;6.35;11/08/2026;0;SOLEIL;30.1;13.2
PONTARLIER;46.9;6.35;12/08/2026;0;SOLEIL;32.1;14.5
PONTARLIER;46.9;6.35;13/08/2026;0;SOLEIL;33.5;15.6
PONTARLIER;46.9;6.35;14/08/2026;0;SOLEIL;33;17.1
PONTARLIER;46.9;6.35;15/08/2026;6;AVERSES;26.7;16.1
LA ROCHELLE;46.16;-1.15;08/08/2026;0;SOLEIL;31;17.9
LA ROCHELLE;46.16;-1.15;09/08/2026;0;SOLEIL;26.7;20.1
LA ROCHELLE;46.16;-1.15;10/08/2026;0;SOLEIL;27.5;19.6
LA ROCHELLE;46.16;-1.15;11/08/2026;0;SOLEIL;35.4;21.2
LA ROCHELLE;46.16;-1.15;12/08/2026;0;SOLEIL;30.2;22.4
LA ROCHELLE;46.16;-1.15;13/08/2026;0;SOLEIL;28.6;21.7
LA ROCHELLE;46.16;-1.15;14/08/2026;0;SOLEIL;29;22.7
LA ROCHELLE;46.16;-1.15;15/08/2026;0;SOLEIL;27.6;20.6
BORDEAUX;44.83;-0.57;08/08/2026;0;SOLEIL;37.7;20.2
BORDEAUX;44.83;-0.57;09/08/2026;10;ORAGEUX;33.4;22.4
BORDEAUX;44.83;-0.57;10/08/2026;0;SOLEIL;34.5;20.4
BORDEAUX;44.83;-0.57;11/08/2026;0;SOLEIL;37.1;22.4
BORDEAUX;44.83;-0.57;12/08/2026;0;SOLEIL;34;23.2
BORDEAUX;44.83;-0.57;13/08/2026;2;NUAGEUX;31.2;21.2
BORDEAUX;44.83;-0.57;14/08/2026;0;SOLEIL;30.6;20.5
BORDEAUX;44.83;-0.57;15/08/2026;0;SOLEIL;31.2;19.6
BIARRITZ;43.48;-1.56;08/08/2026;0;SOLEIL;27.5;20
BIARRITZ;43.48;-1.56;09/08/2026;0;SOLEIL;25.5;20
BIARRITZ;43.48;-1.56;10/08/2026;0;SOLEIL;26.4;21.5
BIARRITZ;43.48;-1.56;11/08/2026;0;SOLEIL;30.7;21.4
BIARRITZ;43.48;-1.56;12/08/2026;0;SOLEIL;26.9;22.2
BIARRITZ;43.48;-1.56;13/08/2026;6;AVERSES;26.6;22.1
BIARRITZ;43.48;-1.56;14/08/2026;2;NUAGEUX;27;21.6
BIARRITZ;43.48;-1.56;15/08/2026;6;AVERSES;26.1;21.7
TARBES;43.23;0.07;08/08/2026;0;SOLEIL;33.9;17.6
TARBES;43.23;0.07;09/08/2026;0;SOLEIL;32.4;18.5
TARBES;43.23;0.07;10/08/2026;0;SOLEIL;32;19.6
TARBES;43.23;0.07;11/08/2026;0;SOLEIL;35.6;19.2
TARBES;43.23;0.07;12/08/2026;0;SOLEIL;34.5;20.6
TARBES;43.23;0.07;13/08/2026;6;AVERSES;32.2;20.6
TARBES;43.23;0.07;14/08/2026;6;AVERSES;31.1;19.5
TARBES;43.23;0.07;15/08/2026;0;SOLEIL;29.5;19
TOULOUSE;43.6;1.44;08/08/2026;0;SOLEIL;38.1;21
TOULOUSE;43.6;1.44;09/08/2026;0;SOLEIL;36;22.6
TOULOUSE;43.6;1.44;10/08/2026;0;SOLEIL;34.5;22.5
TOULOUSE;43.6;1.44;11/08/2026;0;SOLEIL;37.9;22.5
TOULOUSE;43.6;1.44;12/08/2026;0;SOLEIL;39;23.1
TOULOUSE;43.6;1.44;13/08/2026;0;SOLEIL;36.5;22.7
TOULOUSE;43.6;1.44;14/08/2026;0;SOLEIL;35.2;22.1
TOULOUSE;43.6;1.44;15/08/2026;0;SOLEIL;32.2;21.6
AURILLAC;44.92;2.44;08/08/2026;0;SOLEIL;35.1;17.5
AURILLAC;44.92;2.44;09/08/2026;10;ORAGEUX;32.4;20.9
AURILLAC;44.92;2.44;10/08/2026;6;AVERSES;32;19.4
AURILLAC;44.92;2.44;11/08/2026;0;SOLEIL;35.1;19.9
AURILLAC;44.92;2.44;12/08/2026;0;SOLEIL;37.1;21.5
AURILLAC;44.92;2.44;13/08/2026;0;SOLEIL;35.9;21.9
AURILLAC;44.92;2.44;14/08/2026;0;SOLEIL;34.1;21.6
AURILLAC;44.92;2.44;15/08/2026;6;AVERSES;30.5;20.2
MONTÉLIMAR;44.55;4.75;08/08/2026;0;SOLEIL;37.6;21.5
MONTÉLIMAR;44.55;4.75;09/08/2026;0;SOLEIL;35.4;21.4
MONTÉLIMAR;44.55;4.75;10/08/2026;0;SOLEIL;36.6;20.5
MONTÉLIMAR;44.55;4.75;11/08/2026;0;SOLEIL;38.4;21.2
