Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bourg-en-Bresse;46.2;5.22;17/07/2026;10;ORAGEUX;30.7;20.1
Bourg-en-Bresse;46.2;5.22;18/07/2026;0;SOLEIL;30.1;19.9
Bourg-en-Bresse;46.2;5.22;19/07/2026;0;SOLEIL;29.6;20.4
Bourg-en-Bresse;46.2;5.22;20/07/2026;0;SOLEIL;28.5;18
Bourg-en-Bresse;46.2;5.22;21/07/2026;0;SOLEIL;27.6;17.6
Vichy;46.12;3.42;17/07/2026;10;ORAGEUX;29.4;17.2
Vichy;46.12;3.42;18/07/2026;6;AVERSES;29.5;16.4
Vichy;46.12;3.42;19/07/2026;0;SOLEIL;28.1;16.1
Vichy;46.12;3.42;20/07/2026;0;SOLEIL;28.1;14.1
Vichy;46.12;3.42;21/07/2026;0;SOLEIL;28.2;15.2
Montluçon;46.34;2.6;17/07/2026;10;ORAGEUX;29.4;16.5
Montluçon;46.34;2.6;18/07/2026;6;AVERSES;29.5;16.5
Montluçon;46.34;2.6;19/07/2026;0;SOLEIL;29.5;17.5
Montluçon;46.34;2.6;20/07/2026;0;SOLEIL;29.6;15.2
Montluçon;46.34;2.6;21/07/2026;0;SOLEIL;29.2;14.9
Moulins;46.56;3.33;17/07/2026;0;SOLEIL;30.1;17.6
Moulins;46.56;3.33;18/07/2026;0;SOLEIL;29.7;14.7
Moulins;46.56;3.33;19/07/2026;0;SOLEIL;29.1;13.7
Moulins;46.56;3.33;20/07/2026;0;SOLEIL;28.4;10.5
Moulins;46.56;3.33;21/07/2026;0;SOLEIL;29.6;12
Privas;44.73;4.59;17/07/2026;0;SOLEIL;29.5;16.5
Privas;44.73;4.59;18/07/2026;0;SOLEIL;29.4;16
Privas;44.73;4.59;19/07/2026;0;SOLEIL;28.5;14.9
Privas;44.73;4.59;20/07/2026;0;SOLEIL;28.2;12.4
Privas;44.73;4.59;21/07/2026;0;SOLEIL;29.1;12.9
Sablières;44.53;4.07;17/07/2026;10;ORAGEUX;31.4;17.9
Sablières;44.53;4.07;18/07/2026;0;SOLEIL;29.5;18.2
Sablières;44.53;4.07;19/07/2026;0;SOLEIL;30.5;18.6
Sablières;44.53;4.07;20/07/2026;0;SOLEIL;29.9;18.1
Sablières;44.53;4.07;21/07/2026;0;SOLEIL;28.6;18.6
Aurillac;44.93;2.44;17/07/2026;10;ORAGEUX;33.4;17.2
Aurillac;44.93;2.44;18/07/2026;0;SOLEIL;33.4;17.2
Aurillac;44.93;2.44;19/07/2026;0;SOLEIL;33.1;18.1
Aurillac;44.93;2.44;20/07/2026;0;SOLEIL;31.9;17.1
Aurillac;44.93;2.44;21/07/2026;0;SOLEIL;30.7;16.6
Saint-Flour;45.03;3.09;17/07/2026;6;AVERSES;28.2;16.9
Saint-Flour;45.03;3.09;18/07/2026;0;SOLEIL;28.2;15.6
Saint-Flour;45.03;3.09;19/07/2026;0;SOLEIL;30.9;16.6
Saint-Flour;45.03;3.09;20/07/2026;0;SOLEIL;31;16.1
Saint-Flour;45.03;3.09;21/07/2026;0;SOLEIL;30;15.7
Dieulefit;44.52;5.06;17/07/2026;0;SOLEIL;26.6;14.5
Dieulefit;44.52;5.06;18/07/2026;0;SOLEIL;26.6;13.2
Dieulefit;44.52;5.06;19/07/2026;0;SOLEIL;26.4;12.6
Dieulefit;44.52;5.06;20/07/2026;0;SOLEIL;26.1;11.1
Dieulefit;44.52;5.06;21/07/2026;0;SOLEIL;24.2;10.4
Montélimar;44.56;4.75;17/07/2026;0;SOLEIL;34;18.6
Montélimar;44.56;4.75;18/07/2026;0;SOLEIL;31.2;16.2
Montélimar;44.56;4.75;19/07/2026;0;SOLEIL;31.1;17
Montélimar;44.56;4.75;20/07/2026;0;SOLEIL;30.4;14.6
Montélimar;44.56;4.75;21/07/2026;0;SOLEIL;29.2;15.2
Valence;44.93;4.89;17/07/2026;0;SOLEIL;34.4;19.2
Valence;44.93;4.89;18/07/2026;0;SOLEIL;31.9;20.6
Valence;44.93;4.89;19/07/2026;0;SOLEIL;32.6;20.4
Valence;44.93;4.89;20/07/2026;0;SOLEIL;31.5;19.1
Valence;44.93;4.89;21/07/2026;0;SOLEIL;31;19.1
Bourgoin-Jallieu;45.59;5.28;17/07/2026;0;SOLEIL;32.2;19
Bourgoin-Jallieu;45.59;5.28;18/07/2026;0;SOLEIL;32.1;19.1
Bourgoin-Jallieu;45.59;5.28;19/07/2026;0;SOLEIL;32.2;19.7
Bourgoin-Jallieu;45.59;5.28;20/07/2026;0;SOLEIL;31.5;18.4
Bourgoin-Jallieu;45.59;5.28;21/07/2026;0;SOLEIL;30;18.7
Grenoble;45.18;5.72;17/07/2026;6;AVERSES;31.2;19.1
Grenoble;45.18;5.72;18/07/2026;0;SOLEIL;29.6;17.7
Grenoble;45.18;5.72;19/07/2026;0;SOLEIL;29.4;18.2
Grenoble;45.18;5.72;20/07/2026;0;SOLEIL;28.9;15.9
Grenoble;45.18;5.72;21/07/2026;0;SOLEIL;28.2;15.6
Lalley;44.76;5.67;17/07/2026;0;SOLEIL;32.4;18
Lalley;44.76;5.67;18/07/2026;0;SOLEIL;32.2;18.2
Lalley;44.76;5.67;19/07/2026;6;AVERSES;30.5;18.1
Lalley;44.76;5.67;20/07/2026;0;SOLEIL;30.1;17.1
Lalley;44.76;5.67;21/07/2026;0;SOLEIL;29.1;17.7
Roanne;46.03;4.07;17/07/2026;0;SOLEIL;30.2;14.9
Roanne;46.03;4.07;18/07/2026;0;SOLEIL;26.9;12.2
Roanne;46.03;4.07;19/07/2026;0;SOLEIL;28;12.1
Roanne;46.03;4.07;20/07/2026;0;SOLEIL;27.7;11
Roanne;46.03;4.07;21/07/2026;0;SOLEIL;26.4;10.1
Saint-Étienne;45.43;4.39;17/07/2026;6;AVERSES;29.5;17.4
Saint-Étienne;45.43;4.39;18/07/2026;0;SOLEIL;27.7;17.1
Saint-Étienne;45.43;4.39;19/07/2026;6;AVERSES;29.4;19.1
Saint-Étienne;45.43;4.39;20/07/2026;0;SOLEIL;28.5;17
Saint-Étienne;45.43;4.39;21/07/2026;0;SOLEIL;28.2;16.9
Le Puy-en-Velay;45.04;3.88;17/07/2026;6;AVERSES;28.1;16.1
Le Puy-en-Velay;45.04;3.88;18/07/2026;0;SOLEIL;26.7;16.7
Le Puy-en-Velay;45.04;3.88;19/07/2026;6;AVERSES;27.4;16.1
Le Puy-en-Velay;45.04;3.88;20/07/2026;0;SOLEIL;26.5;13.6
Le Puy-en-Velay;45.04;3.88;21/07/2026;0;SOLEIL;26.1;14.2
Ambert;45.55;3.74;17/07/2026;6;AVERSES;28.1;13.1
Ambert;45.55;3.74;18/07/2026;0;SOLEIL;26.7;12
Ambert;45.55;3.74;19/07/2026;0;SOLEIL;28.6;13
Ambert;45.55;3.74;20/07/2026;0;SOLEIL;28.2;11.7
Ambert;45.55;3.74;21/07/2026;0;SOLEIL;27.1;11.1
Clermont-Ferrand;45.78;3.08;17/07/2026;6;AVERSES;29.5;14.1
Clermont-Ferrand;45.78;3.08;18/07/2026;0;SOLEIL;27.9;13
Clermont-Ferrand;45.78;3.08;19/07/2026;0;SOLEIL;28.6;11.5
Clermont-Ferrand;45.78;3.08;20/07/2026;0;SOLEIL;28;9.6
Clermont-Ferrand;45.78;3.08;21/07/2026;0;SOLEIL;27.6;9.5
Vodable;45.5;3.14;17/07/2026;6;AVERSES;30.7;16.2
Vodable;45.5;3.14;18/07/2026;6;AVERSES;28;14.9
Vodable;45.5;3.14;19/07/2026;0;SOLEIL;29.1;14.6
Vodable;45.5;3.14;20/07/2026;0;SOLEIL;28.1;11.6
Vodable;45.5;3.14;21/07/2026;0;SOLEIL;28.1;13
Lyon;45.76;4.83;17/07/2026;10;ORAGEUX;28.2;15.1
Lyon;45.76;4.83;18/07/2026;6;AVERSES;25.2;14.6
Lyon;45.76;4.83;19/07/2026;0;SOLEIL;27.1;13.9
Lyon;45.76;4.83;20/07/2026;0;SOLEIL;26.1;11.2
Lyon;45.76;4.83;21/07/2026;0;SOLEIL;25.7;12.2
Bonneval-sur-Arc;45.37;7.04;17/07/2026;6;AVERSES;24.5;13.7
Bonneval-sur-Arc;45.37;7.04;18/07/2026;0;SOLEIL;23.2;12.9
Bonneval-sur-Arc;45.37;7.04;19/07/2026;0;SOLEIL;20.6;7.4
Bonneval-sur-Arc;45.37;7.04;20/07/2026;0;SOLEIL;20.3;7.2
Bonneval-sur-Arc;45.37;7.04;21/07/2026;0;SOLEIL;18.8;7.3
Chambéry;45.56;5.91;17/07/2026;6;AVERSES;27.2;20.9
Chambéry;45.56;5.91;18/07/2026;6;AVERSES;27;17.1
Chambéry;45.56;5.91;19/07/2026;6;AVERSES;28.1;15.4
Chambéry;45.56;5.91;20/07/2026;0;SOLEIL;27.6;14.2
Chambéry;45.56;5.91;21/07/2026;0;SOLEIL;26.4;14.1
Moûtiers;45.48;6.53;17/07/2026;10;ORAGEUX;31.4;17.1
Moûtiers;45.48;6.53;18/07/2026;0;SOLEIL;29.6;15.4
