Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Châtillon-sur-Seine;47.86;4.57;07/08/2026;0;SOLEIL;30.6;16.4
Châtillon-sur-Seine;47.86;4.57;08/08/2026;0;SOLEIL;33.2;14.9
Châtillon-sur-Seine;47.86;4.57;09/08/2026;0;SOLEIL;33.6;17.1
Châtillon-sur-Seine;47.86;4.57;10/08/2026;6;AVERSES;34.4;18.6
Châtillon-sur-Seine;47.86;4.57;11/08/2026;0;SOLEIL;33.7;18.1
Dijon;47.32;5.04;07/08/2026;0;SOLEIL;28.1;9.6
Dijon;47.32;5.04;08/08/2026;0;SOLEIL;33.1;10.1
Dijon;47.32;5.04;09/08/2026;5;SOLEIL VOILÉ;32.1;14.7
Dijon;47.32;5.04;10/08/2026;6;AVERSES;32.6;17.1
Dijon;47.32;5.04;11/08/2026;0;SOLEIL;32.2;15
Pouilly-en-Auxois;47.25;4.55;07/08/2026;0;SOLEIL;28.4;13.5
Pouilly-en-Auxois;47.25;4.55;08/08/2026;0;SOLEIL;32.9;12.1
Pouilly-en-Auxois;47.25;4.55;09/08/2026;0;SOLEIL;32.2;17.6
Pouilly-en-Auxois;47.25;4.55;10/08/2026;6;AVERSES;32;17.9
Pouilly-en-Auxois;47.25;4.55;11/08/2026;0;SOLEIL;33;17.1
Besançon;47.23;6.02;07/08/2026;0;SOLEIL;30.7;16
Besançon;47.23;6.02;08/08/2026;0;SOLEIL;33.2;16.7
Besançon;47.23;6.02;09/08/2026;0;SOLEIL;34.1;17.9
Besançon;47.23;6.02;10/08/2026;6;AVERSES;32.6;19.1
Besançon;47.23;6.02;11/08/2026;0;SOLEIL;33.6;18
Pontarlier;46.9;6.35;07/08/2026;0;SOLEIL;28.4;12.4
Pontarlier;46.9;6.35;08/08/2026;0;SOLEIL;31.1;11.7
Pontarlier;46.9;6.35;09/08/2026;0;SOLEIL;29.5;15.6
Pontarlier;46.9;6.35;10/08/2026;6;AVERSES;28.5;14.6
Pontarlier;46.9;6.35;11/08/2026;0;SOLEIL;30.1;13.2
Sancey-le-Grand;47.29;6.58;07/08/2026;0;SOLEIL;29.6;13.6
Sancey-le-Grand;47.29;6.58;08/08/2026;0;SOLEIL;32.2;13.7
Sancey-le-Grand;47.29;6.58;09/08/2026;0;SOLEIL;33.1;15.7
Sancey-le-Grand;47.29;6.58;10/08/2026;6;AVERSES;31.2;16.5
Sancey-le-Grand;47.29;6.58;11/08/2026;0;SOLEIL;31.6;16
Dole;47.09;5.49;07/08/2026;0;SOLEIL;32.6;16.7
Dole;47.09;5.49;08/08/2026;0;SOLEIL;34.7;16.2
Dole;47.09;5.49;09/08/2026;0;SOLEIL;34.5;18.2
Dole;47.09;5.49;10/08/2026;0;SOLEIL;35.6;19.1
