Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Argent-sur-Sauldre;47.56;2.45;08/08/2026;0;SOLEIL;33;14.1
Argent-sur-Sauldre;47.56;2.45;09/08/2026;0;SOLEIL;32.6;16.2
Argent-sur-Sauldre;47.56;2.45;10/08/2026;0;SOLEIL;33.1;17.1
Argent-sur-Sauldre;47.56;2.45;11/08/2026;0;SOLEIL;33.2;17.5
Argent-sur-Sauldre;47.56;2.45;12/08/2026;0;SOLEIL;37.1;18.9
Bourges;47.08;2.39;08/08/2026;0;SOLEIL;33.1;10.6
Bourges;47.08;2.39;09/08/2026;5;SOLEIL VOILÉ;32.6;15.6
Bourges;47.08;2.39;10/08/2026;0;SOLEIL;32.5;16.6
Bourges;47.08;2.39;11/08/2026;0;SOLEIL;32.6;16
Bourges;47.08;2.39;12/08/2026;0;SOLEIL;36.1;17.6
Saint-Amand-Montrond;46.72;2.5;08/08/2026;0;SOLEIL;34.1;16.1
Saint-Amand-Montrond;46.72;2.5;09/08/2026;5;SOLEIL VOILÉ;32.5;20.2
Saint-Amand-Montrond;46.72;2.5;10/08/2026;0;SOLEIL;32.6;19.9
Saint-Amand-Montrond;46.72;2.5;11/08/2026;0;SOLEIL;33.7;19.9
Saint-Amand-Montrond;46.72;2.5;12/08/2026;0;SOLEIL;35.6;20.4
Sancerre;47.33;2.84;08/08/2026;0;SOLEIL;35;13.5
Sancerre;47.33;2.84;09/08/2026;10;ORAGEUX;32.1;18.7
Sancerre;47.33;2.84;10/08/2026;0;SOLEIL;34.1;18.7
Sancerre;47.33;2.84;11/08/2026;0;SOLEIL;35.6;18.1
Sancerre;47.33;2.84;12/08/2026;0;SOLEIL;37.7;19.4
Chartres;48.44;1.48;08/08/2026;0;SOLEIL;32.1;15.9
Chartres;48.44;1.48;09/08/2026;5;SOLEIL VOILÉ;32.2;18.1
Chartres;48.44;1.48;10/08/2026;0;SOLEIL;32.7;17.9
Chartres;48.44;1.48;11/08/2026;0;SOLEIL;33;18.6
Chartres;48.44;1.48;12/08/2026;0;SOLEIL;35.1;19.1
Châteaudun;48.07;1.33;08/08/2026;5;SOLEIL VOILÉ;31.6;13.2
Châteaudun;48.07;1.33;09/08/2026;0;SOLEIL;31.6;16.4
Châteaudun;48.07;1.33;10/08/2026;0;SOLEIL;30.5;16.4
Châteaudun;48.07;1.33;11/08/2026;0;SOLEIL;31.1;16
Châteaudun;48.07;1.33;12/08/2026;0;SOLEIL;35.1;18.1
Dreux;48.73;1.36;08/08/2026;5;SOLEIL VOILÉ;31.1;13.1
Dreux;48.73;1.36;09/08/2026;0;SOLEIL;32.6;16.5
Dreux;48.73;1.36;10/08/2026;0;SOLEIL;31;17.4
Dreux;48.73;1.36;11/08/2026;0;SOLEIL;30.6;16.9
Dreux;48.73;1.36;12/08/2026;0;SOLEIL;35;17.7
Nogent-le-Rotrou;48.32;0.82;08/08/2026;5;SOLEIL VOILÉ;31.1;13.1
Nogent-le-Rotrou;48.32;0.82;09/08/2026;0;SOLEIL;32.2;14.5
Nogent-le-Rotrou;48.32;0.82;10/08/2026;0;SOLEIL;30.9;15.7
Nogent-le-Rotrou;48.32;0.82;11/08/2026;0;SOLEIL;32.2;16.1
Nogent-le-Rotrou;48.32;0.82;12/08/2026;0;SOLEIL;36.5;17.7
Châteauroux;46.81;1.69;08/08/2026;5;SOLEIL VOILÉ;30.6;11.5
Châteauroux;46.81;1.69;09/08/2026;0;SOLEIL;30.1;15.4
Châteauroux;46.81;1.69;10/08/2026;0;SOLEIL;28.9;14.7
Châteauroux;46.81;1.69;11/08/2026;0;SOLEIL;30.4;15.6
Châteauroux;46.81;1.69;12/08/2026;0;SOLEIL;33.5;17.5
Écueillé;47.08;1.34;08/08/2026;0;SOLEIL;34.9;15.5
Écueillé;47.08;1.34;09/08/2026;10;ORAGEUX;33.1;19.6
Écueillé;47.08;1.34;10/08/2026;0;SOLEIL;34.2;18.5
Écueillé;47.08;1.34;11/08/2026;0;SOLEIL;35.5;18.7
Écueillé;47.08;1.34;12/08/2026;0;SOLEIL;37.5;20.5
Éguzon-Chantôme;46.44;1.58;08/08/2026;0;SOLEIL;33.4;12.7
Éguzon-Chantôme;46.44;1.58;09/08/2026;0;SOLEIL;32.6;17.6
Éguzon-Chantôme;46.44;1.58;10/08/2026;0;SOLEIL;32.9;17.4
Éguzon-Chantôme;46.44;1.58;11/08/2026;0;SOLEIL;33.9;18.4
Éguzon-Chantôme;46.44;1.58;12/08/2026;0;SOLEIL;36.1;19.2
Le Blanc;46.63;1.06;08/08/2026;0;SOLEIL;34.6;11.9
Le Blanc;46.63;1.06;09/08/2026;10;ORAGEUX;32.6;18.4
Le Blanc;46.63;1.06;10/08/2026;0;SOLEIL;33;17.2
Le Blanc;46.63;1.06;11/08/2026;0;SOLEIL;35.2;17.5
Le Blanc;46.63;1.06;12/08/2026;0;SOLEIL;37.2;18.6
Chinon;47.16;0.24;08/08/2026;0;SOLEIL;35.1;13.6
Chinon;47.16;0.24;09/08/2026;10;ORAGEUX;34.1;18.7
Chinon;47.16;0.24;10/08/2026;0;SOLEIL;32.9;18.6
Chinon;47.16;0.24;11/08/2026;0;SOLEIL;36.7;18.1
Chinon;47.16;0.24;12/08/2026;0;SOLEIL;38.9;18.7
Le Grand-Pressigny;46.92;0.8;08/08/2026;5;SOLEIL VOILÉ;34.1;14.2
Le Grand-Pressigny;46.92;0.8;09/08/2026;10;ORAGEUX;33;17.7
Le Grand-Pressigny;46.92;0.8;10/08/2026;0;SOLEIL;34.2;18.1
Le Grand-Pressigny;46.92;0.8;11/08/2026;0;SOLEIL;35.4;19.2
Le Grand-Pressigny;46.92;0.8;12/08/2026;0;SOLEIL;38.1;20.6
Tours;47.39;0.68;08/08/2026;0;SOLEIL;33.6;11
Tours;47.39;0.68;09/08/2026;0;SOLEIL;32;16.4
Tours;47.39;0.68;10/08/2026;0;SOLEIL;32.4;15.6
Tours;47.39;0.68;11/08/2026;0;SOLEIL;34.9;16.6
Tours;47.39;0.68;12/08/2026;0;SOLEIL;37.6;17.6
Blois;47.58;1.33;08/08/2026;5;SOLEIL VOILÉ;33.1;15.6
Blois;47.58;1.33;09/08/2026;10;ORAGEUX;33.9;18.9
Blois;47.58;1.33;10/08/2026;0;SOLEIL;33.5;17.5
Blois;47.58;1.33;11/08/2026;0;SOLEIL;34.1;19.1
Blois;47.58;1.33;12/08/2026;0;SOLEIL;37;20.1
Romorantin-Lanthenay;47.35;1.74;08/08/2026;5;SOLEIL VOILÉ;33.1;14.5
Romorantin-Lanthenay;47.35;1.74;09/08/2026;10;ORAGEUX;32.5;17
Romorantin-Lanthenay;47.35;1.74;10/08/2026;0;SOLEIL;33.1;18
Romorantin-Lanthenay;47.35;1.74;11/08/2026;0;SOLEIL;33.9;17.4
Romorantin-Lanthenay;47.35;1.74;12/08/2026;0;SOLEIL;37.5;18.6
Vendôme;47.79;1.06;08/08/2026;0;SOLEIL;34.6;10.9
Vendôme;47.79;1.06;09/08/2026;0;SOLEIL;34;15.6
Vendôme;47.79;1.06;10/08/2026;0;SOLEIL;33.7;16
Vendôme;47.79;1.06;11/08/2026;0;SOLEIL;34.6;16.1
Vendôme;47.79;1.06;12/08/2026;0;SOLEIL;37.1;17.4
Montargis;47.99;2.73;08/08/2026;5;SOLEIL VOILÉ;32.1;13.6
Montargis;47.99;2.73;09/08/2026;10;ORAGEUX;33.4;17.9
Montargis;47.99;2.73;10/08/2026;0;SOLEIL;32.4;17.4
Montargis;47.99;2.73;11/08/2026;0;SOLEIL;33.6;17.1
Montargis;47.99;2.73;12/08/2026;0;SOLEIL;37.1;18.5
Orléans;47.9;1.9;08/08/2026;0;SOLEIL;33.2;13.1
Orléans;47.9;1.9;09/08/2026;5;SOLEIL VOILÉ;33.6;16.5
Orléans;47.9;1.9;10/08/2026;0;SOLEIL;33.4;18
Orléans;47.9;1.9;11/08/2026;0;SOLEIL;33.4;17.9
Orléans;47.9;1.9;12/08/2026;0;SOLEIL;36.7;18.2
Pithiviers;48.17;2.25;08/08/2026;0;SOLEIL;33.1;14.4
Pithiviers;48.17;2.25;09/08/2026;5;SOLEIL VOILÉ;32.7;16.9
Pithiviers;48.17;2.25;10/08/2026;0;SOLEIL;31.7;18.4
Pithiviers;48.17;2.25;11/08/2026;0;SOLEIL;32.2;18.1
Pithiviers;48.17;2.25;12/08/2026;0;SOLEIL;36;18.9
