Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Charleville-Mézières;49.76;4.71;08/08/2026;5;SOLEIL VOILÉ;30.6;17.1
Charleville-Mézières;49.76;4.71;09/08/2026;5;SOLEIL VOILÉ;32.6;20.1
Charleville-Mézières;49.76;4.71;10/08/2026;0;SOLEIL;30.1;20.1
Charleville-Mézières;49.76;4.71;11/08/2026;0;SOLEIL;30.6;19.6
Charleville-Mézières;49.76;4.71;12/08/2026;0;SOLEIL;32.7;20.7
Rethel;49.51;4.36;08/08/2026;0;SOLEIL;29.6;10.7
Rethel;49.51;4.36;09/08/2026;5;SOLEIL VOILÉ;31.1;11.5
Rethel;49.51;4.36;10/08/2026;0;SOLEIL;28.5;15.5
Rethel;49.51;4.36;11/08/2026;0;SOLEIL;27.6;12.6
Rethel;49.51;4.36;12/08/2026;0;SOLEIL;30.5;14.1
Nogent-sur-Seine;48.49;3.5;08/08/2026;0;SOLEIL;30.9;12.7
Nogent-sur-Seine;48.49;3.5;09/08/2026;5;SOLEIL VOILÉ;33.1;12.9
Nogent-sur-Seine;48.49;3.5;10/08/2026;0;SOLEIL;30.7;16.7
Nogent-sur-Seine;48.49;3.5;11/08/2026;0;SOLEIL;29.9;15.7
Nogent-sur-Seine;48.49;3.5;12/08/2026;0;SOLEIL;32.7;17
Troyes;48.3;4.07;08/08/2026;0;SOLEIL;32.1;12.6
Troyes;48.3;4.07;09/08/2026;5;SOLEIL VOILÉ;32.6;14.5
Troyes;48.3;4.07;10/08/2026;0;SOLEIL;33.1;16.6
Troyes;48.3;4.07;11/08/2026;0;SOLEIL;31.1;16.2
Troyes;48.3;4.07;12/08/2026;0;SOLEIL;33.9;17.6
Vitry-le-Croisé;48.15;4.65;08/08/2026;0;SOLEIL;32;12.4
Vitry-le-Croisé;48.15;4.65;09/08/2026;5;SOLEIL VOILÉ;33.1;16.1
Vitry-le-Croisé;48.15;4.65;10/08/2026;0;SOLEIL;33.2;17.5
Vitry-le-Croisé;48.15;4.65;11/08/2026;0;SOLEIL;32.6;17.6
Vitry-le-Croisé;48.15;4.65;12/08/2026;0;SOLEIL;36.1;18.4
Châlons-en-Champagne;48.95;4.36;08/08/2026;0;SOLEIL;33;13.1
Châlons-en-Champagne;48.95;4.36;09/08/2026;5;SOLEIL VOILÉ;31.9;16.6
Châlons-en-Champagne;48.95;4.36;10/08/2026;0;SOLEIL;32.6;17.6
Châlons-en-Champagne;48.95;4.36;11/08/2026;0;SOLEIL;30.4;15.5
Châlons-en-Champagne;48.95;4.36;12/08/2026;0;SOLEIL;34.1;16.1
Épernay;49.04;3.95;08/08/2026;0;SOLEIL;32.5;14
Épernay;49.04;3.95;09/08/2026;5;SOLEIL VOILÉ;33.4;15.1
Épernay;49.04;3.95;10/08/2026;0;SOLEIL;32.1;18
Épernay;49.04;3.95;11/08/2026;0;SOLEIL;30.6;16.6
Épernay;49.04;3.95;12/08/2026;0;SOLEIL;34.2;17.5
Reims;49.25;4.03;08/08/2026;5;SOLEIL VOILÉ;31.5;14.6
Reims;49.25;4.03;09/08/2026;5;SOLEIL VOILÉ;33;16
Reims;49.25;4.03;10/08/2026;0;SOLEIL;32.6;17.9
Reims;49.25;4.03;11/08/2026;0;SOLEIL;30.6;18.1
