Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Amiens;49.894;2.295;17/07/2026;0;SOLEIL;26.2;17.2
Amiens;49.894;2.295;18/07/2026;0;SOLEIL;23.6;15.9
Amiens;49.894;2.295;19/07/2026;6;AVERSES;21.7;15.4
Amiens;49.894;2.295;20/07/2026;2;NUAGEUX;22.2;14.9
Amiens;49.894;2.295;21/07/2026;6;AVERSES;23.6;15.4
Château-Thierry;49.046;3.403;17/07/2026;6;AVERSES;26;16.4
Château-Thierry;49.046;3.403;18/07/2026;0;SOLEIL;26.6;15.7
Château-Thierry;49.046;3.403;19/07/2026;0;SOLEIL;24.1;14.1
Château-Thierry;49.046;3.403;20/07/2026;2;NUAGEUX;24.1;12.6
Château-Thierry;49.046;3.403;21/07/2026;2;NUAGEUX;25.2;13.5
Laon;49.56;3.62;17/07/2026;10;ORAGEUX;26.6;15.1
Laon;49.56;3.62;18/07/2026;0;SOLEIL;28.5;12
Laon;49.56;3.62;19/07/2026;2;NUAGEUX;24.6;11.1
Laon;49.56;3.62;20/07/2026;0;SOLEIL;24.1;9.1
Laon;49.56;3.62;21/07/2026;0;SOLEIL;25.4;11.6
Saint-Quentin;49.85;3.29;17/07/2026;2;NUAGEUX;25.9;16.1
Saint-Quentin;49.85;3.29;18/07/2026;0;SOLEIL;26.1;15.2
Saint-Quentin;49.85;3.29;19/07/2026;2;NUAGEUX;24;13.7
Saint-Quentin;49.85;3.29;20/07/2026;0;SOLEIL;23.5;12.2
Saint-Quentin;49.85;3.29;21/07/2026;0;SOLEIL;24.6;13.2
Soissons;49.38;3.32;17/07/2026;0;SOLEIL;26;17.5
Soissons;49.38;3.32;18/07/2026;0;SOLEIL;26.4;15.6
Soissons;49.38;3.32;19/07/2026;2;NUAGEUX;24.6;14.2
Soissons;49.38;3.32;20/07/2026;2;NUAGEUX;24.5;12.9
Soissons;49.38;3.32;21/07/2026;0;SOLEIL;25.4;14.1
Vervins;49.83;3.91;17/07/2026;6;AVERSES;26.6;17.4
Vervins;49.83;3.91;18/07/2026;0;SOLEIL;28.1;14.2
Vervins;49.83;3.91;19/07/2026;2;NUAGEUX;26.2;13.5
Vervins;49.83;3.91;20/07/2026;0;SOLEIL;25.9;12.1
Vervins;49.83;3.91;21/07/2026;0;SOLEIL;26.6;13
Avesnes-sur-Helpe;50.12;3.93;17/07/2026;0;SOLEIL;25;16.5
Avesnes-sur-Helpe;50.12;3.93;18/07/2026;0;SOLEIL;24.6;14.5
Avesnes-sur-Helpe;50.12;3.93;19/07/2026;2;NUAGEUX;22.9;12.2
Avesnes-sur-Helpe;50.12;3.93;20/07/2026;2;NUAGEUX;22.4;10.6
Avesnes-sur-Helpe;50.12;3.93;21/07/2026;0;SOLEIL;23.1;11.7
Cambrai;50.17;3.23;17/07/2026;0;SOLEIL;25.5;14.9
Cambrai;50.17;3.23;18/07/2026;0;SOLEIL;25.7;13.6
Cambrai;50.17;3.23;19/07/2026;6;AVERSES;23.9;12.4
Cambrai;50.17;3.23;20/07/2026;6;AVERSES;23.6;11.1
Cambrai;50.17;3.23;21/07/2026;2;NUAGEUX;24.7;12
Dunkerque;51.03;2.37;17/07/2026;0;SOLEIL;26.7;16.4
Dunkerque;51.03;2.37;18/07/2026;0;SOLEIL;24.7;15
Dunkerque;51.03;2.37;19/07/2026;6;AVERSES;23.7;14.1
Dunkerque;51.03;2.37;20/07/2026;6;AVERSES;24;12.6
Dunkerque;51.03;2.37;21/07/2026;6;AVERSES;24.6;13.7
Hazebrouck;50.72;2.53;17/07/2026;0;SOLEIL;21.6;17.9
Hazebrouck;50.72;2.53;18/07/2026;0;SOLEIL;20.2;16.9
Hazebrouck;50.72;2.53;19/07/2026;6;AVERSES;20.4;16.4
Hazebrouck;50.72;2.53;20/07/2026;6;AVERSES;20.7;15.9
Hazebrouck;50.72;2.53;21/07/2026;6;AVERSES;21.1;16.1
Lille;50.62;3.05;17/07/2026;0;SOLEIL;25.2;15.9
Lille;50.62;3.05;18/07/2026;0;SOLEIL;22.6;15
Lille;50.62;3.05;19/07/2026;6;AVERSES;22;14.5
Lille;50.62;3.05;20/07/2026;6;AVERSES;22.1;14
Lille;50.62;3.05;21/07/2026;6;AVERSES;23.4;14.6
Valenciennes;50.36;3.52;17/07/2026;0;SOLEIL;26.7;17.1
Valenciennes;50.36;3.52;18/07/2026;0;SOLEIL;24.5;14.1
