Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Brest;48.39;-4.48;17/07/2026;10;ORAGEUX;27.5;20.6
Brest;48.39;-4.48;18/07/2026;0;SOLEIL;28.9;18.7
Brest;48.39;-4.48;19/07/2026;0;SOLEIL;24.9;16.1
Brest;48.39;-4.48;20/07/2026;0;SOLEIL;24.6;14.5
Brest;48.39;-4.48;21/07/2026;0;SOLEIL;25.1;15.6
Rennes;48.11;-1.67;17/07/2026;0;SOLEIL;26.2;16.6
Rennes;48.11;-1.67;18/07/2026;0;SOLEIL;26.4;14.5
Rennes;48.11;-1.67;19/07/2026;6;AVERSES;27.5;15.4
Rennes;48.11;-1.67;20/07/2026;0;SOLEIL;26.2;14.5
Rennes;48.11;-1.67;21/07/2026;0;SOLEIL;27.6;14.7
Cherbourg;49.63;-1.62;17/07/2026;0;SOLEIL;26.6;16.1
Cherbourg;49.63;-1.62;18/07/2026;0;SOLEIL;28.5;14.9
Cherbourg;49.63;-1.62;19/07/2026;0;SOLEIL;27.4;15.9
Cherbourg;49.63;-1.62;20/07/2026;0;SOLEIL;26.5;14.7
Cherbourg;49.63;-1.62;21/07/2026;0;SOLEIL;28.4;15.2
Rouen;49.44;1.1;17/07/2026;0;SOLEIL;27.4;16.2
Rouen;49.44;1.1;18/07/2026;0;SOLEIL;25.1;13.5
Rouen;49.44;1.1;19/07/2026;0;SOLEIL;21.7;15.7
Rouen;49.44;1.1;20/07/2026;0;SOLEIL;22.1;14.5
Rouen;49.44;1.1;21/07/2026;0;SOLEIL;23;15.5
Paris;48.85;2.35;17/07/2026;0;SOLEIL;25.6;15.9
Paris;48.85;2.35;18/07/2026;0;SOLEIL;28.7;15.7
Paris;48.85;2.35;19/07/2026;0;SOLEIL;24.7;14.6
Paris;48.85;2.35;20/07/2026;0;SOLEIL;25.1;13.4
Paris;48.85;2.35;21/07/2026;0;SOLEIL;26.6;14.1
Lille;50.62;3.05;17/07/2026;0;SOLEIL;26.2;17.2
Lille;50.62;3.05;18/07/2026;0;SOLEIL;23.6;15.9
Lille;50.62;3.05;19/07/2026;6;AVERSES;21.7;15.4
Lille;50.62;3.05;20/07/2026;2;NUAGEUX;22.2;14.9
Lille;50.62;3.05;21/07/2026;6;AVERSES;23.6;15.4
Boulogne-sur-Mer;50.726;1.614;17/07/2026;0;SOLEIL;24.4;16.4
Boulogne-sur-Mer;50.726;1.614;18/07/2026;0;SOLEIL;20.1;15
Boulogne-sur-Mer;50.726;1.614;19/07/2026;0;SOLEIL;19.7;14.4
Boulogne-sur-Mer;50.726;1.614;20/07/2026;0;SOLEIL;20;14
Boulogne-sur-Mer;50.726;1.614;21/07/2026;6;AVERSES;20.4;14.7
Reims;49.25;4.03;17/07/2026;10;ORAGEUX;25.9;18.7
Reims;49.25;4.03;18/07/2026;0;SOLEIL;28;16
Reims;49.25;4.03;19/07/2026;2;NUAGEUX;25.2;13.9
Reims;49.25;4.03;20/07/2026;0;SOLEIL;24.6;11.9
Reims;49.25;4.03;21/07/2026;0;SOLEIL;26;13.6
Metz;49.11;6.17;17/07/2026;10;ORAGEUX;25.1;17.7
Metz;49.11;6.17;18/07/2026;0;SOLEIL;26.2;14.6
Metz;49.11;6.17;19/07/2026;0;SOLEIL;24.5;14.2
Metz;49.11;6.17;20/07/2026;0;SOLEIL;24;12.9
Metz;49.11;6.17;21/07/2026;0;SOLEIL;25.2;13.9
Nantes;47.21;-1.55;17/07/2026;6;AVERSES;29.6;17.1
Nantes;47.21;-1.55;18/07/2026;0;SOLEIL;31.4;16
Nantes;47.21;-1.55;19/07/2026;0;SOLEIL;28.9;18.1
Nantes;47.21;-1.55;20/07/2026;0;SOLEIL;27.2;16.9
Nantes;47.21;-1.55;21/07/2026;0;SOLEIL;29.1;17.4
Tours;47.39;0.68;17/07/2026;6;AVERSES;29.1;18.4
Tours;47.39;0.68;18/07/2026;0;SOLEIL;29.9;16.6
Tours;47.39;0.68;19/07/2026;0;SOLEIL;27.9;16.9
Tours;47.39;0.68;20/07/2026;0;SOLEIL;27.4;15
Tours;47.39;0.68;21/07/2026;0;SOLEIL;28.6;15.6
Auxerre;47.79;3.57;17/07/2026;10;ORAGEUX;27.4;17.1
Auxerre;47.79;3.57;18/07/2026;0;SOLEIL;29.5;15.4
Auxerre;47.79;3.57;19/07/2026;0;SOLEIL;26.4;15.5
Auxerre;47.79;3.57;20/07/2026;0;SOLEIL;26;13.4
Auxerre;47.79;3.57;21/07/2026;0;SOLEIL;27.4;13.5
Chaumont;48.11;5.14;17/07/2026;10;ORAGEUX;24.2;15.6
Chaumont;48.11;5.14;18/07/2026;0;SOLEIL;26.1;12.1
Chaumont;48.11;5.14;19/07/2026;0;SOLEIL;24.1;12.1
Chaumont;48.11;5.14;20/07/2026;0;SOLEIL;24.6;9.4
Chaumont;48.11;5.14;21/07/2026;0;SOLEIL;25.6;10.6
Strasbourg;48.57;7.75;17/07/2026;10;ORAGEUX;26;18.5
Strasbourg;48.57;7.75;18/07/2026;0;SOLEIL;26.6;17.5
Strasbourg;48.57;7.75;19/07/2026;0;SOLEIL;24.7;16.1
Strasbourg;48.57;7.75;20/07/2026;0;SOLEIL;25.1;14.6
Strasbourg;48.57;7.75;21/07/2026;0;SOLEIL;26.1;14.7
Bourges;47.08;2.39;17/07/2026;10;ORAGEUX;28;18.1
Bourges;47.08;2.39;18/07/2026;0;SOLEIL;28.7;16.6
Bourges;47.08;2.39;19/07/2026;0;SOLEIL;27.2;18.4
Bourges;47.08;2.39;20/07/2026;0;SOLEIL;26.7;15.9
Bourges;47.08;2.39;21/07/2026;0;SOLEIL;27.6;16
Belfort;47.63;6.86;17/07/2026;10;ORAGEUX;25.4;15.4
Belfort;47.63;6.86;18/07/2026;6;AVERSES;25.6;15.6
Belfort;47.63;6.86;19/07/2026;6;AVERSES;24.6;12.6
Belfort;47.63;6.86;20/07/2026;0;SOLEIL;23.6;11.1
Belfort;47.63;6.86;21/07/2026;0;SOLEIL;23.7;11.7
Limoges;45.83;1.26;17/07/2026;0;SOLEIL;28.6;18
Limoges;45.83;1.26;18/07/2026;0;SOLEIL;30.6;16.2
Limoges;45.83;1.26;19/07/2026;0;SOLEIL;30.6;14.5
Limoges;45.83;1.26;20/07/2026;0;SOLEIL;30.1;12.1
Limoges;45.83;1.26;21/07/2026;0;SOLEIL;30.4;11.5
Vichy;46.12;3.42;17/07/2026;10;ORAGEUX;29.4;16.5
Vichy;46.12;3.42;18/07/2026;6;AVERSES;29.5;16.5
Vichy;46.12;3.42;19/07/2026;0;SOLEIL;29.5;17.5
Vichy;46.12;3.42;20/07/2026;0;SOLEIL;29.6;15.2
Vichy;46.12;3.42;21/07/2026;0;SOLEIL;29.2;14.9
Lyon;45.76;4.83;17/07/2026;10;ORAGEUX;30.7;20.1
Lyon;45.76;4.83;18/07/2026;0;SOLEIL;30.1;19.9
Lyon;45.76;4.83;19/07/2026;0;SOLEIL;29.6;20.4
Lyon;45.76;4.83;20/07/2026;0;SOLEIL;28.5;18
Lyon;45.76;4.83;21/07/2026;0;SOLEIL;27.6;17.6
Pontarlier;46.9;6.35;17/07/2026;6;AVERSES;23;13.1
Pontarlier;46.9;6.35;18/07/2026;6;AVERSES;23.2;10.5
Pontarlier;46.9;6.35;19/07/2026;6;AVERSES;21.7;9.1
Pontarlier;46.9;6.35;20/07/2026;0;SOLEIL;22.1;7.1
Pontarlier;46.9;6.35;21/07/2026;0;SOLEIL;23;8.5
La Rochelle;46.16;-1.15;17/07/2026;0;SOLEIL;25.7;19.9
La Rochelle;46.16;-1.15;18/07/2026;0;SOLEIL;29;18.6
La Rochelle;46.16;-1.15;19/07/2026;0;SOLEIL;31.9;20.1
La Rochelle;46.16;-1.15;20/07/2026;0;SOLEIL;29.1;18.6
La Rochelle;46.16;-1.15;21/07/2026;0;SOLEIL;30.6;18.6
Bordeaux;44.83;-0.57;17/07/2026;0;SOLEIL;29.6;20.9
Bordeaux;44.83;-0.57;18/07/2026;0;SOLEIL;31.9;19.5
Bordeaux;44.83;-0.57;19/07/2026;0;SOLEIL;33.2;19.1
Bordeaux;44.83;-0.57;20/07/2026;0;SOLEIL;32.5;18.9
Bordeaux;44.83;-0.57;21/07/2026;0;SOLEIL;32.6;18.6
Biarritz;43.48;-1.56;17/07/2026;0;SOLEIL;25.7;20.9
Biarritz;43.48;-1.56;18/07/2026;2;NUAGEUX;27;20.6
Biarritz;43.48;-1.56;19/07/2026;0;SOLEIL;28.7;22
Biarritz;43.48;-1.56;20/07/2026;0;SOLEIL;29.6;22.4
Biarritz;43.48;-1.56;21/07/2026;0;SOLEIL;29.4;22.6
Tarbes;43.23;0.07;17/07/2026;2;NUAGEUX;26;19.1
Tarbes;43.23;0.07;18/07/2026;2;NUAGEUX;29.1;18.4
Tarbes;43.23;0.07;19/07/2026;2;NUAGEUX;31;19.4
Tarbes;43.23;0.07;20/07/2026;0;SOLEIL;32.1;19.9
Tarbes;43.23;0.07;21/07/2026;0;SOLEIL;32.4;19
Toulouse;43.6;1.44;17/07/2026;2;NUAGEUX;29.7;20.7
Toulouse;43.6;1.44;18/07/2026;0;SOLEIL;32.1;19.7
Toulouse;43.6;1.44;19/07/2026;2;NUAGEUX;34.6;21.1
Toulouse;43.6;1.44;20/07/2026;0;SOLEIL;35.1;21.2
Toulouse;43.6;1.44;21/07/2026;0;SOLEIL;35.1;20.2
Aurillac;44.92;2.44;17/07/2026;6;AVERSES;28.2;16.9
Aurillac;44.92;2.44;18/07/2026;0;SOLEIL;28.2;15.6
Aurillac;44.92;2.44;19/07/2026;0;SOLEIL;30.9;16.6
Aurillac;44.92;2.44;20/07/2026;0;SOLEIL;31;16.1
Aurillac;44.92;2.44;21/07/2026;0;SOLEIL;30;15.7
Montélimar;44.55;4.75;17/07/2026;0;SOLEIL;34.4;19.2
Montélimar;44.55;4.75;18/07/2026;0;SOLEIL;31.9;20.6
Montélimar;44.55;4.75;19/07/2026;0;SOLEIL;32.6;20.4
Montélimar;44.55;4.75;20/07/2026;0;SOLEIL;31.5;19.1
Montélimar;44.55;4.75;21/07/2026;0;SOLEIL;31;19.1
Gap;44.55;6.07;17/07/2026;0;SOLEIL;33.9;18.6
Gap;44.55;6.07;18/07/2026;0;SOLEIL;30.9;16.6
Gap;44.55;6.07;19/07/2026;0;SOLEIL;31.5;15.6
Gap;44.55;6.07;20/07/2026;0;SOLEIL;31.4;15.1
Gap;44.55;6.07;21/07/2026;0;SOLEIL;30.6;15.6
Perpignan;42.69;2.89;17/07/2026;0;SOLEIL;35;23.4
Perpignan;42.69;2.89;18/07/2026;0;SOLEIL;34.7;25
Perpignan;42.69;2.89;19/07/2026;2;NUAGEUX;32.5;25
Perpignan;42.69;2.89;20/07/2026;0;SOLEIL;30.6;24
Perpignan;42.69;2.89;21/07/2026;0;SOLEIL;33;23.5
Montpellier;43.61;3.87;17/07/2026;0;SOLEIL;38.9;23.7
Montpellier;43.61;3.87;18/07/2026;0;SOLEIL;35.6;26.4
Montpellier;43.61;3.87;19/07/2026;0;SOLEIL;34.1;21.1
Montpellier;43.61;3.87;20/07/2026;0;SOLEIL;33.7;21.7
Montpellier;43.61;3.87;21/07/2026;0;SOLEIL;34.7;22.1
Marseille;43.296;5.381;17/07/2026;0;SOLEIL;30.1;25.4
Marseille;43.296;5.381;18/07/2026;0;SOLEIL;33.6;24.1
Marseille;43.296;5.381;19/07/2026;0;SOLEIL;31.6;24.2
Marseille;43.296;5.381;20/07/2026;0;SOLEIL;30;22.5
Marseille;43.296;5.381;21/07/2026;0;SOLEIL;30;21.5
Amiens;49.894;2.295;17/07/2026;6;AVERSES;26;16.4
Amiens;49.894;2.295;18/07/2026;0;SOLEIL;26.6;15.7
Amiens;49.894;2.295;19/07/2026;0;SOLEIL;24.1;14.1
Amiens;49.894;2.295;20/07/2026;2;NUAGEUX;24.1;12.6
Amiens;49.894;2.295;21/07/2026;2;NUAGEUX;25.2;13.5
Nice;43.71;7.26;17/07/2026;0;SOLEIL;31;25.2
Nice;43.71;7.26;18/07/2026;0;SOLEIL;35.2;24.1
Nice;43.71;7.26;19/07/2026;0;SOLEIL;30.6;25.9
Nice;43.71;7.26;20/07/2026;6;AVERSES;29.1;25.1
Nice;43.71;7.26;21/07/2026;6;AVERSES;28.6;25
Ajaccio;41.92;8.73;17/07/2026;0;SOLEIL;33.9;23.6
Ajaccio;41.92;8.73;18/07/2026;0;SOLEIL;32.5;21.4
Ajaccio;41.92;8.73;19/07/2026;0;SOLEIL;32.4;22
Ajaccio;41.92;8.73;20/07/2026;0;SOLEIL;32.1;21.7
Ajaccio;41.92;8.73;21/07/2026;0;SOLEIL;31.7;22.6
Bastia;42.69;9.45;17/07/2026;0;SOLEIL;34;25.6
Bastia;42.69;9.45;18/07/2026;0;SOLEIL;37;24.1
Bastia;42.69;9.45;19/07/2026;0;SOLEIL;32.2;27.5
Bastia;42.69;9.45;20/07/2026;0;SOLEIL;31.2;25.4
Bastia;42.69;9.45;21/07/2026;0;SOLEIL;30.1;25.1
Alençon;48.43;0.09;17/07/2026;0;SOLEIL;25.9;16.2
Alençon;48.43;0.09;18/07/2026;0;SOLEIL;28.2;13.4
Alençon;48.43;0.09;19/07/2026;0;SOLEIL;26.6;14.9
Alençon;48.43;0.09;20/07/2026;0;SOLEIL;26.5;13.5
Alençon;48.43;0.09;21/07/2026;0;SOLEIL;27.6;14.4
Bourg-St-Maurice;45.62;6.77;17/07/2026;6;AVERSES;28.6;15.2
Bourg-St-Maurice;45.62;6.77;18/07/2026;0;SOLEIL;27.2;15.1
Bourg-St-Maurice;45.62;6.77;19/07/2026;0;SOLEIL;27.1;13.4
Bourg-St-Maurice;45.62;6.77;20/07/2026;0;SOLEIL;27.9;12.6
Bourg-St-Maurice;45.62;6.77;21/07/2026;0;SOLEIL;25.9;12.9
Chalon/Saône;46.78;4.85;17/07/2026;10;ORAGEUX;30.4;17.1
Chalon/Saône;46.78;4.85;18/07/2026;6;AVERSES;28.2;16.5
Chalon/Saône;46.78;4.85;19/07/2026;0;SOLEIL;28.6;16.6
Chalon/Saône;46.78;4.85;20/07/2026;0;SOLEIL;28.2;15.5
Chalon/Saône;46.78;4.85;21/07/2026;0;SOLEIL;28.5;15.9
Agen;44.2;0.61;17/07/2026;0;SOLEIL;29.9;19.9
Agen;44.2;0.61;18/07/2026;0;SOLEIL;31.4;18.1
Agen;44.2;0.61;19/07/2026;0;SOLEIL;33.6;17.6
Agen;44.2;0.61;20/07/2026;0;SOLEIL;33;17.2
Agen;44.2;0.61;21/07/2026;0;SOLEIL;33.2;17.1
