Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Paris;48.85;2.35;07/08/2026;0;SOLEIL;27.9;15.1
Paris;48.85;2.35;08/08/2026;0;SOLEIL;30.5;17.1
Paris;48.85;2.35;09/08/2026;5;SOLEIL VOILÉ;32.6;20.1
Paris;48.85;2.35;10/08/2026;0;SOLEIL;30.4;21.5
Paris;48.85;2.35;11/08/2026;0;SOLEIL;30.6;19.6
Chelles;48.88;2.59;07/08/2026;0;SOLEIL;28.6;13
Chelles;48.88;2.59;08/08/2026;0;SOLEIL;31.9;13.2
Chelles;48.88;2.59;09/08/2026;5;SOLEIL VOILÉ;33.1;17
Chelles;48.88;2.59;10/08/2026;0;SOLEIL;31.6;18
Chelles;48.88;2.59;11/08/2026;0;SOLEIL;31.5;15.9
Coulommiers;48.81;3.08;07/08/2026;0;SOLEIL;27.9;11.1
Coulommiers;48.81;3.08;08/08/2026;0;SOLEIL;30.9;12.7
Coulommiers;48.81;3.08;09/08/2026;5;SOLEIL VOILÉ;32.5;16
Coulommiers;48.81;3.08;10/08/2026;0;SOLEIL;32;17.6
Coulommiers;48.81;3.08;11/08/2026;0;SOLEIL;31.6;16
Fontainebleau;48.41;2.7;07/08/2026;0;SOLEIL;29;10.2
Fontainebleau;48.41;2.7;08/08/2026;0;SOLEIL;33;9.6
Fontainebleau;48.41;2.7;09/08/2026;5;SOLEIL VOILÉ;33.5;12.9
Fontainebleau;48.41;2.7;10/08/2026;0;SOLEIL;32.6;16.6
Fontainebleau;48.41;2.7;11/08/2026;0;SOLEIL;32;15.6
La Ferté-Gaucher;48.78;3.3;07/08/2026;0;SOLEIL;27.5;9.9
La Ferté-Gaucher;48.78;3.3;08/08/2026;0;SOLEIL;30.6;11.2
La Ferté-Gaucher;48.78;3.3;09/08/2026;5;SOLEIL VOILÉ;32.5;15
La Ferté-Gaucher;48.78;3.3;10/08/2026;0;SOLEIL;31.6;17.2
La Ferté-Gaucher;48.78;3.3;11/08/2026;0;SOLEIL;30.6;15.1
Meaux;48.96;2.89;07/08/2026;0;SOLEIL;28.2;12
Meaux;48.96;2.89;08/08/2026;0;SOLEIL;32;12.6
Meaux;48.96;2.89;09/08/2026;5;SOLEIL VOILÉ;33.7;16.5
Meaux;48.96;2.89;10/08/2026;0;SOLEIL;32;17.6
