Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Angoulême;45.65;0.15;17/07/2026;0;SOLEIL;29.6;20.9
Angoulême;45.65;0.15;18/07/2026;0;SOLEIL;31.9;19.5
Angoulême;45.65;0.15;19/07/2026;0;SOLEIL;33.2;19.1
Angoulême;45.65;0.15;20/07/2026;0;SOLEIL;32.5;18.9
Angoulême;45.65;0.15;21/07/2026;0;SOLEIL;32.6;18.6
La Rochelle;46.16;-1.15;17/07/2026;0;SOLEIL;30.1;18.7
La Rochelle;46.16;-1.15;18/07/2026;0;SOLEIL;32.7;16.6
La Rochelle;46.16;-1.15;19/07/2026;0;SOLEIL;33.1;17.6
La Rochelle;46.16;-1.15;20/07/2026;0;SOLEIL;31.6;17.1
La Rochelle;46.16;-1.15;21/07/2026;0;SOLEIL;32.6;17.4
Pons;45.58;-0.55;17/07/2026;0;SOLEIL;25.7;19.9
Pons;45.58;-0.55;18/07/2026;0;SOLEIL;29;18.6
Pons;45.58;-0.55;19/07/2026;0;SOLEIL;31.9;20.1
Pons;45.58;-0.55;20/07/2026;0;SOLEIL;29.1;18.6
Pons;45.58;-0.55;21/07/2026;0;SOLEIL;30.6;18.6
Brive-la-Gaillarde;45.15;1.53;17/07/2026;0;SOLEIL;28.6;19.1
Brive-la-Gaillarde;45.15;1.53;18/07/2026;0;SOLEIL;31.4;17.6
Brive-la-Gaillarde;45.15;1.53;19/07/2026;0;SOLEIL;32.6;17.5
Brive-la-Gaillarde;45.15;1.53;20/07/2026;0;SOLEIL;30.7;16.9
Brive-la-Gaillarde;45.15;1.53;21/07/2026;0;SOLEIL;31.2;16.1
Tulle;45.26;1.77;17/07/2026;0;SOLEIL;31.1;18.9
Tulle;45.26;1.77;18/07/2026;0;SOLEIL;33;17.2
Tulle;45.26;1.77;19/07/2026;0;SOLEIL;34.7;17.5
Tulle;45.26;1.77;20/07/2026;0;SOLEIL;33.7;15.6
Tulle;45.26;1.77;21/07/2026;0;SOLEIL;34.6;15.4
Guéret;46.17;1.87;17/07/2026;0;SOLEIL;29.4;16.5
Guéret;46.17;1.87;18/07/2026;0;SOLEIL;30.1;12.7
Guéret;46.17;1.87;19/07/2026;0;SOLEIL;32.9;14.7
Guéret;46.17;1.87;20/07/2026;0;SOLEIL;32.4;13.2
Guéret;46.17;1.87;21/07/2026;0;SOLEIL;32;13.1
Périgueux;45.18;0.72;17/07/2026;0;SOLEIL;26.6;15.4
Périgueux;45.18;0.72;18/07/2026;0;SOLEIL;27.6;14.1
Périgueux;45.18;0.72;19/07/2026;0;SOLEIL;28.5;14.6
Périgueux;45.18;0.72;20/07/2026;0;SOLEIL;27.1;12.4
Périgueux;45.18;0.72;21/07/2026;0;SOLEIL;28.4;11.9
Bordeaux;44.83;-0.57;17/07/2026;0;SOLEIL;29.9;18
Bordeaux;44.83;-0.57;18/07/2026;0;SOLEIL;31.7;15.7
Bordeaux;44.83;-0.57;19/07/2026;0;SOLEIL;34;17.1
Bordeaux;44.83;-0.57;20/07/2026;0;SOLEIL;33.1;15.7
