Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bayeux;49.28;-0.7;17/07/2026;0;SOLEIL;25.6;15.9
Bayeux;49.28;-0.7;18/07/2026;0;SOLEIL;28.7;15.7
Bayeux;49.28;-0.7;19/07/2026;0;SOLEIL;24.7;14.6
Bayeux;49.28;-0.7;20/07/2026;0;SOLEIL;25.1;13.4
Bayeux;49.28;-0.7;21/07/2026;0;SOLEIL;26.6;14.1
Caen;49.18;-0.37;17/07/2026;0;SOLEIL;24.2;16.6
Caen;49.18;-0.37;18/07/2026;0;SOLEIL;23.6;15
Caen;49.18;-0.37;19/07/2026;0;SOLEIL;22.5;15.2
Caen;49.18;-0.37;20/07/2026;0;SOLEIL;22.5;14.1
Caen;49.18;-0.37;21/07/2026;0;SOLEIL;23.2;16
Clécy;48.91;-0.48;17/07/2026;0;SOLEIL;24.2;15.7
Clécy;48.91;-0.48;18/07/2026;0;SOLEIL;25.6;15.1
Clécy;48.91;-0.48;19/07/2026;0;SOLEIL;23.6;15.4
Clécy;48.91;-0.48;20/07/2026;0;SOLEIL;23.4;14.2
Clécy;48.91;-0.48;21/07/2026;0;SOLEIL;24.7;15
Lisieux;49.14;0.22;17/07/2026;0;SOLEIL;25.6;15.1
Lisieux;49.14;0.22;18/07/2026;0;SOLEIL;26.9;13.2
Lisieux;49.14;0.22;19/07/2026;0;SOLEIL;24.4;12.5
Lisieux;49.14;0.22;20/07/2026;0;SOLEIL;24.1;10.4
Lisieux;49.14;0.22;21/07/2026;0;SOLEIL;25.5;12
Vire;48.84;-0.89;17/07/2026;0;SOLEIL;26.4;15.2
Vire;48.84;-0.89;18/07/2026;0;SOLEIL;28.7;13.6
Vire;48.84;-0.89;19/07/2026;0;SOLEIL;26.1;12.2
Vire;48.84;-0.89;20/07/2026;0;SOLEIL;26.1;10.4
Vire;48.84;-0.89;21/07/2026;0;SOLEIL;27.7;11.6
Brionne;49.19;0.72;17/07/2026;0;SOLEIL;25.6;15.4
Brionne;49.19;0.72;18/07/2026;0;SOLEIL;26.2;14.2
Brionne;49.19;0.72;19/07/2026;0;SOLEIL;24.7;12.6
Brionne;49.19;0.72;20/07/2026;0;SOLEIL;24.2;11.1
Brionne;49.19;0.72;21/07/2026;0;SOLEIL;26.4;12.6
Étrépagny;49.3;1.61;17/07/2026;0;SOLEIL;26.7;15.2
Étrépagny;49.3;1.61;18/07/2026;0;SOLEIL;28.6;12.1
Étrépagny;49.3;1.61;19/07/2026;0;SOLEIL;24.7;11.6
Étrépagny;49.3;1.61;20/07/2026;0;SOLEIL;24.7;10.1
Étrépagny;49.3;1.61;21/07/2026;0;SOLEIL;26.4;11.1
Évreux;49.02;1.15;17/07/2026;0;SOLEIL;26.1;16.2
Évreux;49.02;1.15;18/07/2026;0;SOLEIL;27.9;13.6
Évreux;49.02;1.15;19/07/2026;0;SOLEIL;25.6;12.2
Évreux;49.02;1.15;20/07/2026;0;SOLEIL;25.6;10.7
Évreux;49.02;1.15;21/07/2026;0;SOLEIL;26.6;12.5
Giverny;49.07;1.53;17/07/2026;0;SOLEIL;25.7;16.6
Giverny;49.07;1.53;18/07/2026;0;SOLEIL;28.5;15.2
Giverny;49.07;1.53;19/07/2026;0;SOLEIL;25.2;13.6
Giverny;49.07;1.53;20/07/2026;0;SOLEIL;25.5;12
Giverny;49.07;1.53;21/07/2026;0;SOLEIL;26.6;13.4
Vesly;49.24;1.65;17/07/2026;0;SOLEIL;26.4;16.5
Vesly;49.24;1.65;18/07/2026;0;SOLEIL;29.5;15.4
Vesly;49.24;1.65;19/07/2026;0;SOLEIL;26.1;14.1
Vesly;49.24;1.65;20/07/2026;0;SOLEIL;26.1;12.4
Vesly;49.24;1.65;21/07/2026;0;SOLEIL;27.2;13.6
Verneuil-sur-Avre;48.74;0.93;17/07/2026;0;SOLEIL;25.7;16.4
Verneuil-sur-Avre;48.74;0.93;18/07/2026;0;SOLEIL;27.7;13.6
Verneuil-sur-Avre;48.74;0.93;19/07/2026;0;SOLEIL;25.6;12.6
Verneuil-sur-Avre;48.74;0.93;20/07/2026;0;SOLEIL;25.2;11.2
Verneuil-sur-Avre;48.74;0.93;21/07/2026;0;SOLEIL;26;12.9
Avranches;48.68;-1.36;17/07/2026;6;AVERSES;26;16
Avranches;48.68;-1.36;18/07/2026;0;SOLEIL;29.5;12.6
Avranches;48.68;-1.36;19/07/2026;0;SOLEIL;25.7;10.6
Avranches;48.68;-1.36;20/07/2026;0;SOLEIL;25.6;10
Avranches;48.68;-1.36;21/07/2026;0;SOLEIL;27;11.1
Cherbourg-Octeville;49.63;-1.62;17/07/2026;0;SOLEIL;23.7;17.4
Cherbourg-Octeville;49.63;-1.62;18/07/2026;0;SOLEIL;25;15.2
Cherbourg-Octeville;49.63;-1.62;19/07/2026;0;SOLEIL;26.1;15
Cherbourg-Octeville;49.63;-1.62;20/07/2026;0;SOLEIL;25;14.6
Cherbourg-Octeville;49.63;-1.62;21/07/2026;0;SOLEIL;26.6;14.5
Coutances;49.05;-1.44;17/07/2026;0;SOLEIL;27.4;16.2
Coutances;49.05;-1.44;18/07/2026;0;SOLEIL;25.1;13.5
Coutances;49.05;-1.44;19/07/2026;0;SOLEIL;21.7;15.7
Coutances;49.05;-1.44;20/07/2026;0;SOLEIL;22.1;14.5
Coutances;49.05;-1.44;21/07/2026;0;SOLEIL;23;15.5
Saint-Lô;49.11;-1.09;17/07/2026;0;SOLEIL;24.7;15
Saint-Lô;49.11;-1.09;18/07/2026;0;SOLEIL;25.1;14.6
Saint-Lô;49.11;-1.09;19/07/2026;0;SOLEIL;26;15.9
Saint-Lô;49.11;-1.09;20/07/2026;0;SOLEIL;25.2;14.6
Saint-Lô;49.11;-1.09;21/07/2026;0;SOLEIL;26.6;15.7
Alençon;48.43;0.09;17/07/2026;0;SOLEIL;25.7;14.5
Alençon;48.43;0.09;18/07/2026;0;SOLEIL;26;13.1
Alençon;48.43;0.09;19/07/2026;0;SOLEIL;25.2;13.1
Alençon;48.43;0.09;20/07/2026;0;SOLEIL;24.7;11.7
Alençon;48.43;0.09;21/07/2026;0;SOLEIL;26.2;13.2
Argentan;48.74;-0.02;17/07/2026;0;SOLEIL;25.9;16.2
Argentan;48.74;-0.02;18/07/2026;0;SOLEIL;28.2;13.4
Argentan;48.74;-0.02;19/07/2026;0;SOLEIL;26.6;14.9
Argentan;48.74;-0.02;20/07/2026;0;SOLEIL;26.5;13.5
Argentan;48.74;-0.02;21/07/2026;0;SOLEIL;27.6;14.4
Domfront;48.59;-0.65;17/07/2026;0;SOLEIL;26.1;15.1
Domfront;48.59;-0.65;18/07/2026;0;SOLEIL;27;12.9
Domfront;48.59;-0.65;19/07/2026;0;SOLEIL;25.1;13.1
Domfront;48.59;-0.65;20/07/2026;0;SOLEIL;25.1;11.5
Domfront;48.59;-0.65;21/07/2026;0;SOLEIL;26.5;13.1
Mortagne-au-Perche;48.52;0.54;17/07/2026;0;SOLEIL;26.2;16.4
Mortagne-au-Perche;48.52;0.54;18/07/2026;0;SOLEIL;27.5;13.9
Mortagne-au-Perche;48.52;0.54;19/07/2026;0;SOLEIL;26.4;14.1
Mortagne-au-Perche;48.52;0.54;20/07/2026;0;SOLEIL;25.5;12.9
Mortagne-au-Perche;48.52;0.54;21/07/2026;0;SOLEIL;27.4;14.1
Villers-en-Ouche;48.86;0.57;17/07/2026;6;AVERSES;25.1;15.1
Villers-en-Ouche;48.86;0.57;18/07/2026;0;SOLEIL;28.1;15.1
Villers-en-Ouche;48.86;0.57;19/07/2026;0;SOLEIL;25.5;15.2
Villers-en-Ouche;48.86;0.57;20/07/2026;0;SOLEIL;25.1;13.5
Villers-en-Ouche;48.86;0.57;21/07/2026;0;SOLEIL;26.6;14.6
Dieppe;49.92;1.07;17/07/2026;6;AVERSES;25.1;14.5
Dieppe;49.92;1.07;18/07/2026;0;SOLEIL;27.2;12.2
Dieppe;49.92;1.07;19/07/2026;0;SOLEIL;24.2;11.9
Dieppe;49.92;1.07;20/07/2026;0;SOLEIL;24.1;10.5
Dieppe;49.92;1.07;21/07/2026;0;SOLEIL;25.6;11.5
Fécamp;49.75;0.37;17/07/2026;0;SOLEIL;21.6;16.6
Fécamp;49.75;0.37;18/07/2026;0;SOLEIL;20.6;15.6
Fécamp;49.75;0.37;19/07/2026;0;SOLEIL;20.9;14.6
Fécamp;49.75;0.37;20/07/2026;0;SOLEIL;20.9;13.4
Fécamp;49.75;0.37;21/07/2026;0;SOLEIL;21.1;13.7
Le Havre;49.49;0.1;17/07/2026;0;SOLEIL;20.9;16.7
Le Havre;49.49;0.1;18/07/2026;0;SOLEIL;20.6;16.5
Le Havre;49.49;0.1;19/07/2026;0;SOLEIL;21.1;14
Le Havre;49.49;0.1;20/07/2026;0;SOLEIL;21.5;13.5
Le Havre;49.49;0.1;21/07/2026;0;SOLEIL;22;14.6
Neufchâtel-en-Bray;49.73;1.44;17/07/2026;0;SOLEIL;23.4;17.6
Neufchâtel-en-Bray;49.73;1.44;18/07/2026;0;SOLEIL;24.1;18.1
Neufchâtel-en-Bray;49.73;1.44;19/07/2026;0;SOLEIL;23.6;15.9
Neufchâtel-en-Bray;49.73;1.44;20/07/2026;0;SOLEIL;23.9;14.4
Neufchâtel-en-Bray;49.73;1.44;21/07/2026;0;SOLEIL;25.2;15.1
Rouen;49.44;1.09;17/07/2026;0;SOLEIL;24.6;15.5
Rouen;49.44;1.09;18/07/2026;0;SOLEIL;25.2;12.6
Rouen;49.44;1.09;19/07/2026;0;SOLEIL;24.1;11.7
Rouen;49.44;1.09;20/07/2026;0;SOLEIL;24.1;10.4
Rouen;49.44;1.09;21/07/2026;0;SOLEIL;25.1;11.9
Le Tréport;50.06;1.37;17/07/2026;0;SOLEIL;22.6;16.1
Le Tréport;50.06;1.37;18/07/2026;0;SOLEIL;21.5;16
Le Tréport;50.06;1.37;19/07/2026;0;SOLEIL;22.7;15.2
Le Tréport;50.06;1.37;20/07/2026;0;SOLEIL;22.9;14.2
Le Tréport;50.06;1.37;21/07/2026;6;AVERSES;23.7;15.1
