Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Barcelonnette;44.38;6.65;17/07/2026;0;SOLEIL;30.1;25.4
Barcelonnette;44.38;6.65;18/07/2026;0;SOLEIL;33.6;24.1
Barcelonnette;44.38;6.65;19/07/2026;0;SOLEIL;31.6;24.2
Barcelonnette;44.38;6.65;20/07/2026;0;SOLEIL;30;22.5
Barcelonnette;44.38;6.65;21/07/2026;0;SOLEIL;30;21.5
Digne-les-Bains;44.09;6.23;17/07/2026;0;SOLEIL;29.2;11.7
Digne-les-Bains;44.09;6.23;18/07/2026;0;SOLEIL;27.2;10
Digne-les-Bains;44.09;6.23;19/07/2026;0;SOLEIL;27.9;7.4
Digne-les-Bains;44.09;6.23;20/07/2026;0;SOLEIL;27.6;7.6
Digne-les-Bains;44.09;6.23;21/07/2026;0;SOLEIL;27.5;9.1
Forcalquier;43.96;5.78;17/07/2026;0;SOLEIL;34.1;17.2
Forcalquier;43.96;5.78;18/07/2026;0;SOLEIL;31.9;14.7
Forcalquier;43.96;5.78;19/07/2026;0;SOLEIL;32;13.6
Forcalquier;43.96;5.78;20/07/2026;0;SOLEIL;32.6;13.4
Forcalquier;43.96;5.78;21/07/2026;0;SOLEIL;31.9;14
Briançon;44.89;6.64;17/07/2026;0;SOLEIL;33.7;17.2
Briançon;44.89;6.64;18/07/2026;0;SOLEIL;32.1;15.1
Briançon;44.89;6.64;19/07/2026;0;SOLEIL;32.1;16.6
Briançon;44.89;6.64;20/07/2026;0;SOLEIL;31.7;15.6
Briançon;44.89;6.64;21/07/2026;0;SOLEIL;31.6;15.4
Étoile-Saint-Cyrice;44.31;5.63;17/07/2026;0;SOLEIL;28.6;13.5
Étoile-Saint-Cyrice;44.31;5.63;18/07/2026;0;SOLEIL;28.1;12.1
Étoile-Saint-Cyrice;44.31;5.63;19/07/2026;0;SOLEIL;27.6;10
Étoile-Saint-Cyrice;44.31;5.63;20/07/2026;0;SOLEIL;27.6;9.5
Étoile-Saint-Cyrice;44.31;5.63;21/07/2026;0;SOLEIL;26.1;10
Gap;44.56;6.07;17/07/2026;0;SOLEIL;30.9;14.6
Gap;44.56;6.07;18/07/2026;0;SOLEIL;28.6;13.6
Gap;44.56;6.07;19/07/2026;0;SOLEIL;28.6;11.6
Gap;44.56;6.07;20/07/2026;0;SOLEIL;28.7;10.2
Gap;44.56;6.07;21/07/2026;0;SOLEIL;28.1;10.9
Vallouise;44.84;6.48;17/07/2026;0;SOLEIL;33.9;18.6
Vallouise;44.84;6.48;18/07/2026;0;SOLEIL;30.9;16.6
Vallouise;44.84;6.48;19/07/2026;0;SOLEIL;31.5;15.6
Vallouise;44.84;6.48;20/07/2026;0;SOLEIL;31.4;15.1
Vallouise;44.84;6.48;21/07/2026;0;SOLEIL;30.6;15.6
Cannes;43.55;7.01;17/07/2026;0;SOLEIL;29.1;13.6
Cannes;43.55;7.01;18/07/2026;0;SOLEIL;28.2;11.6
Cannes;43.55;7.01;19/07/2026;0;SOLEIL;30.6;9.7
Cannes;43.55;7.01;20/07/2026;0;SOLEIL;29.2;9.9
Cannes;43.55;7.01;21/07/2026;0;SOLEIL;29.1;10.4
Nice;43.71;7.26;17/07/2026;0;SOLEIL;31;22.5
Nice;43.71;7.26;18/07/2026;0;SOLEIL;37.1;22.1
Nice;43.71;7.26;19/07/2026;0;SOLEIL;32.6;21.7
Nice;43.71;7.26;20/07/2026;0;SOLEIL;30.1;20.4
Nice;43.71;7.26;21/07/2026;6;AVERSES;29.2;21.6
Puget-Théniers;43.95;6.89;17/07/2026;0;SOLEIL;31;25.2
Puget-Théniers;43.95;6.89;18/07/2026;0;SOLEIL;35.2;24.1
Puget-Théniers;43.95;6.89;19/07/2026;0;SOLEIL;30.6;25.9
Puget-Théniers;43.95;6.89;20/07/2026;6;AVERSES;29.1;25.1
Puget-Théniers;43.95;6.89;21/07/2026;6;AVERSES;28.6;25
Tende;44.08;7.59;17/07/2026;0;SOLEIL;36.8;20.1
Tende;44.08;7.59;18/07/2026;0;SOLEIL;36.6;19.7
Tende;44.08;7.59;19/07/2026;0;SOLEIL;36.5;17.9
Tende;44.08;7.59;20/07/2026;0;SOLEIL;35.4;18.1
Tende;44.08;7.59;21/07/2026;0;SOLEIL;33.8;17.7
Aix-en-Provence;43.52;5.44;17/07/2026;0;SOLEIL;30.7;16.5
Aix-en-Provence;43.52;5.44;18/07/2026;0;SOLEIL;31.1;16.1
Aix-en-Provence;43.52;5.44;19/07/2026;6;AVERSES;28;14.1
Aix-en-Provence;43.52;5.44;20/07/2026;6;AVERSES;27.1;14.1
Aix-en-Provence;43.52;5.44;21/07/2026;6;AVERSES;25.6;13.5
Istres;43.51;4.99;17/07/2026;0;SOLEIL;35.4;22.6
Istres;43.51;4.99;18/07/2026;0;SOLEIL;35;21.1
Istres;43.51;4.99;19/07/2026;0;SOLEIL;34.9;20.6
Istres;43.51;4.99;20/07/2026;0;SOLEIL;34.1;20
Istres;43.51;4.99;21/07/2026;0;SOLEIL;33.6;20
Marseille;43.296;5.381;17/07/2026;0;SOLEIL;35.4;21.5
Marseille;43.296;5.381;18/07/2026;0;SOLEIL;36.1;22.2
Marseille;43.296;5.381;19/07/2026;0;SOLEIL;34.1;22.5
Marseille;43.296;5.381;20/07/2026;0;SOLEIL;33.1;20.6
Marseille;43.296;5.381;21/07/2026;0;SOLEIL;31.7;20.7
Saintes-Maries-de-la-Mer;43.45;4.42;17/07/2026;0;SOLEIL;31.1;22.9
Saintes-Maries-de-la-Mer;43.45;4.42;18/07/2026;0;SOLEIL;30.9;23.9
Saintes-Maries-de-la-Mer;43.45;4.42;19/07/2026;0;SOLEIL;29.7;23.6
Saintes-Maries-de-la-Mer;43.45;4.42;20/07/2026;0;SOLEIL;29.2;23.1
Saintes-Maries-de-la-Mer;43.45;4.42;21/07/2026;0;SOLEIL;29.5;22.7
Castellet;43.2;5.77;17/07/2026;0;SOLEIL;31.9;19.2
Castellet;43.2;5.77;18/07/2026;0;SOLEIL;35.1;20.6
Castellet;43.2;5.77;19/07/2026;0;SOLEIL;34.7;19.1
Castellet;43.2;5.77;20/07/2026;0;SOLEIL;34.1;18.1
Castellet;43.2;5.77;21/07/2026;0;SOLEIL;33.1;18.5
Draguignan;43.53;6.46;17/07/2026;0;SOLEIL;36.4;21.4
Draguignan;43.53;6.46;18/07/2026;0;SOLEIL;37.6;23.1
Draguignan;43.53;6.46;19/07/2026;0;SOLEIL;35.6;22.1
Draguignan;43.53;6.46;20/07/2026;0;SOLEIL;34.5;20.5
Draguignan;43.53;6.46;21/07/2026;0;SOLEIL;32.9;20.6
Gonfaron;43.31;6.29;17/07/2026;0;SOLEIL;36.6;19.5
Gonfaron;43.31;6.29;18/07/2026;0;SOLEIL;37.9;20.1
Gonfaron;43.31;6.29;19/07/2026;0;SOLEIL;36.6;20.7
Gonfaron;43.31;6.29;20/07/2026;0;SOLEIL;36.1;20.2
Gonfaron;43.31;6.29;21/07/2026;0;SOLEIL;33.2;19.5
Saint-Maximin;43.45;5.86;17/07/2026;0;SOLEIL;36.1;19.4
Saint-Maximin;43.45;5.86;18/07/2026;0;SOLEIL;34.7;21.9
Saint-Maximin;43.45;5.86;19/07/2026;0;SOLEIL;34;19.2
Saint-Maximin;43.45;5.86;20/07/2026;0;SOLEIL;33.5;17.7
Saint-Maximin;43.45;5.86;21/07/2026;0;SOLEIL;33.5;18.5
Saint-Tropez;43.27;6.64;17/07/2026;0;SOLEIL;33.6;24.2
Saint-Tropez;43.27;6.64;18/07/2026;0;SOLEIL;38;24.6
Saint-Tropez;43.27;6.64;19/07/2026;0;SOLEIL;34.4;25.2
Saint-Tropez;43.27;6.64;20/07/2026;0;SOLEIL;33.7;23.6
Saint-Tropez;43.27;6.64;21/07/2026;0;SOLEIL;32.4;23.5
Toulon;43.12;5.93;17/07/2026;0;SOLEIL;30.9;25.1
Toulon;43.12;5.93;18/07/2026;0;SOLEIL;34.2;25
Toulon;43.12;5.93;19/07/2026;0;SOLEIL;35.1;23.6
Toulon;43.12;5.93;20/07/2026;0;SOLEIL;35.2;22.2
Toulon;43.12;5.93;21/07/2026;0;SOLEIL;33.1;24.4
Avignon;43.94;4.8;17/07/2026;0;SOLEIL;35.7;20.9
