Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
BREST;48.39;-4.48;15/08/2026;00:00;28.1;2;NUAGEUX;3;20.9;0
BREST;48.39;-4.48;15/08/2026;01:00;26.6;2;NUAGEUX;3;20.2;0
BREST;48.39;-4.48;15/08/2026;02:00;25.2;2;NUAGEUX;3;24.5;0
BREST;48.39;-4.48;15/08/2026;03:00;24.6;2;NUAGEUX;3;20.2;0
BREST;48.39;-4.48;15/08/2026;04:00;24.1;2;NUAGEUX;3;20.2;0
BREST;48.39;-4.48;15/08/2026;05:00;23.6;2;NUAGEUX;3;35.3;0
BREST;48.39;-4.48;15/08/2026;06:00;23.6;2;NUAGEUX;3;22.7;0
BREST;48.39;-4.48;15/08/2026;07:00;25.4;5;SOLEIL VOILÉ;2;22.0;0
BREST;48.39;-4.48;15/08/2026;08:00;27.1;5;SOLEIL VOILÉ;3;25.6;0
BREST;48.39;-4.48;15/08/2026;09:00;28.6;5;SOLEIL VOILÉ;3;28.4;0
BREST;48.39;-4.48;15/08/2026;10:00;29.7;5;SOLEIL VOILÉ;3;19.1;0
BREST;48.39;-4.48;15/08/2026;11:00;31.6;5;SOLEIL VOILÉ;3;16.6;0
BREST;48.39;-4.48;15/08/2026;12:00;32.1;5;SOLEIL VOILÉ;3;15.8;0
BREST;48.39;-4.48;15/08/2026;13:00;33.1;5;SOLEIL VOILÉ;3;20.5;0
BREST;48.39;-4.48;15/08/2026;14:00;33.2;5;SOLEIL VOILÉ;3;22.7;0
BREST;48.39;-4.48;15/08/2026;15:00;33.6;5;SOLEIL VOILÉ;3;25.9;0
BREST;48.39;-4.48;15/08/2026;16:00;34.1;5;SOLEIL VOILÉ;3;25.9;0
BREST;48.39;-4.48;15/08/2026;17:00;32.9;5;SOLEIL VOILÉ;4;26.6;0
BREST;48.39;-4.48;15/08/2026;18:00;31.9;5;SOLEIL VOILÉ;4;22.3;0
BREST;48.39;-4.48;15/08/2026;19:00;30;5;SOLEIL VOILÉ;5;36.0;0
BREST;48.39;-4.48;15/08/2026;20:00;28.9;5;SOLEIL VOILÉ;4;33.1;0
BREST;48.39;-4.48;15/08/2026;21:00;25.5;5;SOLEIL VOILÉ;4;31.3;0
BREST;48.39;-4.48;15/08/2026;22:00;24.2;5;SOLEIL VOILÉ;3;28.8;0
BREST;48.39;-4.48;15/08/2026;23:00;25.1;5;SOLEIL VOILÉ;3;29.2;0
BREST;48.39;-4.48;16/08/2026;00:00;24.9;5;SOLEIL VOILÉ;3;25.6;0
BREST;48.39;-4.48;16/08/2026;01:00;24.9;5;SOLEIL VOILÉ;3;24.8;0
BREST;48.39;-4.48;16/08/2026;02:00;21.7;0;SOLEIL;3;24.1;0
BREST;48.39;-4.48;16/08/2026;03:00;21.7;0;SOLEIL;3;22.7;0
BREST;48.39;-4.48;16/08/2026;04:00;21.7;0;SOLEIL;3;24.1;0
BREST;48.39;-4.48;16/08/2026;05:00;20.6;0;SOLEIL;3;24.1;0
BREST;48.39;-4.48;16/08/2026;06:00;20.6;0;SOLEIL;3;23.8;0
BREST;48.39;-4.48;16/08/2026;07:00;20.6;0;SOLEIL;3;26.3;0
BREST;48.39;-4.48;16/08/2026;08:00;25.1;0;SOLEIL;2;24.5;0
BREST;48.39;-4.48;16/08/2026;09:00;25.1;0;SOLEIL;2;23.0;0
BREST;48.39;-4.48;16/08/2026;10:00;25.1;0;SOLEIL;2;23.8;0
BREST;48.39;-4.48;16/08/2026;11:00;27.6;0;SOLEIL;2;22.0;0
BREST;48.39;-4.48;16/08/2026;12:00;27.6;0;SOLEIL;2;20.9;0
BREST;48.39;-4.48;16/08/2026;13:00;27.6;0;SOLEIL;2;15.1;0
BREST;48.39;-4.48;16/08/2026;14:00;29.6;10;ORAGEUX;3;17.6;0
BREST;48.39;-4.48;16/08/2026;15:00;29.6;10;ORAGEUX;3;20.5;0
BREST;48.39;-4.48;16/08/2026;16:00;29.6;10;ORAGEUX;3;26.1;0
BREST;48.39;-4.48;16/08/2026;17:00;27.9;5;SOLEIL VOILÉ;3;30.9;0
BREST;48.39;-4.48;16/08/2026;18:00;27.9;5;SOLEIL VOILÉ;3;35.6;0
BREST;48.39;-4.48;16/08/2026;19:00;27.9;5;SOLEIL VOILÉ;3;36.0;0
BREST;48.39;-4.48;16/08/2026;20:00;25.6;0;SOLEIL;3;36.0;0
BREST;48.39;-4.48;16/08/2026;21:00;25.6;0;SOLEIL;3;33.1;0
BREST;48.39;-4.48;16/08/2026;22:00;25.6;0;SOLEIL;3;27.7;0
BREST;48.39;-4.48;16/08/2026;23:00;23.1;0;SOLEIL;3;23.8;0
RENNES;48.11;-1.67;15/08/2026;00:00;18.6;5;SOLEIL VOILÉ;4;31.7;0
RENNES;48.11;-1.67;15/08/2026;01:00;18.1;0;SOLEIL;4;30.6;0
RENNES;48.11;-1.67;15/08/2026;02:00;17.6;2;NUAGEUX;4;28.1;0
RENNES;48.11;-1.67;15/08/2026;03:00;17.6;0;SOLEIL;4;28.8;0
RENNES;48.11;-1.67;15/08/2026;04:00;17.6;0;SOLEIL;4;34.6;0
RENNES;48.11;-1.67;15/08/2026;05:00;17.4;0;SOLEIL;4;34.9;0
