Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bourg-en-Bresse;46.2;5.22;08/08/2026;00:00;24.4;0;SOLEIL;3;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;01:00;24.4;0;SOLEIL;3;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;02:00;22.4;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;03:00;22.4;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;04:00;22.4;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;05:00;21.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;06:00;21.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;07:00;21.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;08:00;26.5;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;09:00;26.5;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;10:00;26.5;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;11:00;31.6;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;12:00;31.6;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;13:00;31.6;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;14:00;34.2;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;15:00;34.2;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;16:00;34.2;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;17:00;33;5;SOLEIL VOILÉ;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;18:00;33;5;SOLEIL VOILÉ;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;19:00;33;5;SOLEIL VOILÉ;2;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;20:00;27.2;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;21:00;27.2;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;22:00;27.2;0;SOLEIL;1;0;0
Bourg-en-Bresse;46.2;5.22;08/08/2026;23:00;24.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;00:00;24.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;01:00;24.7;0;SOLEIL;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;02:00;23.2;0;SOLEIL;0;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;03:00;23.2;0;SOLEIL;0;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;04:00;23.2;0;SOLEIL;0;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;05:00;23.5;10;ORAGEUX;1;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;06:00;23.5;10;ORAGEUX;1;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;07:00;23.5;10;ORAGEUX;1;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;08:00;27.6;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;09:00;27.6;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;10:00;27.6;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;11:00;33.2;10;ORAGEUX;3;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;12:00;33.2;10;ORAGEUX;3;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;13:00;33.2;10;ORAGEUX;3;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;14:00;33.2;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;15:00;33.2;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;16:00;33.2;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;17:00;30;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;18:00;30;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;19:00;30;10;ORAGEUX;2;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;20:00;27.3;0;SOLEIL;5;0;0
Bourg-en-Bresse;46.2;5.22;09/08/2026;21:00;25.8;0;SOLEIL;5;0;0
