Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Lannion;48.73;-3.46;08/08/2026;00:00;16.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;01:00;16.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;02:00;14.6;5;SOLEIL VOILÉ;2;0;0
Lannion;48.73;-3.46;08/08/2026;03:00;14.6;5;SOLEIL VOILÉ;2;0;0
Lannion;48.73;-3.46;08/08/2026;04:00;14.6;5;SOLEIL VOILÉ;2;0;0
Lannion;48.73;-3.46;08/08/2026;05:00;15.2;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;06:00;15.2;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;07:00;15.2;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;08:00;23.6;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;09:00;23.6;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;10:00;23.6;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;11:00;28.9;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;12:00;28.9;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;13:00;28.9;5;SOLEIL VOILÉ;3;0;0
Lannion;48.73;-3.46;08/08/2026;14:00;31.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;15:00;31.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;16:00;31.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;17:00;29.6;0;SOLEIL;1;0;0
Lannion;48.73;-3.46;08/08/2026;18:00;29.6;0;SOLEIL;1;0;0
Lannion;48.73;-3.46;08/08/2026;19:00;29.6;0;SOLEIL;1;0;0
Lannion;48.73;-3.46;08/08/2026;20:00;25.5;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;21:00;25.5;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;22:00;25.5;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;08/08/2026;23:00;21.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;00:00;21.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;01:00;21.1;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;02:00;18.6;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;03:00;18.6;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;04:00;18.6;0;SOLEIL;2;0;0
Lannion;48.73;-3.46;09/08/2026;05:00;18.2;0;SOLEIL;1;0;0
Lannion;48.73;-3.46;09/08/2026;06:00;18.2;0;SOLEIL;1;0;0
