Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Ajaccio;41.92;8.73;08/08/2026;00:00;25.4;0;SOLEIL;1;3.6;0
Ajaccio;41.92;8.73;08/08/2026;01:00;24.9;0;SOLEIL;1;5.0;0
Ajaccio;41.92;8.73;08/08/2026;02:00;24.7;0;SOLEIL;1;7.9;0
Ajaccio;41.92;8.73;08/08/2026;03:00;24.6;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;08/08/2026;04:00;24.6;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;08/08/2026;05:00;24.2;0;SOLEIL;2;9.4;0
Ajaccio;41.92;8.73;08/08/2026;06:00;25.1;0;SOLEIL;1;11.5;0
Ajaccio;41.92;8.73;08/08/2026;07:00;29.4;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;08/08/2026;08:00;29.9;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;08/08/2026;09:00;30.6;0;SOLEIL;3;11.5;0
Ajaccio;41.92;8.73;08/08/2026;10:00;32.2;0;SOLEIL;4;11.2;0
Ajaccio;41.92;8.73;08/08/2026;11:00;32.1;0;SOLEIL;4;14.8;0
Ajaccio;41.92;8.73;08/08/2026;12:00;32.6;0;SOLEIL;5;20.9;0
Ajaccio;41.92;8.73;08/08/2026;13:00;32.6;0;SOLEIL;4;25.6;0
Ajaccio;41.92;8.73;08/08/2026;14:00;32.6;0;SOLEIL;3;27.7;0
Ajaccio;41.92;8.73;08/08/2026;15:00;32.1;0;SOLEIL;3;31.0;0
Ajaccio;41.92;8.73;08/08/2026;16:00;31.4;0;SOLEIL;3;31.0;0
Ajaccio;41.92;8.73;08/08/2026;17:00;30.4;0;SOLEIL;3;29.2;0
Ajaccio;41.92;8.73;08/08/2026;18:00;29.1;0;SOLEIL;2;24.8;0
Ajaccio;41.92;8.73;08/08/2026;19:00;27.6;0;SOLEIL;1;22.0;0
