Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Amiens;49.894;2.295;08/08/2026;00:00;17.9;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;01:00;17.9;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;02:00;16.5;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;03:00;16.5;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;04:00;16.5;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;05:00;17.1;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;06:00;17.1;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;07:00;17.1;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;08:00;22.9;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;09:00;22.9;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;10:00;22.9;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;11:00;26.2;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;12:00;26.2;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;13:00;26.2;0;SOLEIL;3;0;0
Amiens;49.894;2.295;08/08/2026;14:00;27.6;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;15:00;27.6;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;16:00;27.6;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;17:00;27;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;18:00;27;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;19:00;27;5;SOLEIL VOILÉ;2;0;0
Amiens;49.894;2.295;08/08/2026;20:00;22.2;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;21:00;22.2;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;22:00;22.2;0;SOLEIL;2;0;0
Amiens;49.894;2.295;08/08/2026;23:00;19.2;0;SOLEIL;2;0;0
