Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Paris;48.85;2.35;08/08/2026;00:00;20;0;SOLEIL;3;0;0
Paris;48.85;2.35;08/08/2026;01:00;20;0;SOLEIL;3;0;0
Paris;48.85;2.35;08/08/2026;02:00;18.5;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;03:00;18.5;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;04:00;18.5;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;05:00;17.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;06:00;17.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;07:00;17.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;08:00;23.7;5;SOLEIL VOILÉ;2;0;0
Paris;48.85;2.35;08/08/2026;09:00;23.7;5;SOLEIL VOILÉ;2;0;0
Paris;48.85;2.35;08/08/2026;10:00;23.7;5;SOLEIL VOILÉ;2;0;0
Paris;48.85;2.35;08/08/2026;11:00;27.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;12:00;27.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;13:00;27.6;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;14:00;29.6;5;SOLEIL VOILÉ;1;0;0
Paris;48.85;2.35;08/08/2026;15:00;29.6;5;SOLEIL VOILÉ;1;0;0
Paris;48.85;2.35;08/08/2026;16:00;29.6;5;SOLEIL VOILÉ;1;0;0
Paris;48.85;2.35;08/08/2026;17:00;29.4;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;18:00;29.4;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;19:00;29.4;0;SOLEIL;2;0;0
Paris;48.85;2.35;08/08/2026;20:00;25.2;0;SOLEIL;3;0;0
Paris;48.85;2.35;08/08/2026;21:00;25.2;0;SOLEIL;3;0;0
Paris;48.85;2.35;08/08/2026;22:00;25.2;0;SOLEIL;3;0;0
Paris;48.85;2.35;08/08/2026;23:00;23.2;0;SOLEIL;2;0;0
Paris;48.85;2.35;09/08/2026;00:00;23.2;0;SOLEIL;2;0;0
Paris;48.85;2.35;09/08/2026;01:00;23.2;0;SOLEIL;2;0;0
Paris;48.85;2.35;09/08/2026;02:00;21.6;5;SOLEIL VOILÉ;1;0;0
Paris;48.85;2.35;09/08/2026;03:00;21.6;5;SOLEIL VOILÉ;1;0;0
Paris;48.85;2.35;09/08/2026;04:00;21.6;5;SOLEIL VOILÉ;1;0;0
