Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Angoulême;45.65;0.15;08/08/2026;00:00;23.2;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;01:00;23.2;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;02:00;20.5;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;03:00;20.5;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;04:00;20.5;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;05:00;21.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;06:00;21.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;07:00;21.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;08:00;28.6;0;SOLEIL;1;0;0
Angoulême;45.65;0.15;08/08/2026;09:00;28.6;0;SOLEIL;1;0;0
Angoulême;45.65;0.15;08/08/2026;10:00;28.6;0;SOLEIL;1;0;0
Angoulême;45.65;0.15;08/08/2026;11:00;33.6;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;12:00;33.6;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;13:00;33.6;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;08/08/2026;14:00;36.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;08/08/2026;15:00;36.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;08/08/2026;16:00;36.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;08/08/2026;17:00;34.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;08/08/2026;18:00;34.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;08/08/2026;19:00;34.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;08/08/2026;20:00;27.7;5;SOLEIL VOILÉ;3;0;0
Angoulême;45.65;0.15;08/08/2026;21:00;27.7;5;SOLEIL VOILÉ;3;0;0
Angoulême;45.65;0.15;08/08/2026;22:00;27.7;5;SOLEIL VOILÉ;3;0;0
Angoulême;45.65;0.15;08/08/2026;23:00;24;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;00:00;24;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;01:00;24;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;02:00;24.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;03:00;24.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;04:00;24.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;05:00;23;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;06:00;23;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;07:00;23;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;08:00;25.6;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;09:00;25.6;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;10:00;25.6;10;ORAGEUX;3;0;0
Angoulême;45.65;0.15;09/08/2026;11:00;29.6;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;12:00;29.6;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;13:00;29.6;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;14:00;32.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;15:00;32.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;16:00;32.1;10;ORAGEUX;2;0;0
Angoulême;45.65;0.15;09/08/2026;17:00;29.9;10;ORAGEUX;4;0;0
Angoulême;45.65;0.15;09/08/2026;18:00;29.9;10;ORAGEUX;4;0;0
Angoulême;45.65;0.15;09/08/2026;19:00;29.9;10;ORAGEUX;4;0;0
Angoulême;45.65;0.15;09/08/2026;20:00;28.0;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;09/08/2026;21:00;26.0;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;09/08/2026;22:00;24.1;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;09/08/2026;23:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;00:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;01:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;02:00;22.4;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;03:00;22.4;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;04:00;22.4;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;05:00;21.4;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;06:00;21.4;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;07:00;21.4;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;08:00;24.8;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;09:00;26.1;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;10:00;27.3;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;11:00;30.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;12:00;30.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;13:00;30.1;0;SOLEIL;2;0;0
Angoulême;45.65;0.15;10/08/2026;14:00;32.2;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;15:00;33.4;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;16:00;32.2;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;17:00;32.9;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;18:00;32.9;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;19:00;32.9;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;10/08/2026;20:00;27.3;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;21:00;26.1;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;22:00;24.8;10;ORAGEUX;5;0;0
Angoulême;45.65;0.15;10/08/2026;23:00;24.5;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;00:00;24.5;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;01:00;24.5;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;02:00;20.4;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;03:00;20.4;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;04:00;20.4;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;05:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;06:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;07:00;23.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;08:00;23.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;09:00;25.1;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;10:00;26.7;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;11:00;35.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;12:00;35.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;13:00;35.1;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;14:00;32.9;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;15:00;34.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;16:00;32.9;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;17:00;35.6;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;18:00;35.6;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;19:00;35.6;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;11/08/2026;20:00;26.7;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;21:00;25.1;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;22:00;23.5;0;SOLEIL;5;0;0
Angoulême;45.65;0.15;11/08/2026;23:00;27;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;12/08/2026;00:00;27;0;SOLEIL;3;0;0
Angoulême;45.65;0.15;12/08/2026;01:00;27;0;SOLEIL;3;0;0
