Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bayeux;49.28;-0.7;08/08/2026;00:00;14.5;0;SOLEIL;3;0;0
Bayeux;49.28;-0.7;08/08/2026;01:00;14.5;0;SOLEIL;3;0;0
Bayeux;49.28;-0.7;08/08/2026;02:00;12.7;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;03:00;12.7;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;04:00;12.7;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;05:00;14.5;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;06:00;14.5;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;07:00;14.5;0;SOLEIL;2;0;0
Bayeux;49.28;-0.7;08/08/2026;08:00;24.2;5;SOLEIL VOILÉ;3;0;0
Bayeux;49.28;-0.7;08/08/2026;09:00;24.2;5;SOLEIL VOILÉ;3;0;0
Bayeux;49.28;-0.7;08/08/2026;10:00;24.2;5;SOLEIL VOILÉ;3;0;0
Bayeux;49.28;-0.7;08/08/2026;11:00;28.6;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;12:00;28.6;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;13:00;28.6;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;14:00;30.7;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;15:00;30.7;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;16:00;30.7;5;SOLEIL VOILÉ;2;0;0
Bayeux;49.28;-0.7;08/08/2026;17:00;27.7;0;SOLEIL;1;0;0
Bayeux;49.28;-0.7;08/08/2026;18:00;27.7;0;SOLEIL;1;0;0
Bayeux;49.28;-0.7;08/08/2026;19:00;27.7;0;SOLEIL;1;0;0
Bayeux;49.28;-0.7;08/08/2026;20:00;19.7;0;SOLEIL;3;0;0
