Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Foix;42.96;1.6;08/08/2026;00:00;25.1;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;01:00;25.1;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;02:00;21.4;0;SOLEIL;1;0;0
Foix;42.96;1.6;08/08/2026;03:00;21.4;0;SOLEIL;1;0;0
Foix;42.96;1.6;08/08/2026;04:00;21.4;0;SOLEIL;1;0;0
Foix;42.96;1.6;08/08/2026;05:00;22.6;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;06:00;22.6;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;07:00;22.6;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;08:00;29.6;0;SOLEIL;3;0;0
Foix;42.96;1.6;08/08/2026;09:00;29.6;0;SOLEIL;3;0;0
Foix;42.96;1.6;08/08/2026;10:00;29.6;0;SOLEIL;3;0;0
Foix;42.96;1.6;08/08/2026;11:00;35.1;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;12:00;35.1;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;13:00;35.1;0;SOLEIL;2;0;0
Foix;42.96;1.6;08/08/2026;14:00;37.1;5;SOLEIL VOILÉ;2;0;0
Foix;42.96;1.6;08/08/2026;15:00;37.1;5;SOLEIL VOILÉ;2;0;0
Foix;42.96;1.6;08/08/2026;16:00;37.1;5;SOLEIL VOILÉ;2;0;0
Foix;42.96;1.6;08/08/2026;17:00;34.9;10;ORAGEUX;3;0;0
Foix;42.96;1.6;08/08/2026;18:00;34.9;10;ORAGEUX;3;0;0
Foix;42.96;1.6;08/08/2026;19:00;34.9;10;ORAGEUX;3;0;0
Foix;42.96;1.6;08/08/2026;20:00;31.2;0;SOLEIL;3;0;0
Foix;42.96;1.6;08/08/2026;21:00;31.2;0;SOLEIL;3;0;0
Foix;42.96;1.6;08/08/2026;22:00;31.2;0;SOLEIL;3;0;0
