Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Barcelonnette;44.38;6.65;08/08/2026;00:00;27.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;01:00;27.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;02:00;24.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;03:00;24.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;04:00;24.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;05:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;06:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;07:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;08:00;28.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;09:00;28.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;10:00;28.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;11:00;30.1;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;12:00;30.1;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;13:00;30.1;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;14:00;31.5;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;15:00;31.5;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;16:00;31.5;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;08/08/2026;17:00;29.6;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;08/08/2026;18:00;29.6;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;08/08/2026;19:00;29.6;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;08/08/2026;20:00;28;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;21:00;28;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;22:00;28;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;08/08/2026;23:00;26.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;00:00;26.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;01:00;26.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;02:00;25.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;03:00;25.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;04:00;25.1;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;05:00;25.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;06:00;25.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;07:00;25.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;08:00;29.6;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;09:00;29.6;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;10:00;29.6;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;11:00;30.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;12:00;30.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;13:00;30.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;14:00;30.7;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;15:00;30.7;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;16:00;30.7;0;SOLEIL;4;0;0
Barcelonnette;44.38;6.65;09/08/2026;17:00;29.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;18:00;29.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;19:00;29.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;09/08/2026;20:00;27.3;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;21:00;26.3;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;22:00;25.2;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;09/08/2026;23:00;26.5;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;00:00;26.5;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;01:00;26.5;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;02:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;03:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;04:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;05:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;06:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;07:00;24.4;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;10/08/2026;08:00;25.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;09:00;26.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;10:00;27.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;11:00;29.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;12:00;29.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;13:00;29.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;14:00;31.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;15:00;32.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;16:00;31.6;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;17:00;28.7;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;10/08/2026;18:00;28.7;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;10/08/2026;19:00;28.7;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;10/08/2026;20:00;27.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;21:00;26.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;22:00;25.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;10/08/2026;23:00;26.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;11/08/2026;00:00;26.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;11/08/2026;01:00;26.6;0;SOLEIL;2;0;0
Barcelonnette;44.38;6.65;11/08/2026;02:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;11/08/2026;03:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;11/08/2026;04:00;23.7;0;SOLEIL;5;0;0
Barcelonnette;44.38;6.65;11/08/2026;05:00;24.1;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;11/08/2026;06:00;24.1;0;SOLEIL;3;0;0
Barcelonnette;44.38;6.65;11/08/2026;07:00;24.1;0;SOLEIL;3;0;0
