Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Blain;47.47;-1.76;08/08/2026;00:00;18.1;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;01:00;18.1;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;02:00;16.9;5;SOLEIL VOILÉ;4;0;0
Blain;47.47;-1.76;08/08/2026;03:00;16.9;5;SOLEIL VOILÉ;4;0;0
Blain;47.47;-1.76;08/08/2026;04:00;16.9;5;SOLEIL VOILÉ;4;0;0
Blain;47.47;-1.76;08/08/2026;05:00;17.2;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;06:00;17.2;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;07:00;17.2;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;08:00;24.6;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;09:00;24.6;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;10:00;24.6;5;SOLEIL VOILÉ;3;0;0
Blain;47.47;-1.76;08/08/2026;11:00;30.4;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;08/08/2026;12:00;30.4;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;08/08/2026;13:00;30.4;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;08/08/2026;14:00;33.5;0;SOLEIL;2;0;0
Blain;47.47;-1.76;08/08/2026;15:00;33.5;0;SOLEIL;2;0;0
Blain;47.47;-1.76;08/08/2026;16:00;33.5;0;SOLEIL;2;0;0
Blain;47.47;-1.76;08/08/2026;17:00;30.5;0;SOLEIL;4;0;0
Blain;47.47;-1.76;08/08/2026;18:00;30.5;0;SOLEIL;4;0;0
Blain;47.47;-1.76;08/08/2026;19:00;30.5;0;SOLEIL;4;0;0
Blain;47.47;-1.76;08/08/2026;20:00;25.1;0;SOLEIL;3;0;0
Blain;47.47;-1.76;08/08/2026;21:00;25.1;0;SOLEIL;3;0;0
Blain;47.47;-1.76;08/08/2026;22:00;25.1;0;SOLEIL;3;0;0
Blain;47.47;-1.76;08/08/2026;23:00;21.9;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;09/08/2026;00:00;21.9;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;09/08/2026;01:00;21.9;5;SOLEIL VOILÉ;2;0;0
Blain;47.47;-1.76;09/08/2026;02:00;19.9;0;SOLEIL;2;0;0
Blain;47.47;-1.76;09/08/2026;03:00;19.9;0;SOLEIL;2;0;0
Blain;47.47;-1.76;09/08/2026;04:00;19.9;0;SOLEIL;2;0;0
Blain;47.47;-1.76;09/08/2026;05:00;19.7;0;SOLEIL;2;0;0
Blain;47.47;-1.76;09/08/2026;06:00;19.7;0;SOLEIL;2;0;0
